,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,68566156.0,68566156.0,65168595.0,65168595.0,
Share Issued,68566156.0,68566156.0,65168595.0,65168595.0,
Net Debt,995289000.0,1049259000.0,967378000.0,724084000.0,
Total Debt,1076438000.0,1092317000.0,995689000.0,798741000.0,
Tangible Book Value,929742000.0,914404000.0,901275000.0,834966000.0,
Invested Capital,2038699000.0,2039240000.0,1936983000.0,1673726000.0,
Working Capital,-225541000.0,-170785000.0,-139774000.0,-375235000.0,
Net Tangible Assets,929742000.0,914404000.0,901275000.0,834966000.0,
Common Stock Equity,962261000.0,946923000.0,941294000.0,874985000.0,
Total Capitalization,1763133000.0,1854343000.0,1762373000.0,1283543000.0,
Total Equity Gross Minority Interest,962261000.0,946923000.0,941294000.0,874985000.0,
Stockholders Equity,962261000.0,946923000.0,941294000.0,874985000.0,
Other Equity Interest,,,,,-1000.0
Retained Earnings,375151000.0,359813000.0,379475000.0,312911000.0,
Additional Paid In Capital,564255000.0,564255000.0,540233000.0,540488000.0,
Capital Stock,22855000.0,22855000.0,21586000.0,21586000.0,
Common Stock,22855000.0,22855000.0,21586000.0,21586000.0,
Total Liabilities Net Minority Interest,1226233000.0,1216392000.0,1154410000.0,956247000.0,
Total Non Current Liabilities Net Minority Interest,894382000.0,981636000.0,914242000.0,483143000.0,
Other Non Current Liabilities,3962000.0,8762000.0,9015000.0,8297000.0,
Derivative Product Liabilities,2272000.0,4151000.0,0.0,,
Non Current Deferred Taxes Liabilities,87276000.0,61303000.0,84148000.0,66288000.0,
Long Term Debt And Capital Lease Obligation,800872000.0,907420000.0,821079000.0,408558000.0,
Long Term Debt,800872000.0,907420000.0,821079000.0,408558000.0,
Current Liabilities,331851000.0,234756000.0,240168000.0,473104000.0,
Other Current Liabilities,7871000.0,2429000.0,10461000.0,37036000.0,
Current Debt And Capital Lease Obligation,275566000.0,184897000.0,174610000.0,390183000.0,
Current Debt,275566000.0,184897000.0,174610000.0,390183000.0,
Payables,15690000.0,17148000.0,26721000.0,25759000.0,
Other Payable,850000.0,586000.0,967000.0,503000.0,
Total Tax Payable,2218000.0,900000.0,0.0,976000.0,
Accounts Payable,12622000.0,15662000.0,25754000.0,24280000.0,
Total Assets,2188494000.0,2163315000.0,2095704000.0,1831232000.0,
Total Non Current Assets,2082184000.0,2099344000.0,1995310000.0,1733363000.0,
Other Non Current Assets,,-1000.0,,,-1000.0
Financial Assets,19208000.0,32004000.0,59774000.0,,
Long Term Equity Investment,5064000.0,17514000.0,4784000.0,5429000.0,
Investmentsin Associatesat Cost,5064000.0,17514000.0,4784000.0,5429000.0,
Investment Properties,2015961000.0,1995250000.0,1854325000.0,1603550000.0,
Goodwill And Other Intangible Assets,32519000.0,32519000.0,40019000.0,40019000.0,
Goodwill,32519000.0,32519000.0,40019000.0,40019000.0,
Net PPE,5895000.0,9975000.0,19558000.0,20908000.0,
Accumulated Depreciation,-651000.0,-567000.0,-10259000.0,-5480000.0,
Gross PPE,6546000.0,10542000.0,29817000.0,26388000.0,
Construction In Progress,1000000.0,,,,
Other Properties,851000.0,573000.0,870000.0,2510000.0,
Machinery Furniture Equipment,3310000.0,2945000.0,23121000.0,18235000.0,
Buildings And Improvements,1385000.0,7024000.0,5826000.0,5643000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,106310000.0,63971000.0,100394000.0,97869000.0,
Other Current Assets,1000.0,,,,
Hedging Assets Current,1985000.0,0.0,59774000.0,3182000.0,
Prepaid Assets,8881000.0,8745000.0,6385000.0,3477000.0,
Other Receivables,12553000.0,10920000.0,64336000.0,13246000.0,
Taxes Receivable,,0.0,929000.0,0.0,
Accounts Receivable,1741000.0,1248000.0,433000.0,3307000.0,
Allowance For Doubtful Accounts Receivable,-3220000.0,-1661000.0,-775000.0,-624000.0,
Gross Accounts Receivable,4961000.0,2909000.0,1208000.0,3931000.0,
Cash Cash Equivalents And Short Term Investments,81149000.0,43058000.0,28311000.0,74657000.0,
Cash And Cash Equivalents,81149000.0,43058000.0,28311000.0,74657000.0,
