,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,172612188.0,172612188.0,136370764.0,129659355.0,
Share Issued,172612188.0,172612188.0,136370764.0,129659355.0,
Net Debt,15291000.0,14511000.0,16874000.0,17439000.0,
Total Debt,17062000.0,17945000.0,19928000.0,19703000.0,
Tangible Book Value,-32709000.0,-35844000.0,-45890000.0,-26801000.0,
Invested Capital,16133000.0,20409000.0,43609000.0,61588000.0,
Working Capital,-16796000.0,1513000.0,-1909000.0,-16396000.0,
Net Tangible Assets,-32709000.0,-35844000.0,-45890000.0,-26801000.0,
Capital Lease Obligations,176000.0,284000.0,638000.0,62000.0,
Common Stock Equity,-753000.0,2748000.0,24319000.0,41947000.0,
Total Capitalization,-753000.0,20409000.0,43609000.0,41947000.0,
Total Equity Gross Minority Interest,12678000.0,17376000.0,24319000.0,41947000.0,
Minority Interest,13431000.0,14628000.0,0.0,,
Stockholders Equity,-753000.0,2748000.0,24319000.0,41947000.0,
Retained Earnings,-44033000.0,-40647000.0,-7761000.0,11003000.0,
Additional Paid In Capital,31321000.0,31304000.0,26044000.0,24981000.0,
Capital Stock,4367000.0,4367000.0,3450000.0,3280000.0,
Common Stock,4367000.0,4367000.0,3450000.0,3280000.0,
Total Liabilities Net Minority Interest,27292000.0,32629000.0,55558000.0,34293000.0,
Total Non Current Liabilities Net Minority Interest,2724000.0,23384000.0,45141000.0,10991000.0,
Other Non Current Liabilities,,2306000.0,21401000.0,9460000.0,
Non Current Deferred Taxes Liabilities,2664000.0,3229000.0,4017000.0,1531000.0,
Long Term Debt And Capital Lease Obligation,60000.0,17849000.0,19723000.0,0.0,
Long Term Capital Lease Obligation,60000.0,188000.0,433000.0,0.0,
Long Term Debt,0.0,17661000.0,19290000.0,0.0,
Current Liabilities,24568000.0,9245000.0,10417000.0,23302000.0,
Other Current Liabilities,1026000.0,4310000.0,6623000.0,590000.0,
Current Debt And Capital Lease Obligation,17002000.0,96000.0,205000.0,19703000.0,
Current Capital Lease Obligation,116000.0,96000.0,205000.0,62000.0,
Current Debt,16886000.0,0.0,0.0,19641000.0,
Payables,4415000.0,3084000.0,1640000.0,1241000.0,
Other Payable,1391000.0,591000.0,545000.0,71000.0,
Total Tax Payable,1763000.0,1673000.0,944000.0,299000.0,
Accounts Payable,1261000.0,820000.0,151000.0,942000.0,
Total Assets,39970000.0,50005000.0,79877000.0,76240000.0,
Total Non Current Assets,32198000.0,39247000.0,71369000.0,69334000.0,
Non Current Deferred Taxes Assets,0.0,301000.0,229000.0,293000.0,
Investmentin Financial Assets,10000.0,0.0,,,
Available For Sale Securities,10000.0,,,,
Long Term Equity Investment,1000.0,1000.0,1000.0,1000.0,
Investmentsin Associatesat Cost,1000.0,1000.0,1000.0,1000.0,
Goodwill And Other Intangible Assets,31956000.0,38592000.0,70209000.0,68748000.0,
Other Intangible Assets,20342000.0,24478000.0,28885000.0,17668000.0,
Goodwill,11614000.0,14114000.0,41324000.0,51080000.0,
Net PPE,231000.0,353000.0,846000.0,197000.0,
Accumulated Depreciation,-70000.0,-25000.0,-120000.0,-561000.0,
Gross PPE,301000.0,378000.0,846000.0,197000.0,
Other Properties,164000.0,271000.0,846000.0,197000.0,
Machinery Furniture Equipment,137000.0,107000.0,314000.0,696000.0,
Buildings And Improvements,,,652000.0,62000.0,214000.0
Properties,,,0.0,0.0,0.0
Current Assets,7772000.0,10758000.0,8508000.0,6906000.0,
Restricted Cash,,,,445000.0,498000.0
Prepaid Assets,877000.0,913000.0,1181000.0,461000.0,
Other Receivables,3876000.0,3462000.0,1487000.0,2988000.0,
Taxes Receivable,0.0,80000.0,205000.0,0.0,
Accounts Receivable,1424000.0,3153000.0,3219000.0,1716000.0,
Cash Cash Equivalents And Short Term Investments,1595000.0,3150000.0,2416000.0,2202000.0,
Cash And Cash Equivalents,1595000.0,3150000.0,2416000.0,2202000.0,
Cash Financial,1595000.0,3150000.0,2416000.0,1757000.0,
