,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,504330.0,,,
Ordinary Shares Number,9111648.0,8365464.0,8763098.0,8578774.0,
Share Issued,9111648.0,8869794.0,8763098.0,8578774.0,
Net Debt,119600000.0,17100000.0,,,16463000.0
Total Debt,303000000.0,171000000.0,100000000.0,104521000.0,
Tangible Book Value,-184100000.0,-57300000.0,-20500000.0,-42641000.0,
Invested Capital,429800000.0,222700000.0,227000000.0,206317000.0,
Working Capital,3200000.0,-61200000.0,-18800000.0,-29508000.0,
Net Tangible Assets,-184100000.0,-57300000.0,-20500000.0,-42641000.0,
Capital Lease Obligations,105700000.0,105000000.0,68000000.0,35934000.0,
Common Stock Equity,232500000.0,156700000.0,195000000.0,174317000.0,
Total Capitalization,429800000.0,190000000.0,211000000.0,206317000.0,
Total Equity Gross Minority Interest,262200000.0,180200000.0,228000000.0,194606000.0,
Minority Interest,29700000.0,23500000.0,33000000.0,20289000.0,
Stockholders Equity,232500000.0,156700000.0,195000000.0,174317000.0,
Retained Earnings,93500000.0,41700000.0,95600000.0,75001000.0,
Additional Paid In Capital,135600000.0,114100000.0,98500000.0,98458000.0,
Capital Stock,900000.0,900000.0,900000.0,858000.0,
Common Stock,900000.0,900000.0,900000.0,858000.0,
Total Liabilities Net Minority Interest,623100000.0,452400000.0,395000000.0,365114000.0,
Total Non Current Liabilities Net Minority Interest,280800000.0,109800000.0,56400000.0,68180000.0,
Other Non Current Liabilities,8800000.0,,100000.0,1000.0,1000.0
Derivative Product Liabilities,,,,,0.0
Non Current Deferred Taxes Liabilities,5300000.0,0.0,0.0,0.0,
Long Term Debt And Capital Lease Obligation,265900000.0,106300000.0,55900000.0,67934000.0,
Long Term Capital Lease Obligation,68600000.0,73000000.0,39900000.0,35934000.0,
Long Term Debt,197300000.0,33300000.0,16000000.0,32000000.0,
Long Term Provisions,800000.0,3500000.0,400000.0,245000.0,
Current Liabilities,342300000.0,342600000.0,338600000.0,296934000.0,
Other Current Liabilities,44400000.0,2100000.0,1500000.0,1062000.0,
Current Deferred Taxes Liabilities,,,,0.0,6308000.0
Current Debt And Capital Lease Obligation,37100000.0,64700000.0,44100000.0,36587000.0,
Current Capital Lease Obligation,37100000.0,32000000.0,28100000.0,20587000.0,
Current Debt,0.0,32700000.0,16000000.0,16000000.0,
Pensionand Other Post Retirement Benefit Plans Current,105900000.0,114800000.0,121100000.0,107070000.0,
Payables,88500000.0,86400000.0,92300000.0,81594000.0,
Other Payable,2900000.0,400000.0,200000.0,5055000.0,
Total Tax Payable,23900000.0,43800000.0,55100000.0,41424000.0,
Accounts Payable,61700000.0,42200000.0,37000000.0,35115000.0,
Total Assets,885300000.0,632600000.0,623000000.0,559720000.0,
Total Non Current Assets,539800000.0,351200000.0,303200000.0,292294000.0,
Other Non Current Assets,,,1000.0,,
Non Current Prepaid Assets,1500000.0,2900000.0,3600000.0,3552000.0,
Non Current Deferred Taxes Assets,6200000.0,4500000.0,2800000.0,2679000.0,
Long Term Equity Investment,4400000.0,18000000.0,16500000.0,10912000.0,
Investmentsin Associatesat Cost,4400000.0,18000000.0,16500000.0,10912000.0,
Goodwill And Other Intangible Assets,416600000.0,214000000.0,215500000.0,216958000.0,
Other Intangible Assets,28500000.0,2300000.0,3800000.0,5253000.0,
Goodwill,388100000.0,211700000.0,211700000.0,211705000.0,
Net PPE,111100000.0,111800000.0,64800000.0,58193000.0,
Accumulated Depreciation,-18600000.0,-16000000.0,-14600000.0,-13780000.0,
Gross PPE,129700000.0,127800000.0,79400000.0,71973000.0,
Other Properties,111100000.0,,,,
Machinery Furniture Equipment,73500000.0,70400000.0,54600000.0,47732000.0,
Buildings And Improvements,56200000.0,57400000.0,24800000.0,24241000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,345500000.0,281400000.0,319800000.0,267426000.0,
Other Current Assets,,,,,-1000.0
Prepaid Assets,5100000.0,800000.0,3100000.0,2700000.0,
Other Receivables,33300000.0,37400000.0,26700000.0,31883000.0,
Taxes Receivable,20500000.0,10900000.0,6800000.0,14332000.0,
Accounts Receivable,208900000.0,183400000.0,199800000.0,164271000.0,
Allowance For Doubtful Accounts Receivable,-400000.0,-1100000.0,-500000.0,0.0,
Gross Accounts Receivable,209300000.0,184500000.0,200300000.0,164271000.0,
Cash Cash Equivalents And Short Term Investments,77700000.0,48900000.0,83400000.0,54240000.0,
Cash And Cash Equivalents,77700000.0,48900000.0,83400000.0,54240000.0,
Cash Financial,77700000.0,48900000.0,83400000.0,54240000.0,
