,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,,34697325.0,31514269.0,31514269.0,19888560.0
Share Issued,,34697325.0,31514269.0,31514269.0,19888560.0
Net Debt,,11107000.0,9837000.0,,
Total Debt,28600000.0,31732000.0,39280000.0,55594000.0,
Tangible Book Value,-5400000.0,-4882000.0,-2579000.0,14332000.0,
Invested Capital,132800000.0,105596000.0,113361000.0,137172000.0,
Working Capital,-46000000.0,-12981000.0,-11592000.0,-65000.0,
Net Tangible Assets,-5400000.0,-4882000.0,-2579000.0,14332000.0,
Capital Lease Obligations,13800000.0,16102000.0,19323000.0,30091000.0,
Common Stock Equity,118000000.0,89966000.0,93404000.0,111669000.0,
Total Capitalization,122400000.0,98440000.0,105945000.0,124725000.0,
Total Equity Gross Minority Interest,118000000.0,89966000.0,93404000.0,111669000.0,
Stockholders Equity,118000000.0,89966000.0,93404000.0,111669000.0,
Retained Earnings,-57000000.0,-185111000.0,-170229000.0,-151964000.0,
Additional Paid In Capital,-1000000.0,223031000.0,216362000.0,216362000.0,
Capital Stock,176000000.0,52046000.0,47271000.0,47271000.0,
Common Stock,176000000.0,52046000.0,47271000.0,47271000.0,
Total Liabilities Net Minority Interest,180800000.0,59294000.0,69649000.0,86993000.0,
Total Non Current Liabilities Net Minority Interest,14700000.0,19325000.0,25122000.0,34184000.0,
Other Non Current Liabilities,-100000.0,-2000.0,,,1000.0
Non Current Deferred Taxes Liabilities,1600000.0,0.0,841000.0,1072000.0,
Long Term Debt And Capital Lease Obligation,13200000.0,19327000.0,24281000.0,33112000.0,
Long Term Capital Lease Obligation,8800000.0,10853000.0,11740000.0,20056000.0,
Long Term Debt,4400000.0,8474000.0,12541000.0,13056000.0,
Current Liabilities,166100000.0,39969000.0,44527000.0,52809000.0,
Other Current Liabilities,101800000.0,5468000.0,4239000.0,4341000.0,
Current Debt And Capital Lease Obligation,15400000.0,12405000.0,14999000.0,22482000.0,
Current Capital Lease Obligation,5000000.0,5249000.0,7583000.0,10035000.0,
Current Debt,10400000.0,7156000.0,7416000.0,12447000.0,
Payables,48900000.0,8643000.0,9932000.0,10993000.0,
Other Payable,,43000.0,24000.0,105000.0,
Total Tax Payable,,0.0,19000.0,0.0,
Accounts Payable,48900000.0,8600000.0,9889000.0,10888000.0,
Total Assets,298800000.0,149260000.0,163053000.0,198662000.0,
Total Non Current Assets,178700000.0,122273000.0,130118000.0,145918000.0,
Other Non Current Assets,,,,-1000.0,1000.0
Non Current Deferred Taxes Assets,,,,,108000.0
Investmentin Financial Assets,29000000.0,,,,
Goodwill And Other Intangible Assets,123400000.0,94848000.0,95983000.0,97337000.0,
Other Intangible Assets,,6800000.0,8034000.0,9289000.0,2321000.0
Goodwill,,88048000.0,87949000.0,88048000.0,4726000.0
Net PPE,26300000.0,27145000.0,33892000.0,48339000.0,
Accumulated Depreciation,,-62916000.0,-51380000.0,-37817000.0,-28443000.0
Gross PPE,,90061000.0,85272000.0,86156000.0,72797000.0
Other Properties,,49087000.0,44708000.0,44708000.0,32824000.0
Machinery Furniture Equipment,,40974000.0,40564000.0,41448000.0,39973000.0
Current Assets,120100000.0,26988000.0,32935000.0,52744000.0,
Current Deferred Assets,,,,,1633000.0
Prepaid Assets,,3289000.0,3181000.0,4195000.0,2166000.0
Other Receivables,30300000.0,4434000.0,7289000.0,5190000.0,
Taxes Receivable,,3480000.0,1098000.0,645000.0,351000.0
Accounts Receivable,55900000.0,11262000.0,11247000.0,14336000.0,
Allowance For Doubtful Accounts Receivable,,-813000.0,-731000.0,-630000.0,-687000.0
Gross Accounts Receivable,,12075000.0,11978000.0,14966000.0,6304000.0
Cash Cash Equivalents And Short Term Investments,33900000.0,4523000.0,10120000.0,28378000.0,
Cash And Cash Equivalents,33900000.0,4523000.0,10120000.0,28378000.0,
Cash Financial,,4523000.0,10120000.0,28378000.0,52341000.0
