,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,39123072.0,29493079.0,25687821.0,16706653.0,
Share Issued,39123072.0,29493079.0,25687821.0,16706653.0,
Tangible Book Value,26059000.0,20536000.0,31767000.0,7499000.0,
Invested Capital,26059000.0,20536000.0,31767000.0,7499000.0,
Working Capital,16259000.0,12777000.0,24247000.0,6276000.0,
Net Tangible Assets,26059000.0,20536000.0,31767000.0,7499000.0,
Common Stock Equity,26059000.0,20536000.0,31767000.0,7499000.0,
Total Capitalization,26059000.0,20536000.0,31767000.0,7499000.0,
Total Equity Gross Minority Interest,26059000.0,20536000.0,31767000.0,7499000.0,
Stockholders Equity,26059000.0,20536000.0,31767000.0,7499000.0,
Other Equity Interest,,,,1000.0,
Retained Earnings,1727000.0,9205000.0,-11244000.0,-9204000.0,
Additional Paid In Capital,22317000.0,9860000.0,41730000.0,15960000.0,
Capital Stock,2015000.0,1471000.0,1281000.0,742000.0,
Common Stock,2015000.0,1471000.0,1281000.0,742000.0,
Total Liabilities Net Minority Interest,2937000.0,1979000.0,6150000.0,5142000.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,
Current Liabilities,2937000.0,1979000.0,6150000.0,5142000.0,
Other Current Liabilities,371000.0,668000.0,606000.0,314000.0,
Pensionand Other Post Retirement Benefit Plans Current,586000.0,435000.0,725000.0,729000.0,
Payables,1529000.0,1333000.0,3558000.0,2222000.0,
Total Tax Payable,,135000.0,129000.0,63000.0,29844.0
Accounts Payable,1529000.0,1333000.0,3558000.0,2222000.0,
Total Assets,28996000.0,22515000.0,37917000.0,12641000.0,
Total Non Current Assets,9799000.0,7759000.0,7520000.0,1223000.0,
Other Non Current Assets,2984000.0,,,,
Non Current Prepaid Assets,,0.0,33000.0,,
Investmentin Financial Assets,,,33000.0,0.0,
Net PPE,6815000.0,7759000.0,7487000.0,1223000.0,
Accumulated Depreciation,-3174000.0,-2015000.0,-1154000.0,-677000.0,
Gross PPE,9989000.0,9774000.0,8641000.0,1900000.0,
Other Properties,9989000.0,9774000.0,8641000.0,1900000.0,
Current Assets,19196000.0,14756000.0,30397000.0,11418000.0,
Prepaid Assets,350000.0,645000.0,1567000.0,1533000.0,
Other Receivables,1579000.0,712000.0,1265000.0,789000.0,
Accounts Receivable,,0.0,33000.0,119000.0,0.0
Cash Cash Equivalents And Short Term Investments,17267000.0,13399000.0,27532000.0,8977000.0,
Cash And Cash Equivalents,17267000.0,13399000.0,27532000.0,8977000.0,
Cash Financial,17267000.0,13399000.0,27532000.0,8977000.0,
