,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,101162310.0,100982310.0,100982310.0,100982310.0,
Share Issued,101162310.0,100982310.0,100982310.0,100982310.0,
Total Debt,,,,10400000.0,10400000.0
Tangible Book Value,1548061000.0,1818938000.0,1754824000.0,1680052000.0,
Invested Capital,1723932000.0,2030342000.0,1972416000.0,1877365000.0,
Working Capital,1403982000.0,1678698000.0,1632490000.0,1625123000.0,
Net Tangible Assets,1548061000.0,1818938000.0,1754824000.0,1680052000.0,
Capital Lease Obligations,,,,10400000.0,10400000.0
Common Stock Equity,1723932000.0,2030342000.0,1972416000.0,1877365000.0,
Total Capitalization,1723932000.0,2030342000.0,1972416000.0,1877365000.0,
Total Equity Gross Minority Interest,1723934000.0,2030344000.0,1972418000.0,1877367000.0,
Minority Interest,2000.0,2000.0,2000.0,2000.0,
Stockholders Equity,1723932000.0,2030342000.0,1972416000.0,1877365000.0,
Retained Earnings,,840833000.0,772730000.0,703188000.0,578584000.0
Additional Paid In Capital,,1153377000.0,1153794000.0,1154008000.0,1149483000.0
Capital Stock,,20196000.0,20196000.0,20196000.0,20196000.0
Common Stock,,20196000.0,20196000.0,20196000.0,20196000.0
Total Liabilities Net Minority Interest,310072000.0,302846000.0,241548000.0,250687000.0,
Total Non Current Liabilities Net Minority Interest,103869000.0,107111000.0,76557000.0,123733000.0,
Other Non Current Liabilities,98425000.0,91932000.0,64005000.0,109493000.0,
Non Current Deferred Taxes Liabilities,5444000.0,15179000.0,12552000.0,14240000.0,
Current Liabilities,206203000.0,195735000.0,164991000.0,126954000.0,
Other Current Liabilities,,18505000.0,23110000.0,17569000.0,12845000.0
Current Debt And Capital Lease Obligation,,,,10400000.0,10400000.0
Current Capital Lease Obligation,,,,10400000.0,10400000.0
Payables,,82337000.0,54765000.0,50171000.0,51910000.0
Total Tax Payable,,33029000.0,22715000.0,7858000.0,3864000.0
Accounts Payable,,49308000.0,32050000.0,42313000.0,48046000.0
Total Assets,2034006000.0,2333190000.0,2213966000.0,2128054000.0,
Total Non Current Assets,423821000.0,458757000.0,416485000.0,375977000.0,
Other Non Current Assets,,,-1000.0,,
Non Current Prepaid Assets,52000.0,48000.0,50000.0,43000.0,
Non Current Deferred Taxes Assets,14266000.0,5964000.0,15325000.0,2757000.0,
Investmentin Financial Assets,28013000.0,28013000.0,25793000.0,22229000.0,
Goodwill And Other Intangible Assets,175871000.0,211404000.0,217592000.0,197313000.0,
Other Intangible Assets,767000.0,46230000.0,46075000.0,48086000.0,
Goodwill,175104000.0,165174000.0,171517000.0,149227000.0,
Net PPE,205619000.0,213328000.0,157726000.0,153635000.0,
Accumulated Depreciation,,-165743000.0,-143634000.0,-122361000.0,-93453000.0
Gross PPE,205619000.0,379071000.0,301360000.0,275996000.0,
Construction In Progress,,48483000.0,8607000.0,0.0,0.0
Other Properties,205619000.0,80118000.0,78173000.0,78173000.0,
Machinery Furniture Equipment,,47623000.0,41378000.0,31845000.0,24622000.0
Buildings And Improvements,,74983000.0,44421000.0,38490000.0,40697000.0
Land And Improvements,,127864000.0,128781000.0,127488000.0,109221000.0
Properties,,0.0,0.0,0.0,0.0
Current Assets,1610185000.0,1874433000.0,1797481000.0,1752077000.0,
Other Current Assets,386201000.0,,309115000.0,267397000.0,
Current Deferred Assets,,0.0,14618000.0,204000.0,4486000.0
Prepaid Assets,,0.0,1872000.0,0.0,1735000.0
Inventory,,181204000.0,142838000.0,102737000.0,72277000.0
Finished Goods,,151110000.0,116401000.0,81959000.0,54004000.0
Raw Materials,,30094000.0,26437000.0,20778000.0,18273000.0
Other Receivables,,16242000.0,3282000.0,16457000.0,8905000.0
Taxes Receivable,,26920000.0,15802000.0,29411000.0,35780000.0
Accounts Receivable,,105875000.0,130703000.0,118588000.0,98511000.0
Allowance For Doubtful Accounts Receivable,,-8343000.0,-9259000.0,-499000.0,-639000.0
Gross Accounts Receivable,,114218000.0,139962000.0,119087000.0,99150000.0
Cash Cash Equivalents And Short Term Investments,1223984000.0,1544192000.0,1488366000.0,1484680000.0,
Cash And Cash Equivalents,1223984000.0,1544192000.0,1488366000.0,1484680000.0,
