,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,13792961.0,13792961.0,8869032.0,7390860.0,
Share Issued,13792961.0,13792961.0,8869032.0,7390860.0,
Total Debt,0.0,0.0,20000000.0,0.0,
Tangible Book Value,-12997000.0,-3771000.0,-21752000.0,7889000.0,
Invested Capital,32490000.0,39570000.0,37730000.0,40476000.0,
Working Capital,-13546000.0,-4724000.0,-22384000.0,6707000.0,
Net Tangible Assets,-12997000.0,-3771000.0,-21752000.0,7889000.0,
Common Stock Equity,32490000.0,39570000.0,17730000.0,40476000.0,
Total Capitalization,32490000.0,39570000.0,17730000.0,40476000.0,
Total Equity Gross Minority Interest,32490000.0,39570000.0,17730000.0,40476000.0,
Stockholders Equity,32490000.0,39570000.0,17730000.0,40476000.0,
Other Equity Interest,-52731000.0,-45651000.0,-34468000.0,5554000.0,
Retained Earnings,,,,5554000.0,-14115000.0
Additional Paid In Capital,80883000.0,80883000.0,49408000.0,32597000.0,
Capital Stock,4338000.0,4338000.0,2790000.0,2325000.0,
Common Stock,4338000.0,4338000.0,2790000.0,2325000.0,
Total Liabilities Net Minority Interest,57859000.0,50585000.0,70276000.0,35817000.0,
Total Non Current Liabilities Net Minority Interest,-1000.0,0.0,1000.0,0.0,
Other Non Current Liabilities,,,,,1613000.0
Non Current Deferred Taxes Liabilities,,,,0.0,272000.0
Current Liabilities,57860000.0,50585000.0,70275000.0,35817000.0,
Other Current Liabilities,2000.0,33948000.0,15000.0,547000.0,
Current Debt And Capital Lease Obligation,0.0,0.0,20000000.0,0.0,
Current Debt,0.0,0.0,20000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,1140000.0,1228000.0,1351000.0,1352000.0,
Payables,8832000.0,7054000.0,8435000.0,9162000.0,
Other Payable,,,,,13299000.0
Total Tax Payable,4756000.0,4374000.0,4329000.0,4317000.0,
Accounts Payable,4076000.0,2680000.0,4106000.0,4845000.0,
Total Assets,90349000.0,90155000.0,88006000.0,76293000.0,
Total Non Current Assets,46036000.0,44294000.0,40114000.0,33769000.0,
Other Non Current Assets,,,-1000.0,,
Investmentin Financial Assets,499000.0,748000.0,0.0,0.0,
Available For Sale Securities,499000.0,748000.0,,,
Goodwill And Other Intangible Assets,45487000.0,43341000.0,39482000.0,32587000.0,
Other Intangible Assets,45487000.0,43341000.0,39482000.0,32587000.0,
Net PPE,50000.0,205000.0,633000.0,1182000.0,
Accumulated Depreciation,-1822000.0,-1667000.0,-3258000.0,-2408000.0,
Gross PPE,1872000.0,1872000.0,3890000.0,3590000.0,
Machinery Furniture Equipment,1872000.0,,,,184000.0
Current Assets,44314000.0,45861000.0,47891000.0,42524000.0,
Other Current Assets,-1000.0,,-1000.0,1000.0,
Prepaid Assets,2660000.0,1751000.0,3783000.0,3456000.0,
Other Receivables,89000.0,165000.0,9000.0,109000.0,
Taxes Receivable,2587000.0,895000.0,1117000.0,0.0,
Accounts Receivable,20898000.0,20689000.0,21015000.0,21640000.0,
Cash Cash Equivalents And Short Term Investments,18080000.0,22361000.0,21968000.0,17318000.0,
Cash And Cash Equivalents,18080000.0,22361000.0,21968000.0,17318000.0,
