,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,854430.0,,,
Ordinary Shares Number,46537789.0,46537789.0,46537789.0,46537789.0
Share Issued,47392219.0,46537789.0,46537789.0,46537789.0
Net Debt,,42369000.0,,
Total Debt,299000.0,130365000.0,544000.0,1457000.0
Tangible Book Value,555330000.0,-76800000.0,126874000.0,127101000.0
Invested Capital,555330000.0,53541000.0,126874000.0,127101000.0
Working Capital,554974000.0,-70331000.0,138784000.0,125888000.0
Net Tangible Assets,555330000.0,-76800000.0,126874000.0,127101000.0
Capital Lease Obligations,299000.0,24000.0,544000.0,1457000.0
Common Stock Equity,555330000.0,-76800000.0,126874000.0,127101000.0
Total Capitalization,555330000.0,-76800000.0,126874000.0,127101000.0
Total Equity Gross Minority Interest,555330000.0,-76800000.0,126874000.0,127101000.0
Stockholders Equity,555330000.0,-76800000.0,126874000.0,127101000.0
Other Equity Interest,,503524000.0,503691000.0,276741000.0
Retained Earnings,-771997000.0,-606837000.0,-394163000.0,-145084000.0
Additional Paid In Capital,1297740000.0,503524000.0,503691000.0,276741000.0
Capital Stock,920000.0,509000.0,509000.0,264000.0
Common Stock,920000.0,509000.0,509000.0,264000.0
Total Liabilities Net Minority Interest,45683000.0,171213000.0,58897000.0,20077000.0
Total Non Current Liabilities Net Minority Interest,190000.0,6791000.0,12798000.0,609000.0
Other Non Current Liabilities,,1000.0,1000.0,
Tradeand Other Payables Non Current,,6790000.0,12797000.0,
Long Term Debt And Capital Lease Obligation,190000.0,0.0,0.0,609000.0
Long Term Capital Lease Obligation,190000.0,0.0,0.0,609000.0
Current Liabilities,45493000.0,164422000.0,46099000.0,19468000.0
Other Current Liabilities,2108000.0,2902000.0,1741000.0,1921000.0
Current Debt And Capital Lease Obligation,109000.0,130365000.0,544000.0,848000.0
Current Capital Lease Obligation,109000.0,24000.0,544000.0,848000.0
Current Debt,0.0,130341000.0,0.0,0.0
Payables,26965000.0,23847000.0,23347000.0,9185000.0
Other Payable,588000.0,183000.0,,
Total Tax Payable,7449000.0,7216000.0,6401000.0,0.0
Accounts Payable,18928000.0,16448000.0,16946000.0,9185000.0
Total Assets,601013000.0,94413000.0,185771000.0,147178000.0
Total Non Current Assets,546000.0,322000.0,887000.0,1822000.0
Other Non Current Assets,1000.0,-1000.0,-1000.0,1000.0
Investmentin Financial Assets,1000.0,1000.0,1000.0,1000.0
Available For Sale Securities,1000.0,,,
Net PPE,545000.0,322000.0,887000.0,1820000.0
Accumulated Depreciation,-151000.0,-123000.0,-95000.0,-46000.0
Gross PPE,696000.0,445000.0,982000.0,1866000.0
Other Properties,696000.0,445000.0,982000.0,1866000.0
Current Assets,600467000.0,94091000.0,184883000.0,145356000.0
Other Current Assets,1000.0,,,-1000.0
Prepaid Assets,26244000.0,2138000.0,1108000.0,5774000.0
Other Receivables,5772000.0,309000.0,5336000.0,539000.0
Taxes Receivable,1735000.0,3672000.0,4893000.0,842000.0
Cash Cash Equivalents And Short Term Investments,566716000.0,87972000.0,173546000.0,138202000.0
Cash And Cash Equivalents,566716000.0,87972000.0,173546000.0,138202000.0
Cash Financial,566716000.0,87972000.0,173546000.0,138202000.0
