,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,32310837.0,28880619.0,19156004.0,14971305.0,
Share Issued,32310837.0,28880619.0,19156004.0,14971305.0,
Total Debt,,,0.0,2000000.0,2020803.0
Tangible Book Value,45684000.0,35104911.0,25127915.0,26372993.0,
Invested Capital,45684000.0,35104911.0,25127915.0,28372993.0,
Working Capital,4411000.0,3602275.0,-12793941.0,-6854771.0,
Net Tangible Assets,45684000.0,35104911.0,25127915.0,26372993.0,
Common Stock Equity,45684000.0,35104911.0,25127915.0,26372993.0,
Total Capitalization,45684000.0,35104911.0,25127915.0,26372993.0,
Total Equity Gross Minority Interest,45684000.0,35104911.0,25127915.0,26372993.0,
Stockholders Equity,45684000.0,35104911.0,25127915.0,26372993.0,
Retained Earnings,-1024000.0,-17114356.0,-22718881.0,-18150456.0,
Additional Paid In Capital,44614000.0,50414228.0,46772341.0,43724052.0,
Capital Stock,2094000.0,1805039.0,1074455.0,799397.0,
Common Stock,2094000.0,1805039.0,1074455.0,799397.0,
Total Liabilities Net Minority Interest,15495000.0,24004204.0,25174864.0,25770436.0,
Total Non Current Liabilities Net Minority Interest,5470000.0,8922469.0,1754664.0,2751541.0,
Other Non Current Liabilities,5470000.0,8922469.0,1754664.0,2751541.0,
Long Term Debt And Capital Lease Obligation,,,,,4790085.0
Long Term Debt,,,,,4790085.0
Current Liabilities,10025000.0,15081735.0,23420200.0,23018895.0,
Other Current Liabilities,6179000.0,11994502.0,17402693.0,17710389.0,
Current Debt And Capital Lease Obligation,,,0.0,2000000.0,2020803.0
Current Debt,,,0.0,2000000.0,2020803.0
Pensionand Other Post Retirement Benefit Plans Current,,1239005.0,929827.0,436248.0,327613.0
Payables,2116000.0,1498509.0,2287126.0,1569915.0,
Total Tax Payable,10000.0,5045.0,5045.0,5045.0,
Accounts Payable,2106000.0,1493464.0,2282081.0,1564870.0,
Total Assets,61179000.0,59109115.0,50302779.0,52143429.0,
Total Non Current Assets,46742000.0,40425105.0,39676520.0,35979305.0,
Net PPE,46742000.0,40425105.0,39676520.0,35979305.0,
Accumulated Depreciation,,-280696.0,-440293.0,-357558.0,-274824.0
Gross PPE,46742000.0,40705801.0,40116813.0,36336863.0,
Construction In Progress,41651000.0,37742510.0,37691561.0,33911611.0,
Other Properties,2554000.0,527017.0,209500.0,209500.0,
Machinery Furniture Equipment,,,,209500.0,209500.0
Properties,2537000.0,2436274.0,2215752.0,2215752.0,
Current Assets,14436000.0,18684010.0,10626259.0,16164124.0,
Other Current Assets,-1000.0,,,,
Current Deferred Assets,,,,,53152.0
Prepaid Assets,,46355.0,28621.0,40886.0,53152.0
Inventory,127000.0,71174.0,684.0,685639.0,
Finished Goods,,,,0.0,18585.0
Raw Materials,127000.0,71174.0,684.0,685639.0,
Other Receivables,496000.0,111098.0,736934.0,786175.0,
Taxes Receivable,345000.0,97966.0,82456.0,79742.0,
Accounts Receivable,1541000.0,1774267.0,188.0,5771.0,
Cash Cash Equivalents And Short Term Investments,11928000.0,16583150.0,9777376.0,14565911.0,
Cash And Cash Equivalents,11928000.0,16583150.0,9777376.0,14565911.0,
Cash Financial,11928000.0,16583150.0,9777376.0,14565911.0,
