,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,5270961.0,2833431.0,1905865.0,1905865.0,
Ordinary Shares Number,206562243.0,213565076.0,213205250.0,213205250.0,
Share Issued,211833204.0,216398507.0,215111115.0,215111115.0,
Total Debt,93662000.0,79457000.0,79553000.0,67810000.0,
Tangible Book Value,1002912000.0,967701000.0,402021000.0,245218000.0,
Invested Capital,3971835000.0,4006215000.0,3460281000.0,3190950000.0,
Working Capital,902806000.0,1160941000.0,683482000.0,439282000.0,
Net Tangible Assets,1002912000.0,967701000.0,402021000.0,245218000.0,
Capital Lease Obligations,93662000.0,79457000.0,79553000.0,67810000.0,
Common Stock Equity,3971835000.0,4006215000.0,3460281000.0,3190950000.0,
Total Capitalization,3971835000.0,4006215000.0,3460281000.0,3190950000.0,
Total Equity Gross Minority Interest,3971835000.0,4006215000.0,3460281000.0,3190950000.0,
Stockholders Equity,3971835000.0,4006215000.0,3460281000.0,3190950000.0,
Retained Earnings,1809433000.0,1800912000.0,1270949000.0,802967000.0,
Additional Paid In Capital,2429053000.0,2411607000.0,2403963000.0,2405622000.0,
Capital Stock,650000.0,648000.0,647000.0,647000.0,
Common Stock,650000.0,648000.0,647000.0,647000.0,
Total Liabilities Net Minority Interest,1374937000.0,967269000.0,909090000.0,712117000.0,
Total Non Current Liabilities Net Minority Interest,271849000.0,405946000.0,483197000.0,341987000.0,
Other Non Current Liabilities,129869000.0,279019000.0,351926000.0,230000000.0,
Non Current Pension And Other Postretirement Benefit Plans,1610000.0,0.0,,,
Non Current Deferred Taxes Liabilities,62976000.0,61393000.0,66113000.0,58816000.0,
Long Term Debt And Capital Lease Obligation,77394000.0,65534000.0,65158000.0,53171000.0,
Long Term Capital Lease Obligation,77394000.0,65534000.0,65158000.0,53171000.0,
Current Liabilities,1103088000.0,561323000.0,425893000.0,370130000.0,
Other Current Liabilities,31349000.0,33520000.0,28628000.0,100320000.0,
Current Debt And Capital Lease Obligation,16268000.0,13923000.0,14395000.0,14639000.0,
Current Capital Lease Obligation,16268000.0,13923000.0,14395000.0,14639000.0,
Current Debt,,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,55946000.0,51825000.0,41850000.0,35097000.0,
Current Provisions,,,380000.0,2253000.0,11377000.0
Payables,973294000.0,432020000.0,322771000.0,197631000.0,
Total Tax Payable,957241000.0,418957000.0,312677000.0,189053000.0,
Accounts Payable,16053000.0,13063000.0,10094000.0,8578000.0,
Total Assets,5346772000.0,4973484000.0,4369371000.0,3903067000.0,
Total Non Current Assets,3340878000.0,3251220000.0,3259996000.0,3093655000.0,
Non Current Prepaid Assets,10037000.0,6779000.0,,,
Non Current Deferred Taxes Assets,9302000.0,3471000.0,2785000.0,2360000.0,
Investmentin Financial Assets,101324000.0,0.0,,,
Available For Sale Securities,101324000.0,,,,
Goodwill And Other Intangible Assets,2968923000.0,3038514000.0,3058260000.0,2945732000.0,
Other Intangible Assets,692399000.0,714509000.0,742928000.0,757250000.0,
Goodwill,2276524000.0,2324005000.0,2315332000.0,2188482000.0,
Net PPE,251292000.0,202456000.0,190083000.0,134467000.0,
Accumulated Depreciation,-181358000.0,-142434000.0,-114914000.0,-87091000.0,
Gross PPE,432650000.0,344890000.0,304997000.0,221558000.0,
Construction In Progress,18329000.0,10861000.0,14504000.0,4678000.0,
Other Properties,144736000.0,115885000.0,103770000.0,81667000.0,
Machinery Furniture Equipment,123665000.0,105140000.0,94475000.0,72275000.0,
Buildings And Improvements,141790000.0,111340000.0,90584000.0,61274000.0,
Land And Improvements,4130000.0,1664000.0,1664000.0,1664000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2005894000.0,1722264000.0,1109375000.0,809412000.0,
Restricted Cash,14400000.0,13298000.0,20602000.0,16638000.0,
Prepaid Assets,32557000.0,37061000.0,29359000.0,26807000.0,
Inventory,9142000.0,7170000.0,7690000.0,3524000.0,
Other Receivables,12610000.0,15934000.0,11347000.0,7646000.0,
Taxes Receivable,741126000.0,327923000.0,251413000.0,149303000.0,
Accounts Receivable,408985000.0,348420000.0,277012000.0,200700000.0,
Allowance For Doubtful Accounts Receivable,-9994000.0,-10407000.0,-6700000.0,-3358000.0,
Gross Accounts Receivable,418979000.0,358827000.0,283712000.0,204058000.0,
Cash Cash Equivalents And Short Term Investments,787074000.0,972458000.0,511952000.0,404794000.0,
Cash And Cash Equivalents,787074000.0,972458000.0,511952000.0,404794000.0,
Cash Financial,,985756000.0,511952000.0,404794000.0,221675000.0
