,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,495814.0,,
Ordinary Shares Number,2658346.0,1503814.0,1182995.0,1034565.0,
Share Issued,2658346.0,1503814.0,1182995.0,1034565.0,
Total Debt,1797000.0,1711000.0,1851000.0,2109000.0,
Tangible Book Value,62718000.0,62907000.0,100374000.0,137204000.0,
Invested Capital,65159000.0,65639000.0,105090000.0,142264000.0,
Working Capital,57114000.0,57285000.0,100517000.0,139003000.0,
Net Tangible Assets,62718000.0,62907000.0,100374000.0,137204000.0,
Capital Lease Obligations,1437000.0,1436000.0,88000.0,191000.0,
Common Stock Equity,64799000.0,65364000.0,103327000.0,140346000.0,
Total Capitalization,64799000.0,65364000.0,103327000.0,140346000.0,
Total Equity Gross Minority Interest,64799000.0,65364000.0,103327000.0,140346000.0,
Stockholders Equity,64799000.0,65364000.0,103327000.0,140346000.0,
Other Equity Interest,-216634000.0,-470100000.0,-239503000.0,-129358000.0,
Additional Paid In Capital,269618000.0,529752000.0,338651000.0,266243000.0,
Capital Stock,11815000.0,5712000.0,4179000.0,3461000.0,
Common Stock,11815000.0,5712000.0,4179000.0,3461000.0,
Total Liabilities Net Minority Interest,40111000.0,13328000.0,34036000.0,11610000.0,
Total Non Current Liabilities Net Minority Interest,1865000.0,1946000.0,2610000.0,4149000.0,
Other Non Current Liabilities,1437000.0,,1914000.0,3287000.0,5272000.0
Non Current Deferred Taxes Liabilities,428000.0,510000.0,608000.0,671000.0,
Long Term Debt And Capital Lease Obligation,1437000.0,1436000.0,88000.0,191000.0,
Long Term Capital Lease Obligation,1437000.0,1436000.0,88000.0,191000.0,
Current Liabilities,38246000.0,11382000.0,31426000.0,7461000.0,
Other Current Liabilities,29420000.0,9270000.0,17511000.0,3858000.0,
Current Debt And Capital Lease Obligation,360000.0,275000.0,1763000.0,1918000.0,
Current Debt,360000.0,275000.0,1763000.0,1918000.0,
Payables,8466000.0,1837000.0,12152000.0,1685000.0,
Accounts Payable,8466000.0,1837000.0,12152000.0,1685000.0,
Total Assets,104910000.0,78692000.0,137363000.0,151956000.0,
Total Non Current Assets,9550000.0,10025000.0,5420000.0,5492000.0,
Other Non Current Assets,-4000.0,16000.0,,-1000.0,
Long Term Equity Investment,4615000.0,4462000.0,25000.0,23000.0,
Investmentsin Joint Venturesat Cost,,,,0.0,34000.0
Investmentsin Associatesat Cost,4615000.0,4462000.0,25000.0,23000.0,
Goodwill And Other Intangible Assets,2081000.0,2457000.0,2953000.0,3142000.0,
Other Intangible Assets,2081000.0,2457000.0,2953000.0,3142000.0,
Goodwill,,,,0.0,194000.0
Net PPE,1535000.0,1769000.0,910000.0,1209000.0,
Accumulated Depreciation,-7772000.0,-6384000.0,-5326000.0,-4153000.0,
Gross PPE,9307000.0,8153000.0,6236000.0,5362000.0,
Machinery Furniture Equipment,9307000.0,8153000.0,6236000.0,5362000.0,
Current Assets,95360000.0,68667000.0,131943000.0,146464000.0,
Prepaid Assets,1149000.0,515000.0,10175000.0,479000.0,
Other Receivables,2720000.0,1402000.0,1719000.0,2012000.0,
Taxes Receivable,8760000.0,8203000.0,8249000.0,3470000.0,
Accounts Receivable,1190000.0,950000.0,826000.0,1623000.0,
Cash Cash Equivalents And Short Term Investments,81541000.0,57597000.0,110974000.0,138880000.0,
Other Short Term Investments,,,,101769000.0,
Cash And Cash Equivalents,81541000.0,57597000.0,110974000.0,37111000.0,
Cash Financial,81541000.0,57597000.0,110974000.0,37111000.0,
