,2024-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,134707974.0,134707973.0,134707973.0
Share Issued,134707974.0,134707973.0,134707973.0
Net Debt,,35772000.0,40107000.0
Total Debt,4217832.0,55259000.0,63150000.0
Tangible Book Value,11053562.0,-36155000.0,-45706000.0
Invested Capital,55288434.0,54605000.0,52655000.0
Working Capital,6253191.0,-179000.0,-3455000.0
Net Tangible Assets,11053562.0,-36155000.0,-45706000.0
Capital Lease Obligations,3788121.0,12556000.0,14087000.0
Common Stock Equity,54858723.0,11902000.0,3592000.0
Total Capitalization,54966554.0,50752000.0,49200000.0
Total Equity Gross Minority Interest,54858723.0,11925000.0,3606000.0
Minority Interest,,23000.0,14000.0
Stockholders Equity,54858723.0,11902000.0,3592000.0
Other Equity Interest,,-1000.0,
Retained Earnings,-161217445.0,-105673000.0,-105611000.0
Additional Paid In Capital,4488127.0,35492000.0,32204000.0
Capital Stock,134708.0,84323000.0,78915000.0
Common Stock,134708.0,84323000.0,78915000.0
Total Liabilities Net Minority Interest,20654200.0,75744000.0,89545000.0
Total Non Current Liabilities Net Minority Interest,3951247.0,49434000.0,58875000.0
Other Non Current Liabilities,,,2000.0
Tradeand Other Payables Non Current,2268625.0,,
Non Current Deferred Taxes Liabilities,1000000.0,416000.0,1529000.0
Long Term Debt And Capital Lease Obligation,1682622.0,49018000.0,57344000.0
Long Term Capital Lease Obligation,1574791.0,10168000.0,11736000.0
Long Term Debt,107831.0,38850000.0,45608000.0
Current Liabilities,16702953.0,26310000.0,30670000.0
Current Debt And Capital Lease Obligation,2535210.0,6241000.0,5806000.0
Current Capital Lease Obligation,2213330.0,2388000.0,2351000.0
Current Debt,321880.0,3853000.0,3455000.0
Payables,12175123.0,19144000.0,14951000.0
Other Payable,4898835.0,3939000.0,4146000.0
Total Tax Payable,5858226.0,12519000.0,7673000.0
Accounts Payable,1418062.0,2686000.0,3132000.0
Total Assets,75512923.0,87669000.0,93151000.0
Total Non Current Assets,52556779.0,61538000.0,65936000.0
Other Non Current Assets,,517000.0,532000.0
Non Current Deferred Taxes Assets,425494.0,78000.0,60000.0
Long Term Equity Investment,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0
Goodwill And Other Intangible Assets,43805161.0,48057000.0,49298000.0
Other Intangible Assets,31068691.0,31732000.0,33011000.0
Goodwill,12736470.0,16325000.0,16287000.0
Net PPE,3943181.0,12886000.0,16046000.0
Accumulated Depreciation,-359917.0,-9760000.0,-8100000.0
Gross PPE,4303098.0,22646000.0,24146000.0
Other Properties,3900000.0,,
Machinery Furniture Equipment,2434201.0,7416000.0,7083000.0
Buildings And Improvements,1868897.0,15230000.0,17063000.0
Properties,0.0,0.0,0.0
Current Assets,22956144.0,26131000.0,27215000.0
Restricted Cash,1068400.0,1630000.0,2548000.0
Prepaid Assets,1732584.0,1409000.0,1202000.0
Other Receivables,6675560.0,2966000.0,4685000.0
Taxes Receivable,373066.0,4801000.0,499000.0
Accounts Receivable,7251376.0,8394000.0,9325000.0
Allowance For Doubtful Accounts Receivable,,-423000.0,-452000.0
Gross Accounts Receivable,7251376.0,8817000.0,9777000.0
Cash Cash Equivalents And Short Term Investments,5304726.0,6931000.0,8956000.0
Cash And Cash Equivalents,5304726.0,6931000.0,8956000.0
