,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,140669159.0,140669159.0,83135830.0,69279859.0,
Share Issued,140669159.0,140669159.0,83135830.0,69279859.0,
Net Debt,,,30946000.0,,
Total Debt,101837000.0,90731000.0,108906000.0,46675000.0,
Tangible Book Value,-64810000.0,17342000.0,-17534000.0,93507000.0,
Invested Capital,74261000.0,167394000.0,168841000.0,238720000.0,
Working Capital,-20147000.0,61166000.0,-36888000.0,83510000.0,
Net Tangible Assets,-64810000.0,17342000.0,-17534000.0,93507000.0,
Capital Lease Obligations,50317000.0,33122000.0,44863000.0,32845000.0,
Common Stock Equity,22741000.0,109785000.0,104798000.0,224890000.0,
Total Capitalization,66271000.0,162863000.0,111683000.0,235191000.0,
Total Equity Gross Minority Interest,22741000.0,109785000.0,104798000.0,224890000.0,
Stockholders Equity,22741000.0,109785000.0,104798000.0,224890000.0,
Retained Earnings,-766476000.0,-687085000.0,-594598000.0,-367658000.0,
Additional Paid In Capital,769102000.0,769102000.0,676505000.0,581599000.0,
Capital Stock,9847000.0,9847000.0,4391000.0,3660000.0,
Common Stock,9847000.0,9847000.0,4391000.0,3660000.0,
Total Liabilities Net Minority Interest,308232000.0,192424000.0,229374000.0,170910000.0,
Total Non Current Liabilities Net Minority Interest,100555000.0,89778000.0,47788000.0,43961000.0,
Other Non Current Liabilities,8970000.0,8337000.0,,,7752000.0
Derivative Product Liabilities,10261000.0,7181000.0,0.0,,
Non Current Accrued Expenses,,8337000.0,8521000.0,7846000.0,7752000.0
Tradeand Other Payables Non Current,,,,2792000.0,
Long Term Debt And Capital Lease Obligation,81324000.0,74260000.0,39267000.0,33323000.0,
Long Term Capital Lease Obligation,37794000.0,21182000.0,32382000.0,23022000.0,
Long Term Debt,43530000.0,53078000.0,6885000.0,10301000.0,
Current Liabilities,207677000.0,102646000.0,181586000.0,126949000.0,
Other Current Liabilities,23018000.0,16461000.0,,2241000.0,1820000.0
Current Debt And Capital Lease Obligation,20513000.0,16471000.0,69639000.0,13352000.0,
Current Capital Lease Obligation,12523000.0,11940000.0,12481000.0,9823000.0,
Current Debt,7990000.0,4531000.0,57158000.0,3529000.0,
Pensionand Other Post Retirement Benefit Plans Current,,4966000.0,5224000.0,10892000.0,9934000.0
Current Provisions,,4841000.0,13404000.0,555000.0,
Payables,22253000.0,18799000.0,29237000.0,32340000.0,
Total Tax Payable,16000.0,1042000.0,1480000.0,1510000.0,
Accounts Payable,22237000.0,17757000.0,27757000.0,30830000.0,
Total Assets,330973000.0,302209000.0,334172000.0,395800000.0,
Total Non Current Assets,143443000.0,138397000.0,189474000.0,185341000.0,
Other Non Current Assets,-1000.0,,4794000.0,4156000.0,4069000.0
Non Current Prepaid Assets,4989000.0,4800000.0,4794000.0,4156000.0,
Non Current Deferred Taxes Assets,,,0.0,356000.0,1541000.0
Long Term Equity Investment,,,0.0,0.0,0.0
Investmentsin Associatesat Cost,,,0.0,0.0,0.0
Goodwill And Other Intangible Assets,87551000.0,92443000.0,122332000.0,131383000.0,
Other Intangible Assets,87551000.0,92443000.0,122332000.0,127673000.0,
Goodwill,,0.0,0.0,3710000.0,3710000.0
Net PPE,50904000.0,41154000.0,62348000.0,49446000.0,
Accumulated Depreciation,,-47930000.0,-50846000.0,-40281000.0,-31342000.0
Gross PPE,50904000.0,41154000.0,113194000.0,89727000.0,
Other Properties,9156000.0,13040000.0,3538000.0,30633000.0,
Machinery Furniture Equipment,,18422000.0,28740000.0,26048000.0,24986000.0
Buildings And Improvements,41748000.0,28114000.0,80916000.0,63679000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,187530000.0,163812000.0,144698000.0,210459000.0,
Other Current Assets,,,-18000.0,,
Restricted Cash,,,0.0,15755000.0,1894000.0
Prepaid Assets,,4725000.0,4033000.0,4173000.0,2348000.0
Inventory,39245000.0,43475000.0,46162000.0,35961000.0,
Work In Process,14837000.0,3894000.0,11102000.0,4679000.0,
Raw Materials,24408000.0,39581000.0,35060000.0,31282000.0,
Other Receivables,18214000.0,31923000.0,29500000.0,34924000.0,
Taxes Receivable,4430000.0,1992000.0,11952000.0,8178000.0,
Accounts Receivable,42943000.0,25345000.0,19954000.0,27952000.0,
Allowance For Doubtful Accounts Receivable,-41000.0,-20196000.0,-64309000.0,-3046000.0,
Gross Accounts Receivable,42984000.0,45541000.0,84263000.0,30998000.0,
Cash Cash Equivalents And Short Term Investments,82698000.0,61077000.0,33097000.0,83516000.0,
Cash And Cash Equivalents,82698000.0,61077000.0,33097000.0,83516000.0,
