,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,4033981887.0,528734228.0,296566596.0,189897890.0,
Share Issued,4033981887.0,528734228.0,296566596.0,189897890.0,
Net Debt,,1389000.0,,2586000.0,
Total Debt,0.0,3703000.0,4059000.0,3914000.0,
Tangible Book Value,-5108000.0,-20219000.0,-12472000.0,-9267000.0,
Invested Capital,6926000.0,21210000.0,40379000.0,54334000.0,
Working Capital,-3208000.0,-17440000.0,-6350000.0,-8457000.0,
Net Tangible Assets,-5108000.0,-20219000.0,-12472000.0,-9267000.0,
Common Stock Equity,6926000.0,17507000.0,36320000.0,50420000.0,
Total Capitalization,6926000.0,20377000.0,38425000.0,51995000.0,
Total Equity Gross Minority Interest,6926000.0,17507000.0,36320000.0,50420000.0,
Stockholders Equity,6926000.0,17507000.0,36320000.0,50420000.0,
Other Equity Interest,-209078000.0,-207865000.0,-170559000.0,-135819000.0,
Retained Earnings,-24860000.0,,,,-109196000.0
Additional Paid In Capital,230779000.0,200984000.0,193190000.0,177540000.0,
Capital Stock,10085000.0,24388000.0,13689000.0,8699000.0,
Common Stock,10085000.0,24388000.0,13689000.0,8699000.0,
Total Liabilities Net Minority Interest,11318000.0,34735000.0,29595000.0,19678000.0,
Total Non Current Liabilities Net Minority Interest,2122000.0,5996000.0,9778000.0,4741000.0,
Other Non Current Liabilities,2122000.0,2703000.0,7227000.0,2695000.0,
Non Current Deferred Taxes Liabilities,,423000.0,446000.0,471000.0,495000.0
Long Term Debt And Capital Lease Obligation,0.0,2870000.0,2105000.0,1575000.0,
Long Term Debt,0.0,2870000.0,2105000.0,1575000.0,
Current Liabilities,9196000.0,28739000.0,19817000.0,14937000.0,
Other Current Liabilities,2798000.0,17116000.0,10407000.0,5639000.0,
Current Debt And Capital Lease Obligation,0.0,833000.0,1954000.0,2339000.0,
Current Debt,0.0,833000.0,1954000.0,2339000.0,
Pensionand Other Post Retirement Benefit Plans Current,,2153000.0,2120000.0,2473000.0,2801000.0
Payables,3608000.0,5796000.0,2697000.0,1792000.0,
Other Payable,,1056000.0,459000.0,,
Total Tax Payable,,476000.0,0.0,396000.0,912000.0
Accounts Payable,3608000.0,4264000.0,2238000.0,1396000.0,
Total Assets,18244000.0,52242000.0,65915000.0,70098000.0,
Total Non Current Assets,12256000.0,40943000.0,52448000.0,63618000.0,
Non Current Deferred Taxes Assets,,,0.0,85000.0,85000.0
Investmentin Financial Assets,0.0,,,0.0,8000.0
Available For Sale Securities,,,,,8000.0
Goodwill And Other Intangible Assets,12034000.0,37726000.0,48792000.0,59687000.0,
Other Intangible Assets,9398000.0,34650000.0,45276000.0,55731000.0,
Goodwill,2636000.0,3076000.0,3516000.0,3956000.0,
Net PPE,222000.0,2824000.0,3064000.0,3379000.0,
Accumulated Depreciation,,-3390000.0,-3186000.0,-2983000.0,-5743000.0
Gross PPE,222000.0,6214000.0,6250000.0,6362000.0,
Other Properties,,76000.0,,,
Machinery Furniture Equipment,222000.0,,,0.0,3581000.0
Properties,0.0,6138000.0,6250000.0,6362000.0,
Current Assets,5988000.0,11299000.0,13467000.0,6480000.0,
Prepaid Assets,,687000.0,845000.0,478000.0,539000.0
Inventory,2583000.0,2000000.0,1481000.0,1200000.0,
Other Inventories,,,161000.0,104000.0,
Raw Materials,,2000000.0,1481000.0,1200000.0,1083000.0
Other Receivables,700000.0,3980000.0,1890000.0,1722000.0,
Accounts Receivable,2392000.0,2318000.0,4578000.0,1752000.0,
Cash Cash Equivalents And Short Term Investments,313000.0,2314000.0,4673000.0,1328000.0,
Cash And Cash Equivalents,313000.0,2314000.0,4673000.0,1328000.0,
Cash Financial,313000.0,2314000.0,4673000.0,1328000.0,
