,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,2068152.0,1447605.0,741713.0,741713.0,
Share Issued,2068152.0,1447605.0,741713.0,741713.0,
Total Debt,6352921.0,8249626.0,2173913.0,2795031.0,
Tangible Book Value,10541214.0,25894555.0,-7405886.0,37886648.0,
Invested Capital,73693042.0,90287600.0,99819135.0,114085242.0,
Working Capital,14451020.0,31539965.0,-5899159.0,39969612.0,
Net Tangible Assets,10541214.0,25894555.0,-7405886.0,37886648.0,
Common Stock Equity,67340121.0,82037974.0,97645222.0,111290211.0,
Total Capitalization,71796336.0,88390894.0,99198017.0,113464124.0,
Total Equity Gross Minority Interest,67340121.0,82037974.0,97645222.0,111290211.0,
Stockholders Equity,67340121.0,82037974.0,97645222.0,111290211.0,
Other Equity Interest,-169682900.0,-139130494.0,-70385545.0,,
Retained Earnings,,,,-125150329.0,-96319159.0
Additional Paid In Capital,226661579.0,211469023.0,164712421.0,164712421.0,
Capital Stock,10361442.0,9699445.0,3318346.0,3318346.0,
Common Stock,10361442.0,9699445.0,3318346.0,3318346.0,
Total Liabilities Net Minority Interest,15939552.0,20600305.0,22171033.0,6525045.0,
Total Non Current Liabilities Net Minority Interest,4456215.0,6352920.0,1552795.0,2173913.0,
Long Term Debt And Capital Lease Obligation,4456215.0,6352920.0,1552795.0,2173913.0,
Long Term Debt,4456215.0,6352920.0,1552795.0,2173913.0,
Current Liabilities,11483337.0,14247385.0,20618238.0,4351132.0,
Other Current Liabilities,645560.0,473091.0,397679.0,230628.0,
Current Debt And Capital Lease Obligation,1896706.0,1896706.0,621118.0,621118.0,
Current Debt,1896706.0,1896706.0,621118.0,621118.0,
Pensionand Other Post Retirement Benefit Plans Current,,1482290.0,832494.0,131420.0,0.0
Payables,2993723.0,2007218.0,10449967.0,2227131.0,
Total Tax Payable,176421.0,217885.0,118582.0,17867.0,
Accounts Payable,2817302.0,1789333.0,10331385.0,2209264.0,
Total Assets,83279673.0,102638279.0,119816255.0,117815256.0,
Total Non Current Assets,57345316.0,56850929.0,105097176.0,73494512.0,
Goodwill And Other Intangible Assets,56798907.0,56143419.0,105051108.0,73403563.0,
Other Intangible Assets,,56143419.0,105051108.0,73403563.0,53861684.0
Net PPE,546409.0,707510.0,46068.0,90949.0,
Accumulated Depreciation,,-890963.0,-794241.0,-749360.0,-561209.0
Gross PPE,546409.0,1598473.0,840309.0,840309.0,
Other Properties,,,,840309.0,840309.0
Machinery Furniture Equipment,546409.0,1598473.0,840309.0,,840309.0
Current Assets,25934357.0,45787350.0,14719079.0,44320744.0,
Prepaid Assets,,1435630.0,1297930.0,,
Other Receivables,2219115.0,1049008.0,2162111.0,1648044.0,
Cash Cash Equivalents And Short Term Investments,23715242.0,43302712.0,11259038.0,42672700.0,
Cash And Cash Equivalents,23715242.0,43302712.0,11259038.0,42672700.0,
Cash Financial,23715242.0,43302712.0,11259038.0,42672700.0,
