,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,14900867.0,14900867.0,14900867.0,9713695.0,
Share Issued,14900867.0,14900867.0,14900867.0,9713695.0,
Net Debt,24461000.0,16990000.0,22350000.0,29437000.0,
Total Debt,42671000.0,41799000.0,40382000.0,38972000.0,
Tangible Book Value,-32797000.0,-26664000.0,-31573000.0,-37204000.0,
Invested Capital,133370000.0,138462000.0,127953000.0,91817000.0,
Working Capital,-38599000.0,-29459000.0,-32074000.0,-25030000.0,
Net Tangible Assets,-32797000.0,-26664000.0,-31573000.0,-37204000.0,
Capital Lease Obligations,9838000.0,9748000.0,9379000.0,3746000.0,
Common Stock Equity,100537000.0,106411000.0,96950000.0,56591000.0,
Total Capitalization,100537000.0,107816000.0,101766000.0,70105000.0,
Total Equity Gross Minority Interest,100537000.0,106411000.0,96950000.0,56591000.0,
Stockholders Equity,100537000.0,106411000.0,96950000.0,56591000.0,
Retained Earnings,27394000.0,33268000.0,23807000.0,10231000.0,
Additional Paid In Capital,49302000.0,49302000.0,49302000.0,32789000.0,
Capital Stock,23841000.0,23841000.0,23841000.0,13571000.0,
Common Stock,23841000.0,23841000.0,23841000.0,13571000.0,
Total Liabilities Net Minority Interest,132448000.0,154908000.0,135707000.0,90405000.0,
Total Non Current Liabilities Net Minority Interest,5861000.0,8964000.0,12363000.0,16696000.0,
Other Non Current Liabilities,1000.0,1000.0,-1000.0,-1000.0,
Non Current Deferred Taxes Liabilities,629000.0,1179000.0,1073000.0,859000.0,
Long Term Debt And Capital Lease Obligation,5231000.0,7403000.0,10910000.0,15264000.0,
Long Term Capital Lease Obligation,5231000.0,5998000.0,6094000.0,1750000.0,
Long Term Debt,0.0,1405000.0,4816000.0,13514000.0,
Long Term Provisions,,381000.0,381000.0,574000.0,
Current Liabilities,126587000.0,145944000.0,123344000.0,73709000.0,
Other Current Liabilities,25031000.0,30590000.0,25901000.0,12578000.0,
Current Debt And Capital Lease Obligation,37440000.0,34396000.0,29472000.0,23708000.0,
Current Capital Lease Obligation,4607000.0,3750000.0,3285000.0,1996000.0,
Current Debt,32833000.0,30646000.0,26187000.0,21712000.0,
Pensionand Other Post Retirement Benefit Plans Current,45823000.0,46781000.0,36496000.0,16236000.0,
Payables,13704000.0,24754000.0,22696000.0,11102000.0,
Other Payable,,,10000000.0,,
Total Tax Payable,947000.0,1093000.0,3167000.0,754000.0,
Accounts Payable,12757000.0,23661000.0,19529000.0,10348000.0,
Total Assets,232985000.0,261319000.0,232657000.0,146996000.0,
Total Non Current Assets,144997000.0,144834000.0,141387000.0,98317000.0,
Other Non Current Assets,1000.0,,-1000.0,,-1000.0
Non Current Prepaid Assets,150000.0,150000.0,161000.0,150000.0,
Non Current Deferred Taxes Assets,813000.0,813000.0,2449000.0,0.0,
Investmentin Financial Assets,1000000.0,,,,
Goodwill And Other Intangible Assets,133334000.0,133075000.0,128523000.0,93795000.0,
Other Intangible Assets,1092000.0,833000.0,1273000.0,723000.0,
Goodwill,132242000.0,132242000.0,127250000.0,93072000.0,
Net PPE,10699000.0,10796000.0,10255000.0,4372000.0,
Accumulated Depreciation,-12895000.0,-8038000.0,-4084000.0,-4155000.0,
Gross PPE,23594000.0,18834000.0,14339000.0,8527000.0,
Other Properties,23594000.0,18834000.0,14339000.0,8527000.0,
Machinery Furniture Equipment,,,2547000.0,1965000.0,984000.0
Current Assets,87988000.0,116485000.0,91270000.0,48679000.0,
Other Current Assets,79700000.0,-1000.0,-1000.0,,
Current Deferred Assets,1718000.0,1717000.0,1899000.0,982000.0,
Prepaid Assets,301000.0,751000.0,1027000.0,757000.0,
Other Receivables,54508000.0,69340000.0,45911000.0,21825000.0,
Taxes Receivable,,0.0,0.0,113000.0,1453000.0
Accounts Receivable,23089000.0,29617000.0,33781000.0,19213000.0,
Allowance For Doubtful Accounts Receivable,0.0,-34000.0,-34000.0,-92000.0,
Gross Accounts Receivable,23089000.0,29651000.0,33815000.0,19305000.0,
Cash Cash Equivalents And Short Term Investments,8372000.0,15061000.0,8653000.0,5789000.0,
Cash And Cash Equivalents,8372000.0,15061000.0,8653000.0,5789000.0,
Cash Financial,8372000.0,15061000.0,8653000.0,5789000.0,
