,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,5714121.0,5714121.0,5576202.0,5560009.0,
Share Issued,5714121.0,5714121.0,5576202.0,5560009.0,
Net Debt,104851000.0,81409000.0,74724000.0,44209000.0,
Total Debt,111728000.0,86978000.0,85144000.0,49763000.0,
Tangible Book Value,104296000.0,103550000.0,98285000.0,66616000.0,
Invested Capital,216767000.0,191409000.0,183749000.0,116699000.0,
Working Capital,129544000.0,107798000.0,97675000.0,74843000.0,
Net Tangible Assets,104296000.0,103550000.0,98285000.0,66616000.0,
Common Stock Equity,105039000.0,104431000.0,98605000.0,66936000.0,
Total Capitalization,209939000.0,184780000.0,174744000.0,106037000.0,
Total Equity Gross Minority Interest,105039000.0,104431000.0,98605000.0,66936000.0,
Stockholders Equity,105039000.0,104431000.0,98605000.0,66936000.0,
Retained Earnings,99325000.0,93870000.0,6877000.0,-2084000.0,
Additional Paid In Capital,0.0,4847000.0,86152000.0,64087000.0,
Capital Stock,5714000.0,5714000.0,5576000.0,4933000.0,
Common Stock,5714000.0,5714000.0,5576000.0,4933000.0,
Total Liabilities Net Minority Interest,156132000.0,121015000.0,109854000.0,118064000.0,
Total Non Current Liabilities Net Minority Interest,127031000.0,91504000.0,80117000.0,85722000.0,
Other Non Current Liabilities,43074000.0,,42281000.0,45458000.0,47882000.0
Tradeand Other Payables Non Current,,229000.0,458000.0,,
Non Current Deferred Taxes Liabilities,1779000.0,1564000.0,1363000.0,1163000.0,
Long Term Debt And Capital Lease Obligation,104900000.0,80349000.0,76139000.0,39101000.0,
Long Term Debt,104900000.0,80349000.0,76139000.0,39101000.0,
Long Term Provisions,20352000.0,9362000.0,2157000.0,,
Current Liabilities,29101000.0,29511000.0,29737000.0,32342000.0,
Other Current Liabilities,12782000.0,11922000.0,12954000.0,14162000.0,
Current Debt And Capital Lease Obligation,6828000.0,6629000.0,9005000.0,10662000.0,
Current Debt,6828000.0,6629000.0,9005000.0,10662000.0,
Payables,4982000.0,6646000.0,4333000.0,3964000.0,
Total Tax Payable,393000.0,0.0,0.0,379000.0,
Accounts Payable,4589000.0,6646000.0,4333000.0,3585000.0,
Total Assets,261171000.0,225446000.0,208459000.0,185000000.0,
Total Non Current Assets,102526000.0,88137000.0,81047000.0,77815000.0,
Other Non Current Assets,-1000.0,-1000.0,-1000.0,,
Non Current Deferred Taxes Assets,0.0,,0.0,1492000.0,4128000.0
Goodwill And Other Intangible Assets,743000.0,881000.0,320000.0,320000.0,
Other Intangible Assets,743000.0,881000.0,320000.0,320000.0,
Net PPE,101784000.0,87257000.0,80728000.0,76003000.0,
Accumulated Depreciation,-48262000.0,-41347000.0,-34932000.0,-29544000.0,
Gross PPE,150046000.0,128604000.0,115660000.0,105547000.0,
Construction In Progress,91000.0,6204000.0,1628000.0,309000.0,
Other Properties,64749000.0,58475000.0,50567000.0,45568000.0,
Machinery Furniture Equipment,17229000.0,14202000.0,13823000.0,10605000.0,
Properties,67977000.0,49723000.0,49642000.0,49065000.0,
Current Assets,158645000.0,137309000.0,127412000.0,107185000.0,
Inventory,140031000.0,120191000.0,99558000.0,83588000.0,
Other Inventories,,,,75963000.0,65741000.0
Finished Goods,6479000.0,6273000.0,5789000.0,5075000.0,
Work In Process,129767000.0,109905000.0,90811000.0,75963000.0,
Raw Materials,3785000.0,4013000.0,2958000.0,2550000.0,
Other Receivables,2600000.0,936000.0,1934000.0,3445000.0,
Taxes Receivable,0.0,210000.0,0.0,,
Accounts Receivable,9137000.0,10403000.0,15500000.0,14598000.0,
Cash Cash Equivalents And Short Term Investments,6877000.0,5569000.0,10420000.0,5554000.0,
Cash And Cash Equivalents,6877000.0,5569000.0,10420000.0,5554000.0,
Cash Financial,6877000.0,5569000.0,10420000.0,5554000.0,
