,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,2297040.0,2035969.0,3300000.0,1800000.0
Ordinary Shares Number,205472710.0,203026610.0,203026610.0,200486650.0,
Share Issued,205472710.0,205323650.0,205062579.0,203786650.0,
Net Debt,1880000000.0,2111000000.0,1359000000.0,857900000.0,
Total Debt,3070000000.0,3491000000.0,2351000000.0,1926800000.0,
Tangible Book Value,981000000.0,424000000.0,277000000.0,256900000.0,
Invested Capital,6535000000.0,6326000000.0,4679000000.0,3175100000.0,
Working Capital,1864000000.0,1977000000.0,1505000000.0,1046600000.0,
Net Tangible Assets,981000000.0,424000000.0,277000000.0,256900000.0,
Capital Lease Obligations,557000000.0,567000000.0,440000000.0,393800000.0,
Common Stock Equity,4022000000.0,3402000000.0,2768000000.0,1642100000.0,
Total Capitalization,6383000000.0,6176000000.0,4579000000.0,2900800000.0,
Total Equity Gross Minority Interest,4057000000.0,3438000000.0,2805000000.0,1647500000.0,
Minority Interest,35000000.0,35000000.0,37000000.0,5400000.0,
Stockholders Equity,4022000000.0,3402000000.0,2768000000.0,1642100000.0,
Other Equity Interest,-1000000.0,,,-100000.0,
Retained Earnings,2624000000.0,2258000000.0,1503000000.0,702400000.0,
Additional Paid In Capital,1027000000.0,959000000.0,938000000.0,904500000.0,
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0,
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,
Total Liabilities Net Minority Interest,4905000000.0,5295000000.0,4583000000.0,3067700000.0,
Total Non Current Liabilities Net Minority Interest,3414000000.0,3802000000.0,2824000000.0,1858000000.0,
Other Non Current Liabilities,352000000.0,304000000.0,428000000.0,162100000.0,
Non Current Deferred Taxes Liabilities,276000000.0,248000000.0,213000000.0,104800000.0,
Long Term Debt And Capital Lease Obligation,2786000000.0,3250000000.0,2183000000.0,1591100000.0,
Long Term Capital Lease Obligation,425000000.0,476000000.0,372000000.0,332400000.0,
Long Term Debt,2361000000.0,2774000000.0,1811000000.0,1258700000.0,
Current Liabilities,1491000000.0,1493000000.0,1759000000.0,1209700000.0,
Other Current Liabilities,92000000.0,248000000.0,330000000.0,119100000.0,
Current Debt And Capital Lease Obligation,284000000.0,241000000.0,168000000.0,335700000.0,
Current Capital Lease Obligation,132000000.0,91000000.0,68000000.0,61400000.0,
Current Debt,152000000.0,150000000.0,100000000.0,274300000.0,
Pensionand Other Post Retirement Benefit Plans Current,,76000000.0,84000000.0,62600000.0,18800000.0
Current Provisions,34000000.0,59000000.0,14000000.0,4100000.0,
Payables,736000000.0,598000000.0,896000000.0,534800000.0,
Total Tax Payable,57000000.0,88000000.0,108000000.0,29700000.0,
Accounts Payable,679000000.0,510000000.0,788000000.0,505100000.0,
Total Assets,8962000000.0,8733000000.0,7388000000.0,4715200000.0,
Total Non Current Assets,5608000000.0,5263000000.0,4124000000.0,2458900000.0,
Other Non Current Assets,,2000000.0,-3000000.0,,-200000.0
Investmentin Financial Assets,66000000.0,,,,
Goodwill And Other Intangible Assets,3041000000.0,2978000000.0,2491000000.0,1385200000.0,
Other Intangible Assets,,505000000.0,449000000.0,320700000.0,158900000.0
Goodwill,,2473000000.0,2042000000.0,1064500000.0,389500000.0
Net PPE,2501000000.0,2278000000.0,1632000000.0,1071900000.0,
Accumulated Depreciation,,-699000000.0,-559000000.0,-479800000.0,-432800000.0
Gross PPE,,2977000000.0,2191000000.0,1551700000.0,874000000.0
Other Properties,,340000000.0,298000000.0,242600000.0,171700000.0
Machinery Furniture Equipment,,1698000000.0,1197000000.0,731100000.0,452100000.0
Buildings And Improvements,,543000000.0,425000000.0,384500000.0,204900000.0
Land And Improvements,,396000000.0,271000000.0,193500000.0,45300000.0
Properties,,0.0,0.0,0.0,0.0
Current Assets,3355000000.0,3470000000.0,3264000000.0,2256300000.0,
Other Current Assets,,-1000000.0,1000000.0,-100000.0,100000.0
Prepaid Assets,,53000000.0,55000000.0,26000000.0,17500000.0
Inventory,1442000000.0,1393000000.0,1596000000.0,928800000.0,
Other Inventories,,,-1000000.0,,
Finished Goods,,925000000.0,1241000000.0,613600000.0,279800000.0
Work In Process,,66000000.0,47000000.0,46600000.0,17200000.0
Raw Materials,,402000000.0,309000000.0,268600000.0,113300000.0
Other Receivables,159000000.0,88000000.0,42000000.0,29200000.0,
Accounts Receivable,1121000000.0,1124000000.0,1018000000.0,597300000.0,
Allowance For Doubtful Accounts Receivable,,-22000000.0,-20000000.0,-7200000.0,-8100000.0
Gross Accounts Receivable,,1146000000.0,1039000000.0,604500000.0,316100000.0
Cash Cash Equivalents And Short Term Investments,633000000.0,813000000.0,552000000.0,675100000.0,
Cash And Cash Equivalents,633000000.0,813000000.0,552000000.0,675100000.0,
Cash Financial,,813000000.0,552000000.0,675100000.0,212300000.0
