,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,169711476.0,91163145.0,49088564.0,49088564.0,
Share Issued,169711476.0,91163145.0,49088564.0,49088564.0,
Total Debt,680000.0,10265000.0,37574000.0,33262000.0,
Tangible Book Value,9707000.0,64443000.0,110207000.0,286757000.0,
Invested Capital,11649000.0,66991000.0,243803000.0,433904000.0,
Working Capital,12909000.0,50608000.0,91529000.0,264353000.0,
Net Tangible Assets,9707000.0,64443000.0,110207000.0,286757000.0,
Capital Lease Obligations,680000.0,10265000.0,37574000.0,33262000.0,
Common Stock Equity,11649000.0,66991000.0,243803000.0,433904000.0,
Total Capitalization,11649000.0,66991000.0,243803000.0,433904000.0,
Total Equity Gross Minority Interest,11649000.0,66991000.0,243803000.0,433904000.0,
Stockholders Equity,11649000.0,66991000.0,243803000.0,433904000.0,
Retained Earnings,-1135371000.0,-1058830000.0,-749392000.0,-581300000.0,
Additional Paid In Capital,1186063000.0,1136480000.0,1016369000.0,1015730000.0,
Capital Stock,5091000.0,2264000.0,1132000.0,1132000.0,
Common Stock,5091000.0,2264000.0,1132000.0,1132000.0,
Total Liabilities Net Minority Interest,21393000.0,31690000.0,56786000.0,59905000.0,
Total Non Current Liabilities Net Minority Interest,5708000.0,1787000.0,32700000.0,27156000.0,
Other Non Current Liabilities,,,,-1000.0,
Long Term Debt And Capital Lease Obligation,0.0,1787000.0,32700000.0,27156000.0,
Long Term Capital Lease Obligation,0.0,1787000.0,32700000.0,27156000.0,
Long Term Provisions,5708000.0,,,,
Current Liabilities,15685000.0,29903000.0,24086000.0,32749000.0,
Other Current Liabilities,6295000.0,3916000.0,2464000.0,3365000.0,
Current Debt And Capital Lease Obligation,680000.0,8478000.0,4874000.0,6106000.0,
Current Capital Lease Obligation,680000.0,8478000.0,4874000.0,6106000.0,
Current Provisions,5708000.0,,,,
Payables,875000.0,2499000.0,1577000.0,3067000.0,
Accounts Payable,875000.0,2499000.0,1577000.0,3067000.0,
Total Assets,33042000.0,98681000.0,300589000.0,493809000.0,
Total Non Current Assets,4448000.0,18170000.0,184974000.0,196707000.0,
Other Non Current Assets,-1000.0,-1000.0,1000.0,599000.0,
Investmentin Financial Assets,553000.0,,,,
Goodwill And Other Intangible Assets,1942000.0,2548000.0,133596000.0,147147000.0,
Other Intangible Assets,1942000.0,2548000.0,133596000.0,147147000.0,
Net PPE,1954000.0,15117000.0,47877000.0,46527000.0,
Accumulated Depreciation,-7179000.0,-12953000.0,-44032000.0,-32615000.0,
Gross PPE,9133000.0,28070000.0,91909000.0,79142000.0,
Other Properties,,,23174000.0,20920000.0,20099000.0
Machinery Furniture Equipment,2882000.0,2647000.0,23174000.0,,20099000.0
Buildings And Improvements,6251000.0,25423000.0,68735000.0,58222000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,28594000.0,80511000.0,115615000.0,297102000.0,
Prepaid Assets,1122000.0,2275000.0,3910000.0,3062000.0,
Inventory,0.0,0.0,2016000.0,2150000.0,
Other Receivables,2154000.0,1302000.0,3395000.0,4412000.0,
Accounts Receivable,0.0,146000.0,253000.0,72000.0,
Cash Cash Equivalents And Short Term Investments,25318000.0,76788000.0,106041000.0,287406000.0,
Cash And Cash Equivalents,25318000.0,76788000.0,106041000.0,287406000.0,
Cash Financial,25318000.0,76788000.0,106041000.0,287406000.0,
