,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,29317476.0,26352614.0,20723586.0,19611234.0,
Share Issued,29317476.0,26352614.0,20723586.0,19611234.0,
Net Debt,23295000.0,14547000.0,,,
Total Debt,42512000.0,30619000.0,27031000.0,565000.0,
Tangible Book Value,204947000.0,74804000.0,-59286000.0,16349000.0,
Invested Capital,330932000.0,173827000.0,33232000.0,17509000.0,
Working Capital,173717000.0,77340000.0,-20283000.0,12177000.0,
Net Tangible Assets,204947000.0,74804000.0,-59286000.0,16349000.0,
Capital Lease Obligations,7746000.0,8010000.0,7069000.0,0.0,
Common Stock Equity,296166000.0,151218000.0,13270000.0,16944000.0,
Total Capitalization,322599000.0,165522000.0,28797000.0,17090000.0,
Total Equity Gross Minority Interest,296166000.0,151218000.0,13270000.0,16944000.0,
Stockholders Equity,296166000.0,151218000.0,13270000.0,16944000.0,
Other Equity Interest,,,1000.0,1000.0,-9330890.0
Retained Earnings,98402000.0,31164000.0,-28440000.0,-13295000.0,
Additional Paid In Capital,186405000.0,120413000.0,39771000.0,29538000.0,
Capital Stock,1047000.0,941000.0,740000.0,700000.0,
Common Stock,1047000.0,941000.0,740000.0,700000.0,
Total Liabilities Net Minority Interest,117440000.0,101977000.0,155401000.0,2274000.0,
Total Non Current Liabilities Net Minority Interest,56181000.0,48066000.0,58365000.0,146000.0,
Other Non Current Liabilities,1000.0,7590000.0,21454000.0,,
Non Current Deferred Taxes Liabilities,2414000.0,1783000.0,0.0,0.0,
Long Term Debt And Capital Lease Obligation,32926000.0,21446000.0,21657000.0,146000.0,
Long Term Capital Lease Obligation,6493000.0,7142000.0,6130000.0,0.0,
Long Term Debt,26433000.0,14304000.0,15527000.0,146000.0,
Long Term Provisions,,,26420310.0,,
Current Liabilities,61259000.0,53911000.0,97036000.0,2128000.0,
Other Current Liabilities,7379000.0,24973000.0,77838000.0,103000.0,
Current Deferred Taxes Liabilities,,,,,15680.0
Current Debt And Capital Lease Obligation,9586000.0,9173000.0,5374000.0,419000.0,
Current Capital Lease Obligation,1253000.0,868000.0,939000.0,0.0,
Current Debt,8333000.0,8305000.0,4435000.0,419000.0,
Pensionand Other Post Retirement Benefit Plans Current,1959000.0,603000.0,,,
Payables,41414000.0,18518000.0,4305000.0,966000.0,
Other Payable,416000.0,79000.0,,,
Total Tax Payable,26693000.0,2595000.0,1005000.0,0.0,
Accounts Payable,14305000.0,15844000.0,3300000.0,966000.0,
Total Assets,413606000.0,253195000.0,168671000.0,19218000.0,
Total Non Current Assets,178631000.0,121944000.0,91916000.0,4912000.0,
Non Current Deferred Taxes Assets,219000.0,136000.0,5829000.0,4173000.0,
Investmentin Financial Assets,8194000.0,7481000.0,0.0,20000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,8194000.0,7481000.0,,,
Goodwill And Other Intangible Assets,91219000.0,76414000.0,72556000.0,595000.0,
Other Intangible Assets,8274000.0,4842000.0,2032000.0,595000.0,
Goodwill,82945000.0,71572000.0,70524000.0,0.0,
Net PPE,78999000.0,37913000.0,13531000.0,124000.0,
Accumulated Depreciation,-33657000.0,-19822000.0,-18484000.0,-4000.0,
Gross PPE,112656000.0,57735000.0,32015000.0,128000.0,
Other Properties,6952000.0,7677000.0,7244000.0,127797.0,
Machinery Furniture Equipment,105704000.0,50058000.0,24771000.0,128000.0,
Current Assets,234976000.0,131251000.0,76753000.0,14305000.0,
Other Current Assets,,1000.0,-1000.0,,
Prepaid Assets,1585000.0,1804000.0,,,
Inventory,24000000.0,19463000.0,10660000.0,1768000.0,
Other Inventories,,,242562.0,168320.0,
Finished Goods,1744000.0,10670000.0,34000.0,0.0,
Work In Process,489000.0,989000.0,243000.0,168000.0,
Raw Materials,21767000.0,7804000.0,10383000.0,1600000.0,
Other Receivables,9256000.0,9805000.0,12311000.0,442000.0,
Taxes Receivable,,0.0,40000.0,0.0,
Accounts Receivable,188664000.0,92116000.0,8982000.0,3291000.0,
Allowance For Doubtful Accounts Receivable,-17877000.0,0.0,0.0,,
Gross Accounts Receivable,206541000.0,92116000.0,8982000.0,,
Cash Cash Equivalents And Short Term Investments,11471000.0,8062000.0,44761000.0,8804000.0,
Cash And Cash Equivalents,11471000.0,8062000.0,44761000.0,8804000.0,
Cash Equivalents,,8062000.0,44761000.0,8804000.0,
Cash Financial,,,44760603.0,8803648.0,2016325.0
