,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,244285.0,244285.0,244285.0,,275860.0
Ordinary Shares Number,269833309.0,269833309.0,269833309.0,198095532.0,
Share Issued,270077594.0,270077594.0,270077594.0,198095532.0,
Net Debt,,,,82205000.0,
Total Debt,2112000.0,3070000.0,753000.0,125335000.0,
Tangible Book Value,1238723000.0,1246824000.0,1241438000.0,971086000.0,
Invested Capital,1238723000.0,1246824000.0,1241438000.0,1095689000.0,
Working Capital,44514000.0,85825000.0,197216000.0,-41573000.0,
Net Tangible Assets,1238723000.0,1246824000.0,1241438000.0,971086000.0,
Capital Lease Obligations,2112000.0,3070000.0,753000.0,732000.0,
Common Stock Equity,1238723000.0,1246824000.0,1241438000.0,971086000.0,
Total Capitalization,1238723000.0,1246824000.0,1241438000.0,971086000.0,
Total Equity Gross Minority Interest,1238723000.0,1246824000.0,1241438000.0,971086000.0,
Stockholders Equity,1238723000.0,1246824000.0,1241438000.0,971086000.0,
Retained Earnings,-1499881000.0,-1491780000.0,-1497166000.0,-1409044000.0,
Additional Paid In Capital,2735903000.0,2735903000.0,2735903000.0,2378373000.0,
Capital Stock,2701000.0,2701000.0,2701000.0,1757000.0,
Common Stock,2701000.0,2701000.0,2701000.0,1757000.0,
Total Liabilities Net Minority Interest,13257000.0,11569000.0,10208000.0,138189000.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,
Current Liabilities,13257000.0,11569000.0,10208000.0,138189000.0,
Other Current Liabilities,684000.0,674000.0,654000.0,2156000.0,
Current Debt And Capital Lease Obligation,2112000.0,3070000.0,753000.0,125335000.0,
Current Capital Lease Obligation,2112000.0,3070000.0,753000.0,732000.0,
Current Debt,,,0.0,124603000.0,75864000.0
Pensionand Other Post Retirement Benefit Plans Current,1000000.0,458000.0,914000.0,676000.0,
Payables,2093000.0,2641000.0,1788000.0,1674000.0,
Total Tax Payable,1331000.0,1318000.0,1349000.0,1165000.0,
Accounts Payable,762000.0,1323000.0,439000.0,1674000.0,
Total Assets,1251980000.0,1258393000.0,1251646000.0,1109275000.0,
Total Non Current Assets,1194209000.0,1160999000.0,1044222000.0,1012659000.0,
Investmentin Financial Assets,1192048000.0,1157841000.0,1043532000.0,1011969000.0,
Available For Sale Securities,71271000.0,57443000.0,59537000.0,61799000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1192048000.0,1157841000.0,983995000.0,950170000.0,
Net PPE,2161000.0,3158000.0,690000.0,690000.0,
Accumulated Depreciation,,,,,-690000.0
Gross PPE,2161000.0,3158000.0,690000.0,690000.0,
Other Properties,2161000.0,3158000.0,690000.0,690000.0,
Current Assets,57771000.0,97394000.0,207424000.0,96616000.0,
Other Current Assets,1000.0,,,,
Prepaid Assets,375000.0,0.0,0.0,2351000.0,
Other Receivables,3602000.0,1063000.0,961000.0,4213000.0,
Taxes Receivable,700000.0,673000.0,673000.0,673000.0,
Accounts Receivable,,,,0.0,3000.0
Cash Cash Equivalents And Short Term Investments,53094000.0,95658000.0,205790000.0,92403000.0,
Other Short Term Investments,11084000.0,10386000.0,74712000.0,50005000.0,
Cash And Cash Equivalents,42010000.0,85272000.0,131078000.0,42398000.0,
