,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,511454.0,511454.0,561882.0,561882.0,
Ordinary Shares Number,29983378.0,29972531.0,21609766.0,21609766.0,
Share Issued,30026125.0,30015278.0,22171648.0,22171648.0,
Total Debt,260300000.0,283600000.0,294600000.0,316400000.0,
Tangible Book Value,159100000.0,110900000.0,69900000.0,143600000.0,
Invested Capital,237100000.0,178600000.0,133600000.0,204400000.0,
Working Capital,61400000.0,-102400000.0,-73600000.0,1300000.0,
Net Tangible Assets,159100000.0,110900000.0,69900000.0,143600000.0,
Capital Lease Obligations,260300000.0,283600000.0,294600000.0,316400000.0,
Common Stock Equity,237100000.0,178600000.0,133600000.0,204400000.0,
Total Capitalization,237100000.0,178600000.0,133600000.0,204400000.0,
Total Equity Gross Minority Interest,237100000.0,178600000.0,133600000.0,204400000.0,
Stockholders Equity,237100000.0,178600000.0,133600000.0,204400000.0,
Other Equity Interest,,,100000.0,,-100000.0
Retained Earnings,-1234600000.0,-1293100000.0,-1453500000.0,-1381800000.0,
Additional Paid In Capital,1441200000.0,1441200000.0,1405800000.0,1405800000.0,
Capital Stock,30500000.0,30500000.0,185000000.0,185000000.0,
Common Stock,30500000.0,30500000.0,185000000.0,185000000.0,
Total Liabilities Net Minority Interest,634400000.0,621200000.0,703600000.0,721000000.0,
Total Non Current Liabilities Net Minority Interest,267500000.0,183200000.0,232600000.0,266300000.0,
Other Non Current Liabilities,42900000.0,-100000.0,,,-100000.0
Long Term Debt And Capital Lease Obligation,224600000.0,183300000.0,232600000.0,266300000.0,
Long Term Capital Lease Obligation,224600000.0,183300000.0,232600000.0,266300000.0,
Long Term Debt,,,,,0.0
Long Term Provisions,,,,,100000.0
Current Liabilities,366900000.0,438000000.0,471000000.0,454700000.0,
Other Current Liabilities,84700000.0,110300000.0,109900000.0,90000000.0,
Current Debt And Capital Lease Obligation,35700000.0,100300000.0,62000000.0,50100000.0,
Current Capital Lease Obligation,35700000.0,100300000.0,62000000.0,50100000.0,
Pensionand Other Post Retirement Benefit Plans Current,36900000.0,48700000.0,48900000.0,32900000.0,
Current Provisions,42600000.0,31800000.0,41000000.0,47800000.0,
Payables,85400000.0,90600000.0,145300000.0,144300000.0,
Other Payable,,7000000.0,2000000.0,,
Total Tax Payable,0.0,300000.0,100000.0,,
Accounts Payable,85400000.0,90300000.0,143200000.0,144300000.0,
Total Assets,871500000.0,799800000.0,837200000.0,925400000.0,
Total Non Current Assets,443100000.0,464200000.0,439700000.0,469400000.0,
Other Non Current Assets,-100000.0,100000.0,,,
Non Current Prepaid Assets,38000000.0,38000000.0,6000000.0,6100000.0,
Non Current Deferred Taxes Assets,76200000.0,75100000.0,73800000.0,73800000.0,
Goodwill And Other Intangible Assets,78000000.0,67700000.0,63700000.0,60800000.0,
Other Intangible Assets,38300000.0,28000000.0,24000000.0,21100000.0,
Goodwill,39700000.0,39700000.0,39700000.0,39700000.0,
Net PPE,251000000.0,283300000.0,296200000.0,328700000.0,
Accumulated Depreciation,-12600000.0,-9700000.0,-6600000.0,-3100000.0,
Gross PPE,263600000.0,293000000.0,302800000.0,331800000.0,
Construction In Progress,,,0.0,300000.0,3900000.0
Other Properties,81400000.0,88900000.0,98200000.0,111900000.0,
Machinery Furniture Equipment,500000.0,400000.0,1000000.0,1300000.0,
Buildings And Improvements,181700000.0,203700000.0,203600000.0,218300000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,428300000.0,335600000.0,397400000.0,456000000.0,
Prepaid Assets,12600000.0,12600000.0,13700000.0,9600000.0,
Inventory,172600000.0,152300000.0,225600000.0,205000000.0,
Other Inventories,23500000.0,17600000.0,24400000.0,25500000.0,
Finished Goods,149100000.0,134700000.0,201200000.0,179500000.0,
Other Receivables,20700000.0,21000000.0,23000000.0,15900000.0,
Taxes Receivable,3700000.0,0.0,,,
Accounts Receivable,21800000.0,28600000.0,38300000.0,28000000.0,
Allowance For Doubtful Accounts Receivable,-1000000.0,-500000.0,-1300000.0,-1500000.0,
Gross Accounts Receivable,22800000.0,29100000.0,39700000.0,29500000.0,
Cash Cash Equivalents And Short Term Investments,196900000.0,121100000.0,96800000.0,197500000.0,
Cash And Cash Equivalents,196900000.0,121100000.0,96800000.0,197500000.0,
Cash Financial,196900000.0,121100000.0,96800000.0,197500000.0,
