,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,36526989.0,36526989.0,36526989.0,35549585.0,
Share Issued,36526989.0,36526989.0,36526989.0,35549585.0,
Total Debt,2635000.0,3890000.0,1638000.0,2400000.0,
Tangible Book Value,109004000.0,93762000.0,119219000.0,105842000.0,
Invested Capital,319607000.0,291246000.0,592559000.0,519150000.0,
Working Capital,99461000.0,82816000.0,102522000.0,89168000.0,
Net Tangible Assets,109004000.0,93762000.0,119219000.0,105842000.0,
Capital Lease Obligations,2635000.0,3890000.0,1638000.0,2400000.0,
Common Stock Equity,319607000.0,291246000.0,592559000.0,519150000.0,
Total Capitalization,319607000.0,291246000.0,592559000.0,519150000.0,
Total Equity Gross Minority Interest,319607000.0,291246000.0,592559000.0,519150000.0,
Stockholders Equity,319607000.0,291246000.0,592559000.0,519150000.0,
Other Equity Interest,,882000.0,789000.0,606000.0,326000.0
Retained Earnings,-212642000.0,-241285000.0,60503000.0,36120000.0,
Additional Paid In Capital,528596000.0,522942000.0,522942000.0,474820000.0,
Capital Stock,3653000.0,3653000.0,3653000.0,3555000.0,
Common Stock,3653000.0,3653000.0,3653000.0,3555000.0,
Total Liabilities Net Minority Interest,31233000.0,22534000.0,29339000.0,31544000.0,
Total Non Current Liabilities Net Minority Interest,1684000.0,1876000.0,19000.0,19000.0,
Non Current Deferred Taxes Liabilities,202000.0,,,,
Long Term Debt And Capital Lease Obligation,1482000.0,1876000.0,19000.0,19000.0,
Long Term Capital Lease Obligation,1482000.0,1876000.0,19000.0,19000.0,
Long Term Debt,,,,0.0,1151000.0
Current Liabilities,29549000.0,20658000.0,29320000.0,31525000.0,
Other Current Liabilities,16136000.0,,,,
Current Debt And Capital Lease Obligation,1153000.0,2014000.0,1619000.0,2381000.0,
Current Capital Lease Obligation,1153000.0,2014000.0,1619000.0,2381000.0,
Payables,11870000.0,7388000.0,13277000.0,11283000.0,
Accounts Payable,11870000.0,7388000.0,13277000.0,11283000.0,
Total Assets,350840000.0,313780000.0,621898000.0,550694000.0,
Total Non Current Assets,221830000.0,210306000.0,490056000.0,430001000.0,
Non Current Prepaid Assets,,,,,7396000.0
Non Current Deferred Taxes Assets,7478000.0,7478000.0,7478000.0,4541000.0,
Long Term Equity Investment,0.0,0.0,0.0,0.0,
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0,
Goodwill And Other Intangible Assets,210603000.0,197484000.0,473340000.0,413308000.0,
Other Intangible Assets,9561000.0,11587000.0,11862000.0,6090000.0,
Goodwill,201042000.0,185897000.0,461478000.0,407218000.0,
Net PPE,3749000.0,5344000.0,2231000.0,2694000.0,
Accumulated Depreciation,-5947000.0,-3756000.0,-1927000.0,-667000.0,
Gross PPE,9696000.0,9100000.0,4158000.0,3361000.0,
Other Properties,9696000.0,9100000.0,4158000.0,3361000.0,
Machinery Furniture Equipment,,2350000.0,1005000.0,393000.0,74000.0
Current Assets,129010000.0,103474000.0,131842000.0,120693000.0,
Other Current Assets,3551000.0,,,,
Restricted Cash,150000.0,150000.0,150000.0,150000.0,
Prepaid Assets,1895000.0,2122000.0,3158000.0,,
Inventory,28014000.0,30205000.0,35518000.0,28158000.0,
Finished Goods,28014000.0,30205000.0,35518000.0,28158000.0,
Other Receivables,-1514000.0,3545000.0,7204000.0,5390000.0,
Accounts Receivable,31877000.0,23456000.0,37753000.0,34593000.0,
Allowance For Doubtful Accounts Receivable,-95000.0,-52000.0,-120000.0,,-205000.0
Gross Accounts Receivable,31972000.0,23508000.0,37873000.0,34593000.0,
Cash Cash Equivalents And Short Term Investments,68588000.0,43996000.0,48059000.0,52402000.0,
Cash And Cash Equivalents,68588000.0,43996000.0,48059000.0,52402000.0,
Cash Financial,68588000.0,43996000.0,48059000.0,52402000.0,
