,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,12885230.0,12736893.0,12736893.0,12736893.0,
Share Issued,12885230.0,12736893.0,12736893.0,12736893.0,
Net Debt,136355000.0,,,,
Total Debt,335786000.0,72749000.0,100601000.0,104043000.0,
Tangible Book Value,-71608000.0,166784000.0,137401000.0,117437000.0,
Invested Capital,826673000.0,627017000.0,592563000.0,536948000.0,
Working Capital,107615000.0,206844000.0,188484000.0,170246000.0,
Net Tangible Assets,-71608000.0,166784000.0,137401000.0,117437000.0,
Capital Lease Obligations,155618000.0,50249000.0,55601000.0,36543000.0,
Common Stock Equity,646505000.0,604517000.0,547563000.0,469448000.0,
Total Capitalization,776387000.0,604517000.0,570063000.0,514448000.0,
Total Equity Gross Minority Interest,703057000.0,639647000.0,566734000.0,471533000.0,
Minority Interest,56552000.0,35130000.0,19171000.0,2085000.0,
Stockholders Equity,646505000.0,604517000.0,547563000.0,469448000.0,
Retained Earnings,392457000.0,361589000.0,300926000.0,226905000.0,
Additional Paid In Capital,213727000.0,208252000.0,208252000.0,208252000.0,
Capital Stock,32213000.0,31842000.0,31842000.0,31842000.0,
Common Stock,32213000.0,31842000.0,31842000.0,31842000.0,
Total Liabilities Net Minority Interest,733743000.0,420719000.0,429044000.0,352170000.0,
Total Non Current Liabilities Net Minority Interest,333624000.0,74196000.0,106697000.0,96168000.0,
Other Non Current Liabilities,4501000.0,6657000.0,16733000.0,6123000.0,
Non Current Deferred Taxes Liabilities,79863000.0,38886000.0,32573000.0,26368000.0,
Long Term Debt And Capital Lease Obligation,246120000.0,26329000.0,56476000.0,63677000.0,
Long Term Capital Lease Obligation,116238000.0,26329000.0,33976000.0,18677000.0,
Long Term Debt,129882000.0,0.0,22500000.0,45000000.0,
Long Term Provisions,3140000.0,2324000.0,915000.0,,
Current Liabilities,400119000.0,346523000.0,322347000.0,256002000.0,
Other Current Liabilities,31926000.0,26858000.0,23441000.0,16394000.0,
Current Debt And Capital Lease Obligation,89666000.0,46420000.0,44125000.0,40366000.0,
Current Capital Lease Obligation,39380000.0,23920000.0,21625000.0,17866000.0,
Current Debt,50286000.0,22500000.0,22500000.0,22500000.0,
Pensionand Other Post Retirement Benefit Plans Current,54051000.0,35120000.0,32104000.0,29565000.0,
Current Provisions,,,915000.0,4622000.0,782000.0
Payables,164653000.0,169474000.0,150520000.0,106534000.0,
Total Tax Payable,84414000.0,88179000.0,78747000.0,55294000.0,
Accounts Payable,80239000.0,81295000.0,71773000.0,51240000.0,
Total Assets,1436800000.0,1060366000.0,995778000.0,823703000.0,
Total Non Current Assets,929066000.0,506999000.0,484947000.0,397455000.0,
Other Non Current Assets,-1000.0,,-1000.0,,
Non Current Deferred Taxes Assets,37647000.0,2973000.0,4560000.0,1846000.0,
Investmentin Financial Assets,36000.0,2327000.0,545000.0,0.0,
Goodwill And Other Intangible Assets,718113000.0,437733000.0,410162000.0,352011000.0,
Other Intangible Assets,48173000.0,32107000.0,37513000.0,26751000.0,
Goodwill,669940000.0,405626000.0,372649000.0,325260000.0,
Net PPE,173271000.0,63966000.0,69680000.0,43598000.0,
Accumulated Depreciation,-13066000.0,-10381000.0,-6961000.0,-6874000.0,
Gross PPE,186337000.0,74347000.0,76641000.0,50472000.0,
Other Properties,173271000.0,,16385000.0,13855000.0,316000.0
Machinery Furniture Equipment,38150000.0,30252000.0,25622000.0,7195000.0,
Buildings And Improvements,148187000.0,44095000.0,51019000.0,29422000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,507734000.0,553367000.0,510831000.0,426248000.0,
Other Current Assets,3749000.0,,,,
Prepaid Assets,10448000.0,10600000.0,10152000.0,,
Inventory,3485000.0,13179000.0,1734000.0,216000.0,
Finished Goods,,,1734000.0,216000.0,236000.0
Raw Materials,3485000.0,13179000.0,1734000.0,,
Other Receivables,124491000.0,118896000.0,116085000.0,83062000.0,
Taxes Receivable,18400000.0,8810000.0,15490000.0,3212000.0,
Accounts Receivable,303348000.0,289554000.0,284705000.0,217931000.0,
Cash Cash Equivalents And Short Term Investments,43813000.0,112328000.0,82665000.0,121827000.0,
Cash And Cash Equivalents,43813000.0,112328000.0,82665000.0,121827000.0,
Cash Equivalents,,112328000.0,82665000.0,121827000.0,83915000.0
