,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Ordinary Shares Number,4846000.0,4424762.0,4424762.0,4424762.0
Share Issued,4846000.0,4424762.0,4424762.0,4424762.0
Net Debt,7391272.0,6353311.0,6537888.0,8482936.0
Total Debt,7659071.0,7068136.0,6959435.0,8764738.0
Tangible Book Value,-17066667.0,-15464362.0,-14952357.0,-16303999.0
Invested Capital,28418989.0,28995992.0,29407798.0,31836781.0
Working Capital,-11875997.0,-8955314.0,-7297007.0,-8671232.0
Net Tangible Assets,-17066667.0,-15464362.0,-14952357.0,-16303999.0
Common Stock Equity,20759918.0,21927856.0,22448363.0,23072043.0
Total Capitalization,24497106.0,25619193.0,25927637.0,27621663.0
Total Equity Gross Minority Interest,20767926.0,21939358.0,22458453.0,23080217.0
Minority Interest,8008.0,11502.0,10090.0,8174.0
Stockholders Equity,20759918.0,21927856.0,22448363.0,23072043.0
Other Equity Interest,-32836980.0,-30084474.0,-29563967.0,-28940287.0
Additional Paid In Capital,52385398.0,50906139.0,50906139.0,50906139.0
Capital Stock,1211500.0,1106191.0,1106191.0,1106191.0
Common Stock,1211500.0,1106191.0,1106191.0,1106191.0
Total Liabilities Net Minority Interest,19821308.0,18320249.0,17629360.0,18707297.0
Total Non Current Liabilities Net Minority Interest,6543962.0,7787692.0,8802943.0,8733857.0
Other Non Current Liabilities,1825000.0,3160000.0,4780000.0,3800000.0
Long Term Debt And Capital Lease Obligation,3737188.0,3691337.0,3479274.0,4549620.0
Long Term Debt,3737188.0,3691337.0,3479274.0,4549620.0
Long Term Provisions,981774.0,936355.0,543669.0,384237.0
Current Liabilities,13277346.0,10532557.0,8826417.0,9973440.0
Other Current Liabilities,4874991.0,4039976.0,2032027.0,993441.0
Current Debt And Capital Lease Obligation,3921883.0,3376799.0,3480161.0,4215118.0
Current Debt,3921883.0,3376799.0,3480161.0,4215118.0
Payables,1958957.0,1104713.0,1582157.0,3142148.0
Total Tax Payable,392666.0,113709.0,201661.0,16129.0
Accounts Payable,1566291.0,991004.0,1380496.0,3126019.0
Total Assets,40589234.0,40259607.0,40087813.0,41787514.0
Total Non Current Assets,39187885.0,38682364.0,38558403.0,40485306.0
Non Current Deferred Taxes Assets,1288358.0,1209148.0,1074439.0,1045028.0
Long Term Equity Investment,,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,,0.0,0.0,0.0
Goodwill And Other Intangible Assets,37826585.0,37392218.0,37400720.0,39376042.0
Other Intangible Assets,37826585.0,37392218.0,37400720.0,39376042.0
Net PPE,50140.0,57631.0,61415.0,47410.0
Accumulated Depreciation,,-832701.0,-808085.0,-720412.0
Gross PPE,50140.0,890332.0,869500.0,767822.0
Other Properties,50140.0,890332.0,869500.0,767822.0
Current Assets,1401349.0,1577243.0,1529410.0,1302208.0
Prepaid Assets,,359116.0,296211.0,295497.0
Other Receivables,1133550.0,503302.0,811652.0,724909.0
Taxes Receivable,,0.0,0.0,0.0
Cash Cash Equivalents And Short Term Investments,267799.0,714825.0,421547.0,281802.0
Cash And Cash Equivalents,267799.0,714825.0,421547.0,281802.0
Cash Financial,,714825.0,421547.0,281802.0
