,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,200374662.0,184124662.0,157505957.0,157005960.0,
Share Issued,200374662.0,184124662.0,157505957.0,157005960.0,
Net Debt,7218700000.0,7012500000.0,7017400000.0,6779200000.0,
Total Debt,7525600000.0,7303900000.0,7288800000.0,7030200000.0,
Tangible Book Value,5415000000.0,5020200000.0,5372900000.0,5217300000.0,
Invested Capital,12758200000.0,12142500000.0,12480300000.0,12083900000.0,
Working Capital,-3277900000.0,-1877600000.0,-3036400000.0,-3476800000.0,
Net Tangible Assets,5415000000.0,5020200000.0,5372900000.0,5217300000.0,
Capital Lease Obligations,182400000.0,181600000.0,181400000.0,163600000.0,
Common Stock Equity,5415000000.0,5020200000.0,5372900000.0,5217300000.0,
Total Capitalization,9531600000.0,10259700000.0,9499900000.0,8671500000.0,
Total Equity Gross Minority Interest,5415000000.0,5020200000.0,5372900000.0,5243900000.0,
Minority Interest,0.0,0.0,0.0,26600000.0,
Stockholders Equity,5415000000.0,5020200000.0,5372900000.0,5217300000.0,
Other Equity Interest,50600000.0,126600000.0,595100000.0,412500000.0,
Retained Earnings,3329400000.0,3110800000.0,3364300000.0,3401100000.0,
Additional Paid In Capital,1909800000.0,1667700000.0,1315100000.0,1305600000.0,
Capital Stock,125200000.0,115100000.0,98400000.0,98100000.0,
Common Stock,125200000.0,115100000.0,98400000.0,98100000.0,
Total Liabilities Net Minority Interest,8877200000.0,8609400000.0,8424800000.0,8337300000.0,
Total Non Current Liabilities Net Minority Interest,5347200000.0,6432300000.0,5196300000.0,4594100000.0,
Other Non Current Liabilities,18200000.0,2900000.0,4500000.0,48100000.0,
Derivative Product Liabilities,94300000.0,166900000.0,28200000.0,70900000.0,
Non Current Deferred Taxes Liabilities,935700000.0,841400000.0,855200000.0,857300000.0,
Long Term Debt And Capital Lease Obligation,4299000000.0,5421100000.0,4308400000.0,3617800000.0,
Long Term Capital Lease Obligation,182400000.0,181600000.0,181400000.0,163600000.0,
Long Term Debt,4116600000.0,5239500000.0,4127000000.0,3454200000.0,
Current Liabilities,3530000000.0,2177100000.0,3228500000.0,3743200000.0,
Other Current Liabilities,55900000.0,79600000.0,29600000.0,26200000.0,
Current Debt And Capital Lease Obligation,3226600000.0,1882800000.0,2980400000.0,3412400000.0,
Current Debt,3226600000.0,1882800000.0,2980400000.0,3412400000.0,
Payables,116100000.0,107800000.0,117200000.0,203700000.0,
Other Payable,24900000.0,20400000.0,18200000.0,113600000.0,
Total Tax Payable,40600000.0,23100000.0,9500000.0,15800000.0,
Accounts Payable,50600000.0,64300000.0,89500000.0,74300000.0,
Total Assets,14292200000.0,13629600000.0,13797700000.0,13581200000.0,
Total Non Current Assets,14040100000.0,13330100000.0,13605600000.0,13314800000.0,
Other Non Current Assets,,,,,100000.0
Non Current Deferred Taxes Assets,146500000.0,110700000.0,35500000.0,55500000.0,
Financial Assets,7300000.0,9600000.0,0.0,,
Investmentin Financial Assets,0.0,150000000.0,0.0,,
Available For Sale Securities,,150000000.0,,,
Long Term Equity Investment,407300000.0,533200000.0,475200000.0,244100000.0,
Investmentsin Associatesat Cost,,,,,93500000.0
Investment Properties,13189800000.0,12288600000.0,12862600000.0,12665500000.0,
Net PPE,186900000.0,185200000.0,184900000.0,170900000.0,
Accumulated Depreciation,-11600000.0,-10100000.0,-9300000.0,-5800000.0,
Gross PPE,198500000.0,195300000.0,194200000.0,176700000.0,
Other Properties,182400000.0,181600000.0,181400000.0,163600000.0,
Machinery Furniture Equipment,16100000.0,13700000.0,12800000.0,13100000.0,
Buildings And Improvements,,,181400000.0,163600000.0,194200000.0
Properties,,,0.0,0.0,0.0
Current Assets,252100000.0,299500000.0,192100000.0,266400000.0,
Other Current Assets,100000.0,100000.0,-100000.0,,
Hedging Assets Current,,0.0,22200000.0,0.0,
Current Deferred Assets,,,,,21600000.0
Prepaid Assets,12600000.0,11700000.0,19200000.0,20700000.0,
Other Receivables,91500000.0,158900000.0,43400000.0,143500000.0,
Taxes Receivable,,0.0,100000.0,500000.0,100000.0
Accounts Receivable,23400000.0,19000000.0,17300000.0,14300000.0,
Allowance For Doubtful Accounts Receivable,-8700000.0,-6400000.0,-14900000.0,-4400000.0,
Gross Accounts Receivable,32000000.0,25400000.0,32200000.0,18700000.0,
Cash Cash Equivalents And Short Term Investments,124500000.0,109800000.0,90000000.0,87400000.0,
Cash And Cash Equivalents,124500000.0,109800000.0,90000000.0,87400000.0,
