,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,538043455.0,538043455.0,538043455.0,448369546.0
Share Issued,538043455.0,538043455.0,538043455.0,448369546.0
Total Debt,,,8168000.0,10428000.0
Tangible Book Value,23143000.0,57701000.0,133865000.0,109309000.0
Invested Capital,158328000.0,197799000.0,326158000.0,549713000.0
Working Capital,22843000.0,57401000.0,128922000.0,97041000.0
Net Tangible Assets,23143000.0,57701000.0,133865000.0,109309000.0
Capital Lease Obligations,,,8168000.0,10428000.0
Common Stock Equity,158328000.0,197799000.0,326158000.0,549713000.0
Total Capitalization,158328000.0,197799000.0,326158000.0,549713000.0
Total Equity Gross Minority Interest,158328000.0,197799000.0,326158000.0,549713000.0
Minority Interest,,,0.0,0.0
Stockholders Equity,158328000.0,197799000.0,326158000.0,549713000.0
Other Equity Interest,,,1000.0,427000.0
Retained Earnings,-1929730000.0,-1890656000.0,-1782473000.0,-1401379000.0
Additional Paid In Capital,2029634000.0,2030031000.0,2029650000.0,1905828000.0
Capital Stock,53804000.0,53804000.0,53804000.0,44837000.0
Common Stock,53804000.0,53804000.0,53804000.0,44837000.0
Total Liabilities Net Minority Interest,14553000.0,22874000.0,22285000.0,44595000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,1000.0,5141000.0
Long Term Debt And Capital Lease Obligation,,,5181000.0,5141000.0
Long Term Capital Lease Obligation,,,5181000.0,5141000.0
Current Liabilities,14553000.0,22874000.0,22284000.0,39454000.0
Other Current Liabilities,1963000.0,799000.0,1000.0,267000.0
Current Debt And Capital Lease Obligation,,,2987000.0,5287000.0
Current Capital Lease Obligation,,,2987000.0,5287000.0
Current Debt,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,4536000.0,3807000.0,3648000.0,8120000.0
Payables,2267000.0,3536000.0,7848000.0,15150000.0
Total Tax Payable,483000.0,778000.0,848000.0,1560000.0
Accounts Payable,1784000.0,2758000.0,7000000.0,13590000.0
Total Assets,172881000.0,220673000.0,348443000.0,594308000.0
Total Non Current Assets,135485000.0,140398000.0,197237000.0,457813000.0
Investmentin Financial Assets,300000.0,300000.0,301000.0,301000.0
Goodwill And Other Intangible Assets,135185000.0,140098000.0,192293000.0,440404000.0
Other Intangible Assets,135185000.0,140098000.0,192293000.0,440404000.0
Net PPE,0.0,0.0,4643000.0,17108000.0
Accumulated Depreciation,-17456000.0,-17456000.0,-12629000.0,-27906000.0
Gross PPE,17456000.0,17456000.0,17272000.0,45014000.0
Construction In Progress,527000.0,527000.0,648000.0,7035000.0
Other Properties,,,17077000.0,17156000.0
Machinery Furniture Equipment,16541000.0,16541000.0,16451000.0,0.0
Buildings And Improvements,388000.0,388000.0,173000.0,20823000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,37396000.0,80275000.0,151206000.0,136495000.0
Other Current Assets,,,-1000.0,-1000.0
Prepaid Assets,1190000.0,1141000.0,3102000.0,5422000.0
Inventory,,,0.0,9897000.0
Finished Goods,,,0.0,0.0
Work In Process,,,0.0,2049000.0
Raw Materials,,,0.0,7848000.0
Other Receivables,3284000.0,1121000.0,2546000.0,11132000.0
Taxes Receivable,635000.0,902000.0,1786000.0,2675000.0
Accounts Receivable,0.0,69000.0,1259000.0,10101000.0
Cash Cash Equivalents And Short Term Investments,32287000.0,77042000.0,142513000.0,97269000.0
Other Short Term Investments,31509000.0,72752000.0,133046000.0,89357000.0
Cash And Cash Equivalents,778000.0,4290000.0,9467000.0,7912000.0
Cash Financial,778000.0,4290000.0,9467000.0,7913000.0
