,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-18563000.0,-32689000.0,2954000.0,-12307000.0,
Repurchase Of Capital Stock,-158000.0,,,,
Issuance Of Capital Stock,1000.0,22079000.0,0.0,38085000.0,
Capital Expenditure,-1028000.0,-1130000.0,-1011000.0,-1314000.0,
End Cash Position,4840000.0,23986000.0,34426000.0,31533000.0,
Beginning Cash Position,23986000.0,34426000.0,31533000.0,8123000.0,
Effect Of Exchange Rate Changes,-438000.0,195000.0,-61000.0,87000.0,
Changes In Cash,-18708000.0,-10635000.0,2954000.0,23323000.0,
Financing Cash Flow,-157000.0,22079000.0,0.0,35630000.0,
Net Common Stock Issuance,-157000.0,22079000.0,0.0,38085000.0,
Common Stock Payments,-158000.0,,,,
Common Stock Issuance,1000.0,22079000.0,0.0,38085000.0,
Net Issuance Payments Of Debt,,,0.0,-2455000.0,0.0
Net Long Term Debt Issuance,,,0.0,-2455000.0,0.0
Investing Cash Flow,-1016000.0,-1155000.0,-1011000.0,-1314000.0,
Net Other Investing Changes,,-1000.0,,,
Net Investment Purchase And Sale,12000.0,-24000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-1028000.0,-917000.0,-629000.0,-743000.0,
Net PPE Purchase And Sale,0.0,-213000.0,-382000.0,-571000.0,
Operating Cash Flow,-17535000.0,-31559000.0,3965000.0,-10993000.0,
Interest Received Cfo,2320000.0,398000.0,584000.0,135000.0,
Interest Paid Cfo,,0.0,-15000.0,-181000.0,-242000.0
Change In Working Capital,-3963000.0,-15253000.0,16824000.0,643000.0,
Change In Other Current Liabilities,-6517000.0,-12163000.0,19003000.0,-276000.0,
Change In Inventory,-445000.0,-471000.0,-987000.0,62000.0,
Change In Receivables,2999000.0,-2619000.0,-1192000.0,857000.0,
Depreciation And Amortization,233000.0,783000.0,921000.0,638000.0,
Amortization Cash Flow,,121000.0,30000.0,,
Depreciation,233000.0,783000.0,891000.0,638000.0,
Net Income From Continuing Operations,-16126000.0,-17487000.0,-14349000.0,-12228000.0,
