,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-11995000.0,12251000.0,-23433000.0,-31787000.0,
Repayment Of Debt,-20431000.0,-47141000.0,-12190000.0,-1117000.0,
Issuance Of Debt,0.0,25003000.0,0.0,3427000.0,
Issuance Of Capital Stock,45746000.0,11037000.0,0.0,248320000.0,
Capital Expenditure,-7225000.0,-13454000.0,-5420000.0,-7732000.0,
End Cash Position,20979000.0,12364000.0,15222000.0,8571000.0,
Other Cash Adjustment Outside Changein Cash,,-2000.0,,,
Beginning Cash Position,12364000.0,15222000.0,8571000.0,17320000.0,
Effect Of Exchange Rate Changes,-1000.0,422000.0,467000.0,0.0,
Changes In Cash,8616000.0,-3280000.0,6184000.0,-8749000.0,
Financing Cash Flow,20611000.0,-15531000.0,21711000.0,250630000.0,
Net Other Financing Charges,,-47141000.0,21711000.0,,
Net Common Stock Issuance,45746000.0,11037000.0,0.0,248320000.0,
Common Stock Issuance,45746000.0,11037000.0,0.0,248320000.0,
Net Issuance Payments Of Debt,-20431000.0,-22138000.0,0.0,2310000.0,
Net Long Term Debt Issuance,-20431000.0,-22138000.0,0.0,2310000.0,
Long Term Debt Payments,-20431000.0,-47141000.0,-12190000.0,-1117000.0,
Long Term Debt Issuance,0.0,25003000.0,0.0,3427000.0,
Investing Cash Flow,-7225000.0,-13454000.0,2486000.0,-235324000.0,
Net Other Investing Changes,,2000.0,,,1000.0
Net Investment Purchase And Sale,,,-529000.0,0.0,
Purchase Of Investment,,,-529000.0,0.0,
Net Business Purchase And Sale,0.0,0.0,0.0,-227592000.0,
Purchase Of Business,0.0,0.0,0.0,-227592000.0,
Net Intangibles Purchase And Sale,-5248000.0,-10729000.0,-4474000.0,-6865000.0,
Purchase Of Intangibles,-5248000.0,-10729000.0,-4474000.0,-6865000.0,
Net PPE Purchase And Sale,-1977000.0,-2725000.0,7489000.0,-867000.0,
Sale Of PPE,,0.0,8435000.0,0.0,
Purchase Of PPE,-1977000.0,-2725000.0,-946000.0,-867000.0,
Operating Cash Flow,-4770000.0,25705000.0,-18013000.0,-24055000.0,
Taxes Refund Paid,,,,-395000.0,
Interest Paid Cfo,-8939000.0,-8928000.0,-8780000.0,0.0,
Change In Working Capital,-32776000.0,-3671000.0,-21146000.0,1167000.0,
Change In Other Current Liabilities,-11048000.0,-2264000.0,594000.0,1480000.0,
Change In Inventory,-12687000.0,-1644000.0,-13182000.0,3252000.0,
Change In Receivables,-9041000.0,237000.0,-8558000.0,-3565000.0,
Other Non Cash Items,,-857000.0,29910000.0,-583000.0,
Deferred Tax,,0.0,131000.0,,
Depreciation And Amortization,11868000.0,21167000.0,97741000.0,22278000.0,
Amortization Cash Flow,,100578000.0,,,
Depreciation,11868000.0,21167000.0,97741000.0,22278000.0,
Net Foreign Currency Exchange Gain Loss,,5206000.0,0.0,,
Net Income From Continuing Operations,25078000.0,17994000.0,-115870000.0,-46917000.0,
