,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-16362000.0,-9941000.0,-31862000.0,-19859000.0
Repayment Of Debt,-692000.0,0.0,,
Issuance Of Debt,16286000.0,5885000.0,0.0,
Issuance Of Capital Stock,0.0,409000.0,32277000.0,18237000.0
Capital Expenditure,-1783000.0,,,
End Cash Position,764000.0,367000.0,1633000.0,1021000.0
Other Cash Adjustment Outside Changein Cash,,-1000.0,,
Beginning Cash Position,367000.0,1633000.0,1021000.0,3523000.0
Effect Of Exchange Rate Changes,2000.0,20000.0,197000.0,-21000.0
Changes In Cash,395000.0,-1286000.0,415000.0,-2481000.0
Financing Cash Flow,15594000.0,6294000.0,32277000.0,18237000.0
Net Common Stock Issuance,0.0,409000.0,32277000.0,18237000.0
Common Stock Issuance,0.0,409000.0,32277000.0,18237000.0
Net Issuance Payments Of Debt,15594000.0,5885000.0,0.0,
Net Short Term Debt Issuance,15594000.0,5885000.0,0.0,
Short Term Debt Payments,-692000.0,0.0,,
Short Term Debt Issuance,16286000.0,5885000.0,0.0,
Investing Cash Flow,-620000.0,2361000.0,0.0,-859000.0
Net Other Investing Changes,,-1000.0,,
Net Investment Purchase And Sale,-57000.0,2349000.0,0.0,-859000.0
Sale Of Investment,0.0,2489000.0,0.0,
Purchase Of Investment,-57000.0,-140000.0,0.0,-859000.0
Net Business Purchase And Sale,0.0,13000.0,0.0,
Sale Of Business,0.0,13000.0,0.0,
Net PPE Purchase And Sale,-563000.0,0.0,,
Sale Of PPE,1220000.0,0.0,,
Purchase Of PPE,-1783000.0,0.0,,
Operating Cash Flow,-14579000.0,-9941000.0,-31862000.0,-19859000.0
Taxes Refund Paid,0.0,-2000.0,-297000.0,0.0
Change In Working Capital,-776000.0,5531000.0,4170000.0,-6073000.0
Change In Other Current Liabilities,1127000.0,500000.0,2454000.0,-6266000.0
Change In Payable,1127000.0,500000.0,,
Change In Inventory,-2639000.0,2177000.0,2650000.0,2196000.0
Change In Receivables,736000.0,2854000.0,-934000.0,-2003000.0
Other Non Cash Items,1571000.0,-307000.0,,
Stock Based Compensation,-6000.0,0.0,1000.0,233000.0
Provisionand Write Offof Assets,-1000.0,0.0,0.0,79000.0
Depreciation And Amortization,1452000.0,2283000.0,1863000.0,1035000.0
Amortization Cash Flow,1452000.0,2283000.0,,
Depreciation,,2284000.0,1863000.0,1035000.0
Gain Loss On Investment Securities,6000.0,,,
Net Foreign Currency Exchange Gain Loss,-118000.0,-383000.0,27000.0,273000.0
Gain Loss On Sale Of Business,0.0,987000.0,0.0,
Net Income From Continuing Operations,-16702000.0,-18357000.0,-37652000.0,-15406000.0
