,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,222900000.0,189000000.0,143200000.0,111500000.0,
Repurchase Of Capital Stock,-90200000.0,-59700000.0,-50300000.0,-49700000.0,
Repayment Of Debt,-106100000.0,-8500000.0,-98500000.0,-20300000.0,
Issuance Of Debt,98600000.0,73800000.0,98600000.0,13400000.0,
Issuance Of Capital Stock,-300000.0,900000.0,1900000.0,200000.0,
Capital Expenditure,-50000000.0,-41400000.0,-35500000.0,-32100000.0,
End Cash Position,308500000.0,237100000.0,168300000.0,95600000.0,
Other Cash Adjustment Outside Changein Cash,-100000.0,,,-97.595419,
Beginning Cash Position,237100000.0,168300000.0,95600000.0,86000000.0,
Effect Of Exchange Rate Changes,-1100000.0,-2900000.0,-100000.0,-200000.0,
Changes In Cash,72600000.0,71700000.0,72800000.0,9800000.0,
Financing Cash Flow,-107000000.0,300000.0,-54700000.0,-62200000.0,
Net Other Financing Charges,,,,,120720.84144
Net Common Stock Issuance,-90500000.0,-58800000.0,-48400000.0,-49500000.0,
Common Stock Payments,-90200000.0,-59700000.0,-50300000.0,-49700000.0,
Common Stock Issuance,-300000.0,900000.0,1900000.0,200000.0,
Net Issuance Payments Of Debt,-7500000.0,65300000.0,100000.0,-6900000.0,
Net Long Term Debt Issuance,-7500000.0,65300000.0,100000.0,-6900000.0,
Long Term Debt Payments,-106100000.0,-8500000.0,-98500000.0,-20300000.0,
Long Term Debt Issuance,98600000.0,73800000.0,98600000.0,13400000.0,
Investing Cash Flow,-93300000.0,-159000000.0,-51200000.0,-71600000.0,
Net Other Investing Changes,-1300000.0,-8000000.0,-8200000.0,-400000.0,
Net Business Purchase And Sale,-42000000.0,-109600000.0,-7500000.0,-39100000.0,
Purchase Of Business,-42000000.0,-109600000.0,-7500000.0,-39100000.0,
Net Intangibles Purchase And Sale,-47700000.0,-38000000.0,-31200000.0,-29000000.0,
Purchase Of Intangibles,-47700000.0,-38000000.0,-31200000.0,-29000000.0,
Net PPE Purchase And Sale,-2300000.0,-3400000.0,-4300000.0,-3100000.0,
Purchase Of PPE,-2300000.0,-3400000.0,-4300000.0,-3100000.0,
Operating Cash Flow,272900000.0,230400000.0,178700000.0,143600000.0,
Taxes Refund Paid,-26900000.0,-20500000.0,-9800000.0,-5800000.0,
Change In Working Capital,-6700000.0,-5400000.0,17300000.0,400000.0,
Change In Other Current Liabilities,20400000.0,11000000.0,38900000.0,-2100000.0,
Change In Receivables,-27100000.0,-16400000.0,-21600000.0,2500000.0,
Other Non Cash Items,9100000.0,6000000.0,4900000.0,1200000.0,
Stock Based Compensation,2500000.0,1600000.0,300000.0,200000.0,
Depreciation And Amortization,59237000.0,52168000.0,41213000.0,36107000.0,
Amortization Cash Flow,48304000.0,42148000.0,31612000.0,26230000.0,
Depreciation,10933000.0,10020000.0,9601000.0,9877000.0,
Net Foreign Currency Exchange Gain Loss,2000000.0,1600000.0,200000.0,-500000.0,
Net Income From Continuing Operations,233700000.0,194800000.0,124600000.0,112000000.0,
