,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-188195955.0,-86191679.0,-76153567.0,-57942405.0,
Repayment Of Debt,,0.0,-5000000.0,-5000000.0,0.0
Issuance Of Debt,155000000.0,45000000.0,,0.0,10000000.0
Issuance Of Capital Stock,76682573.0,77008311.0,61679484.0,90811040.0,
Capital Expenditure,-84774238.0,-49276646.0,-57538069.0,-44805361.0,
End Cash Position,127577645.0,87168535.0,67045679.0,89634757.0,
Other Cash Adjustment Outside Changein Cash,-1.0,-1.0,,,
Beginning Cash Position,87168535.0,67045679.0,89634757.0,66004352.0,
Changes In Cash,40409111.0,20122857.0,-22589078.0,23630405.0,
Financing Cash Flow,228605066.0,106314536.0,53564489.0,81572810.0,
Interest Paid Cff,,,-625000.0,-325000.0,0.0
Net Common Stock Issuance,76682573.0,77008311.0,61679484.0,90811040.0,
Common Stock Issuance,76682573.0,77008311.0,61679484.0,90811040.0,
Net Issuance Payments Of Debt,155000000.0,45000000.0,-5000000.0,-5000000.0,
Net Short Term Debt Issuance,,0.0,-5000000.0,-5000000.0,
Short Term Debt Payments,,0.0,-5000000.0,-5000000.0,
Net Long Term Debt Issuance,155000000.0,45000000.0,0.0,-5000000.0,
Long Term Debt Payments,,,,-5000000.0,0.0
Long Term Debt Issuance,155000000.0,45000000.0,,0.0,10000000.0
Investing Cash Flow,-84774238.0,-49276646.0,-57538069.0,-44805361.0,
Net Investment Purchase And Sale,,,,0.0,-7534.0
Purchase Of Investment,,,,0.0,-7534.0
Net Intangibles Purchase And Sale,-80902988.0,-49276646.0,-57538069.0,-44805361.0,
Purchase Of Intangibles,-80902988.0,-49276646.0,-57538069.0,-44805361.0,
Net PPE Purchase And Sale,-3871250.0,,,0.0,-6157.0
Purchase Of PPE,-3871250.0,,,0.0,-6157.0
Operating Cash Flow,-103421717.0,-36915033.0,-18615498.0,-13137044.0,
Taxes Refund Paid,,,,-898.0,0.0
Change In Working Capital,-5608919.0,8695140.0,8668679.0,2195846.0,
Change In Other Current Liabilities,-1747516.0,8642852.0,8648175.0,2280144.0,
Change In Receivables,-3861403.0,52288.0,20504.0,-84298.0,
Other Non Cash Items,6125.0,777040.0,450000.0,1229102.0,
Stock Based Compensation,1419813.0,1670687.0,,,
Deferred Tax,0.0,0.0,-4210.0,,
Depreciation And Amortization,286944.0,14308.0,14308.0,14308.0,
Depreciation,286944.0,14308.0,14308.0,14308.0,
Gain Loss On Investment Securities,1419813.0,1670687.0,,,
Net Foreign Currency Exchange Gain Loss,0.0,34002.0,-89781.0,-321410.0,
Net Income From Continuing Operations,-99525680.0,-48106210.0,-27654494.0,-16254890.0,
