,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-58868000.0,-45228000.0,-29714433.0,-25865668.0,
Issuance Of Debt,,,,,0.0
Issuance Of Capital Stock,124946000.0,83192000.0,8762571.0,35866606.0,
Capital Expenditure,,,,,-37764.0
End Cash Position,113418000.0,47340000.0,9376413.0,30328275.0,
Other Cash Adjustment Outside Changein Cash,,-100000.0,,,
Beginning Cash Position,47340000.0,9376000.0,30328275.0,20327337.0,
Changes In Cash,66078000.0,37964000.0,-20951862.0,10000938.0,
Financing Cash Flow,124946000.0,83192000.0,8762571.0,35866606.0,
Net Common Stock Issuance,124946000.0,83192000.0,8762571.0,35866606.0,
Common Stock Issuance,124946000.0,83192000.0,8762571.0,35866606.0,
Net Issuance Payments Of Debt,,,,,0.0
Net Long Term Debt Issuance,,,,,0.0
Long Term Debt Issuance,,,,,0.0
Investing Cash Flow,0.0,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,,,,,0.0
Purchase Of Intangibles,,,,,0.0
Net PPE Purchase And Sale,0.0,0.0,0.0,0.0,
Purchase Of PPE,0.0,0.0,0.0,0.0,
Operating Cash Flow,-58868000.0,-45228000.0,-29714433.0,-25865668.0,
Change In Working Capital,-1208000.0,-1079000.0,2033712.0,1301641.0,
Change In Other Current Liabilities,498000.0,1028000.0,2747750.0,378536.0,
Change In Payable,2295000.0,1122000.0,844557.0,1087348.0,
Change In Inventory,-1985000.0,-1911000.0,-1488575.0,0.0,
Change In Receivables,-2016000.0,-1318000.0,-70020.0,-164243.0,
Other Non Cash Items,30000.0,,-33076.0,-3841.0,64341.0
Depreciation And Amortization,6000.0,8000.0,7553.0,7553.0,
Depreciation,6000.0,8000.0,7553.0,7553.0,
Net Income From Continuing Operations,-57696000.0,-44157000.0,-31722622.0,-27171021.0,
