,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-63600000.0,-37800000.0,-39400000.0,-18600000.0,
Repayment Of Debt,-200000000.0,0.0,0.0,0.0,
Issuance Of Debt,300000000.0,50000000.0,300000.0,0.0,
Issuance Of Capital Stock,707700000.0,244700000.0,350500000.0,422800000.0,
Capital Expenditure,-400000.0,,-900000.0,,-1300000.0
End Cash Position,21500000.0,111900000.0,60000000.0,15100000.0,
Other Cash Adjustment Outside Changein Cash,-100000.0,100000.0,,-100000.0,
Beginning Cash Position,111900000.0,60000000.0,15100000.0,4600000.0,
Effect Of Exchange Rate Changes,,,,4600000.0,4700000.0
Changes In Cash,-90400000.0,51800000.0,44900000.0,10600000.0,
Financing Cash Flow,807700000.0,294700000.0,350700000.0,422100000.0,
Net Common Stock Issuance,707700000.0,244700000.0,350500000.0,422800000.0,
Common Stock Issuance,707700000.0,244700000.0,350500000.0,422800000.0,
Net Issuance Payments Of Debt,100000000.0,50000000.0,300000.0,0.0,
Net Long Term Debt Issuance,100000000.0,50000000.0,300000.0,0.0,
Long Term Debt Payments,-200000000.0,0.0,0.0,0.0,
Long Term Debt Issuance,300000000.0,50000000.0,300000.0,0.0,
Investing Cash Flow,-834900000.0,-205100000.0,-267300000.0,-392900000.0,
Net Other Investing Changes,,-100000.0,,,
Net Investment Purchase And Sale,,,,-392900000.0,0.0
Purchase Of Investment,,,,-392900000.0,0.0
Net Business Purchase And Sale,-834500000.0,-205000000.0,-266400000.0,-392900000.0,
Sale Of Business,0.0,133800000.0,0.0,,
Purchase Of Business,-834500000.0,-338800000.0,-266400000.0,-392900000.0,
Net Intangibles Purchase And Sale,,,,0.0,-1200000.0
Purchase Of Intangibles,,,,0.0,-1200000.0
Net PPE Purchase And Sale,-400000.0,0.0,-900000.0,0.0,
Purchase Of PPE,-400000.0,0.0,-900000.0,0.0,
Operating Cash Flow,-63200000.0,-37800000.0,-38500000.0,-18600000.0,
Taxes Refund Paid,0.0,0.0,0.0,-100000.0,
Interest Received Cfo,1100000.0,1400000.0,0.0,0.0,
Interest Paid Cfo,-17300000.0,0.0,0.0,-100000.0,
Change In Working Capital,-7200000.0,-6300000.0,-1300000.0,14800000.0,
Change In Other Current Liabilities,8000000.0,1200000.0,-1600000.0,8200000.0,
Change In Payable,,,,,-552000.0
Change In Inventory,0.0,0.0,0.0,3000000.0,
Change In Receivables,-15200000.0,-7500000.0,300000.0,3600000.0,
Other Non Cash Items,,-200000.0,,,
Provisionand Write Offof Assets,402600000.0,0.0,-1500000.0,0.0,
Depreciation And Amortization,,,0.0,700000.0,200000.0
Depreciation,,,,700000.0,200000.0
Gain Loss On Investment Securities,1221100000.0,-302100000.0,10300000.0,-110400000.0,
Net Income From Continuing Operations,-1761700000.0,269400000.0,-45800000.0,76500000.0,
