,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,216800000.0,1463500000.0,1373500000.0
Repayment Of Debt,0.0,-882800000.0,-384000000.0
Issuance Of Debt,410100000.0,0.0,0.0
Issuance Of Capital Stock,0.0,191000000.0,0.0
Capital Expenditure,-57100000.0,-78400000.0,-71300000.0
End Cash Position,3173000000.0,2558500000.0,2203600000.0
Other Cash Adjustment Outside Changein Cash,100000.0,,-100000.0
Beginning Cash Position,2558500000.0,2203600000.0,1520500000.0
Effect Of Exchange Rate Changes,20700000.0,-23400000.0,-8600000.0
Changes In Cash,593700000.0,378300000.0,691800000.0
Financing Cash Flow,323500000.0,-691800000.0,-681700000.0
Net Other Financing Charges,-59900000.0,,2300000.0
Cash Dividends Paid,,,-300000000.0
Common Stock Dividend Paid,,,-300000000.0
Net Common Stock Issuance,0.0,191000000.0,0.0
Common Stock Issuance,0.0,191000000.0,0.0
Net Issuance Payments Of Debt,410100000.0,-882800000.0,-384000000.0
Net Long Term Debt Issuance,410100000.0,-882800000.0,-384000000.0
Long Term Debt Payments,0.0,-882800000.0,-384000000.0
Long Term Debt Issuance,410100000.0,0.0,0.0
Investing Cash Flow,-3700000.0,-471800000.0,-71300000.0
Net Other Investing Changes,,100000.0,
Net Business Purchase And Sale,53400000.0,-393500000.0,0.0
Sale Of Business,53400000.0,0.0,0.0
Purchase Of Business,0.0,-393500000.0,0.0
Net Intangibles Purchase And Sale,-53500000.0,-71400000.0,-53700000.0
Purchase Of Intangibles,-53500000.0,-71400000.0,-53700000.0
Net PPE Purchase And Sale,-3600000.0,-7000000.0,-17600000.0
Purchase Of PPE,-3600000.0,-7000000.0,-17600000.0
Operating Cash Flow,273900000.0,1541900000.0,1444800000.0
Taxes Refund Paid,-94000000.0,-75300000.0,-71900000.0
Change In Working Capital,-73000000.0,1101600000.0,1211900000.0
Change In Other Current Liabilities,-328900000.0,-64600000.0,354200000.0
Change In Receivables,-45300000.0,127500000.0,-202600000.0
Other Non Cash Items,-60200000.0,103200000.0,44600000.0
Depreciation And Amortization,97900000.0,84900000.0,66800000.0
Depreciation,97900000.0,84900000.0,66800000.0
Gain Loss On Investment Securities,9500000.0,51300000.0,-70700000.0
Net Income From Continuing Operations,393600000.0,276100000.0,264100000.0
