,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,178600000.0,429700000.0,255700000.0,154500000.0,
Repurchase Of Capital Stock,-900000.0,,,,
Repayment Of Debt,-354300000.0,-2061000000.0,-260300000.0,-988700000.0,
Issuance Of Debt,1091800000.0,1931000000.0,791300000.0,1370000000.0,
Issuance Of Capital Stock,,500000.0,411200000.0,7900000.0,379000000.0
Capital Expenditure,-106800000.0,-99400000.0,-57100000.0,-47200000.0,
End Cash Position,482300000.0,467600000.0,452600000.0,271600000.0,
Other Cash Adjustment Outside Changein Cash,,100000.0,,100000.0,-1800000.0
Beginning Cash Position,467600000.0,452600000.0,271600000.0,409300000.0,
Effect Of Exchange Rate Changes,4700000.0,-13500000.0,9200000.0,3900000.0,
Changes In Cash,10000000.0,28400000.0,171800000.0,-141700000.0,
Financing Cash Flow,563300000.0,-284300000.0,832000000.0,325600000.0,
Net Other Financing Charges,-100000.0,100000.0,,,
Cash Dividends Paid,-87700000.0,-84400000.0,-58300000.0,-27100000.0,
Common Stock Dividend Paid,-87700000.0,-84400000.0,-58300000.0,-27100000.0,
Net Common Stock Issuance,-900000.0,500000.0,411200000.0,7900000.0,
Common Stock Payments,-900000.0,,,,
Common Stock Issuance,,500000.0,411200000.0,7900000.0,379000000.0
Net Issuance Payments Of Debt,737500000.0,-130000000.0,531000000.0,381300000.0,
Net Long Term Debt Issuance,737500000.0,-130000000.0,531000000.0,381300000.0,
Long Term Debt Payments,-354300000.0,-2061000000.0,-260300000.0,-988700000.0,
Long Term Debt Issuance,1091800000.0,1931000000.0,791300000.0,1370000000.0,
Investing Cash Flow,-838700000.0,-216400000.0,-973000000.0,-669000000.0,
Net Other Investing Changes,-106800000.0,-99400000.0,,,-25800000.0
Net Investment Purchase And Sale,3600000.0,-4300000.0,700000.0,200000.0,
Sale Of Investment,,,700000.0,,
Purchase Of Investment,,-4300000.0,,,
Net Investment Properties Purchase And Sale,,,,,11500000.0
Sale Of Investment Properties,,,,,11500000.0
Net Business Purchase And Sale,-735500000.0,-112700000.0,-916600000.0,-622000000.0,
Purchase Of Business,-735500000.0,-112700000.0,-916600000.0,-622000000.0,
Net PPE Purchase And Sale,-106800000.0,-99400000.0,-57100000.0,-47200000.0,
Sale Of PPE,,,,0.0,11500000.0
Purchase Of PPE,-106800000.0,-99400000.0,-57100000.0,-47200000.0,
Operating Cash Flow,285400000.0,529100000.0,312800000.0,201700000.0,
Taxes Refund Paid,-68100000.0,-81300000.0,-74300000.0,-75700000.0,
Interest Paid Cfo,-141500000.0,-66700000.0,-31200000.0,-8800000.0,
Change In Working Capital,175400000.0,134000000.0,-59000000.0,-35400000.0,
Change In Other Current Liabilities,-48500000.0,116200000.0,108200000.0,15400000.0,
Change In Inventory,200000.0,1900000.0,2700000.0,7800000.0,
Change In Receivables,221000000.0,5800000.0,-156100000.0,-57200000.0,
Other Non Cash Items,119800000.0,116300000.0,11600000.0,8300000.0,
Depreciation And Amortization,189600000.0,119300000.0,119400000.0,74500000.0,
Depreciation,189600000.0,119300000.0,119400000.0,74500000.0,
Net Income From Continuing Operations,38400000.0,301900000.0,346300000.0,238800000.0,
