,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-41518000.0,-69417000.0,-84667000.0,-36041000.0,
Repayment Of Debt,-2532000.0,-24135000.0,-8681000.0,-29370000.0,
Issuance Of Debt,15000000.0,37647000.0,63327000.0,25000000.0,
Issuance Of Capital Stock,40043000.0,54295000.0,0.0,53976000.0,
Capital Expenditure,-94000.0,-10671000.0,-50196000.0,-35404000.0,
End Cash Position,17495000.0,2962000.0,3623000.0,37950000.0,
Other Cash Adjustment Outside Changein Cash,,-1000.0,,,-2000.0
Beginning Cash Position,2962000.0,3623000.0,37950000.0,25336000.0,
Effect Of Exchange Rate Changes,60000.0,951000.0,60000.0,24000.0,
Changes In Cash,14473000.0,-1611000.0,-34387000.0,12590000.0,
Financing Cash Flow,52511000.0,67806000.0,54646000.0,47865000.0,
Net Other Financing Charges,,-1000.0,,-1741000.0,
Net Common Stock Issuance,40043000.0,54295000.0,0.0,53976000.0,
Common Stock Issuance,40043000.0,54295000.0,0.0,53976000.0,
Net Issuance Payments Of Debt,12468000.0,13512000.0,54646000.0,-4370000.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,
Net Long Term Debt Issuance,12468000.0,13512000.0,54646000.0,-4370000.0,
Long Term Debt Payments,-2532000.0,-24135000.0,-8681000.0,-29370000.0,
Long Term Debt Issuance,15000000.0,37647000.0,63327000.0,25000000.0,
Investing Cash Flow,3386000.0,-10671000.0,-54562000.0,-34638000.0,
Net Investment Purchase And Sale,0.0,0.0,0.0,894000.0,
Sale Of Investment,,,,894000.0,0.0
Purchase Of Investment,,,,0.0,-473000.0
Net Business Purchase And Sale,3427000.0,0.0,-4366000.0,-599000.0,
Sale Of Business,3427000.0,0.0,0.0,,14654000.0
Purchase Of Business,0.0,0.0,-4366000.0,-599000.0,
Net Intangibles Purchase And Sale,0.0,0.0,,,-30028000.0
Purchase Of Intangibles,0.0,0.0,,,-30028000.0
Net PPE Purchase And Sale,-41000.0,-2449000.0,-1999000.0,-1579000.0,
Sale Of PPE,53000.0,0.0,0.0,471000.0,
Purchase Of PPE,-94000.0,-2449000.0,-1999000.0,-2050000.0,
Capital Expenditure Reported,0.0,-8222000.0,-48197000.0,-33354000.0,
Operating Cash Flow,-41424000.0,-58746000.0,-34471000.0,-637000.0,
Taxes Refund Paid,-614000.0,-460000.0,261000.0,-80000.0,
Change In Working Capital,-1120000.0,-17823000.0,24022000.0,55717000.0,
Change In Other Current Liabilities,-14381000.0,-32052000.0,-18869000.0,73754000.0,
Change In Payable,-6005000.0,15948000.0,27276000.0,16875000.0,
Change In Inventory,3813000.0,-10906000.0,397000.0,-604000.0,
Change In Receivables,15453000.0,9187000.0,15218000.0,-34308000.0,
Other Non Cash Items,3760000.0,-213115000.0,772000.0,21235000.0,
Provisionand Write Offof Assets,1841000.0,0.0,,,
Depreciation And Amortization,7182000.0,51673000.0,68321000.0,63972000.0,
Depreciation,7182000.0,51673000.0,68321000.0,63972000.0,
Gain Loss On Sale Of PPE,-6000.0,58000.0,939000.0,0.0,
Net Income From Continuing Operations,-52467000.0,-114244000.0,-130809000.0,-150584000.0,
