,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-3518000.0,-3983000.0,-8278000.0,-9910000.0,
Repayment Of Debt,-720000.0,-240000.0,0.0,,
Issuance Of Debt,300000.0,0.0,8500000.0,0.0,
Issuance Of Capital Stock,57000.0,0.0,0.0,46000.0,
Capital Expenditure,-7875000.0,-7325000.0,-7088000.0,-6517000.0,
End Cash Position,6813000.0,10621000.0,14562000.0,14267000.0,
Beginning Cash Position,10621000.0,14562000.0,14267000.0,24229000.0,
Changes In Cash,-3808000.0,-3941000.0,295000.0,-9962000.0,
Financing Cash Flow,-648000.0,-240000.0,8500000.0,-53000.0,
Net Common Stock Issuance,57000.0,0.0,0.0,46000.0,
Common Stock Issuance,57000.0,0.0,0.0,46000.0,
Net Issuance Payments Of Debt,-420000.0,-240000.0,8500000.0,0.0,
Net Long Term Debt Issuance,-420000.0,-240000.0,8500000.0,0.0,
Long Term Debt Payments,-720000.0,-240000.0,0.0,,
Long Term Debt Issuance,300000.0,0.0,8500000.0,0.0,
Investing Cash Flow,-7517000.0,-7043000.0,-7015000.0,-6516000.0,
Net Other Investing Changes,1000.0,,,1000.0,-1000.0
Net Intangibles Purchase And Sale,-7109000.0,-6130000.0,-6646000.0,-5958000.0,
Sale Of Intangibles,152000.0,220000.0,0.0,,
Purchase Of Intangibles,-7261000.0,-6350000.0,-6646000.0,-5958000.0,
Net PPE Purchase And Sale,-409000.0,-913000.0,-369000.0,-559000.0,
Sale Of PPE,205000.0,62000.0,73000.0,0.0,
Purchase Of PPE,-614000.0,-975000.0,-442000.0,-559000.0,
Operating Cash Flow,4357000.0,3342000.0,-1190000.0,-3393000.0,
Interest Received Cfo,185000.0,133000.0,9000.0,0.0,
Interest Paid Cfo,-256000.0,-264000.0,-174000.0,-1000.0,
Change In Working Capital,1382000.0,-115000.0,-98000.0,-747000.0,
Change In Other Current Liabilities,-455000.0,94000.0,2979000.0,1598000.0,
Change In Inventory,-57000.0,-48000.0,-1532000.0,-1419000.0,
Change In Receivables,1894000.0,-161000.0,-1545000.0,-926000.0,
Other Non Cash Items,-192000.0,-59000.0,-29000.0,77000.0,
Depreciation And Amortization,5421000.0,4222000.0,3329000.0,2669000.0,
Depreciation,5421000.0,4222000.0,3329000.0,2669000.0,
Net Income From Continuing Operations,-2183000.0,-576000.0,-4226000.0,-5391000.0,
