,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-38253777.0,-33698402.0,-31137378.0,-29240337.0,
Repayment Of Debt,,-1524287.0,-621118.0,-621118.0,-298137.0
Issuance Of Debt,,7600000.0,0.0,,
Issuance Of Capital Stock,19585388.0,52792865.0,344834.0,63480012.0,
Capital Expenditure,-25261226.0,-8648230.0,-23757229.0,-19587414.0,
End Cash Position,23715242.0,43302712.0,11259038.0,42672700.0,
Beginning Cash Position,43302712.0,11259038.0,42672700.0,22455000.0,
Changes In Cash,-19587470.0,32043674.0,-31413662.0,20217700.0,
Financing Cash Flow,17688683.0,58868578.0,-276284.0,49458037.0,
Net Common Stock Issuance,19585388.0,52792865.0,344834.0,63480012.0,
Common Stock Issuance,19585388.0,52792865.0,344834.0,63480012.0,
Net Issuance Payments Of Debt,-1896705.0,6075713.0,-621118.0,-621118.0,
Net Long Term Debt Issuance,-1896705.0,6075713.0,-621118.0,-621118.0,
Long Term Debt Payments,,-1524287.0,-621118.0,-621118.0,-298137.0
Long Term Debt Issuance,,7600000.0,0.0,,
Investing Cash Flow,-24283602.0,-1774732.0,-23757229.0,-19587414.0,
Net Other Investing Changes,977624.0,6873498.0,,,
Net Intangibles Purchase And Sale,-25261226.0,-8648230.0,-23757229.0,-19587414.0,
Purchase Of Intangibles,-25261226.0,-8648230.0,-23757229.0,-19587414.0,
Net PPE Purchase And Sale,,-758164.0,,,0.0
Purchase Of PPE,,-758164.0,,,0.0
Operating Cash Flow,-12992551.0,-25050172.0,-7380149.0,-9652923.0,
Taxes Refund Paid,,,,,-18759.0
Change In Working Capital,2106419.0,-6867379.0,6494309.0,596891.0,
Change In Other Current Liabilities,812927.0,699270.0,184185.0,74788.0,
Change In Payable,1027969.0,-8542052.0,6846065.0,721128.0,
Change In Receivables,265523.0,975403.0,-535941.0,-199025.0,
Depreciation And Amortization,,155210.0,115366.0,233686.0,272835.0
Amortization Cash Flow,,,70485.0,45535.0,58106.0
Depreciation,,155210.0,115366.0,188151.0,214729.0
Net Foreign Currency Exchange Gain Loss,,-422820.0,-1913.0,,
Net Income From Continuing Operations,-34350238.0,-67977292.0,-13987911.0,-10483500.0,
