,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-96753000.0,-148118000.0,-177206000.0,-176832000.0,
Repayment Of Debt,-14500000.0,0.0,,,
Issuance Of Debt,14500000.0,121243000.0,,,
Issuance Of Capital Stock,52411000.0,0.0,639000.0,440000.0,
Capital Expenditure,,-1061000.0,-1624000.0,-24184000.0,-47495000.0
End Cash Position,25318000.0,76788000.0,106041000.0,287406000.0,
Beginning Cash Position,76788000.0,106041000.0,287406000.0,468462000.0,
Effect Of Exchange Rate Changes,471000.0,-136000.0,948000.0,687000.0,
Changes In Cash,-51941000.0,-29117000.0,-182313000.0,-181743000.0,
Financing Cash Flow,44812000.0,114743000.0,-5107000.0,-5269000.0,
Net Common Stock Issuance,52411000.0,0.0,639000.0,440000.0,
Common Stock Issuance,52411000.0,0.0,639000.0,440000.0,
Net Issuance Payments Of Debt,0.0,121243000.0,,,
Net Long Term Debt Issuance,0.0,121243000.0,,,
Long Term Debt Payments,-14500000.0,0.0,,,
Long Term Debt Issuance,14500000.0,121243000.0,,,
Investing Cash Flow,0.0,3197000.0,-1624000.0,-23826000.0,
Net Other Investing Changes,,2929000.0,,,
Net Investment Purchase And Sale,0.0,0.0,,,
Purchase Of Investment,0.0,0.0,,,
Net Intangibles Purchase And Sale,0.0,-1061000.0,-368000.0,-21083000.0,
Purchase Of Intangibles,0.0,-1061000.0,-368000.0,-21083000.0,
Net PPE Purchase And Sale,0.0,1329000.0,-1256000.0,-2743000.0,
Sale Of PPE,0.0,1329000.0,0.0,358000.0,
Purchase Of PPE,0.0,0.0,-1256000.0,-3101000.0,
Operating Cash Flow,-96753000.0,-147057000.0,-175582000.0,-152648000.0,
Taxes Refund Paid,0.0,0.0,0.0,0.0,
Interest Received Cfo,1304000.0,2912000.0,745000.0,711000.0,
Interest Paid Cfo,-1925000.0,-1166000.0,-1494000.0,-1441000.0,
Change In Working Capital,-6140000.0,7134000.0,-7154000.0,-5338000.0,
Change In Other Current Liabilities,-6642000.0,409000.0,-7890000.0,-2202000.0,
Change In Inventory,0.0,1995000.0,438000.0,-2038000.0,
Change In Receivables,502000.0,4730000.0,298000.0,-1098000.0,
Depreciation And Amortization,13415000.0,141719000.0,24913000.0,19063000.0,
Depreciation,13415000.0,141719000.0,24913000.0,19063000.0,
Net Foreign Currency Exchange Gain Loss,1688000.0,1788000.0,-1442000.0,-183000.0,
Gain Loss On Sale Of PPE,4316000.0,-2985000.0,0.0,1168000.0,
Net Income From Continuing Operations,-109411000.0,-296460000.0,-191150000.0,-166628000.0,
