,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,79500000.0,151300000.0,8200000.0,72400000.0,
Repayment Of Debt,,-65000000.0,-20000000.0,-15000000.0,0.0
Issuance Of Debt,,,0.0,100000000.0,0.0
Issuance Of Capital Stock,0.0,58600000.0,36000000.0,26900000.0,
Capital Expenditure,-77500000.0,-53400000.0,-33500000.0,-18600000.0,
End Cash Position,242400000.0,224900000.0,127100000.0,134800000.0,
Other Cash Adjustment Outside Changein Cash,-100000.0,,,,
Beginning Cash Position,224900000.0,127100000.0,134800000.0,157700000.0,
Effect Of Exchange Rate Changes,9200000.0,-3400000.0,9200000.0,5000000.0,
Changes In Cash,8400000.0,101200000.0,-16900000.0,-27900000.0,
Financing Cash Flow,-70700000.0,-48500000.0,-25100000.0,73000000.0,
Net Other Financing Charges,100000.0,,,,100000.0
Cash Dividends Paid,-59300000.0,-31500000.0,-31200000.0,-30900000.0,
Net Common Stock Issuance,0.0,58600000.0,36000000.0,26900000.0,
Common Stock Issuance,0.0,58600000.0,36000000.0,26900000.0,
Net Issuance Payments Of Debt,0.0,-65000000.0,-20000000.0,85000000.0,
Net Long Term Debt Issuance,0.0,-65000000.0,-20000000.0,85000000.0,
Long Term Debt Payments,,-65000000.0,-20000000.0,-15000000.0,0.0
Long Term Debt Issuance,,,0.0,100000000.0,0.0
Investing Cash Flow,-77900000.0,-55000000.0,-33500000.0,-191900000.0,
Net Other Investing Changes,,,100000.0,-100000.0,
Net Investment Purchase And Sale,-400000.0,-1600000.0,-100000.0,-100000.0,
Purchase Of Investment,-400000.0,-1600000.0,-100000.0,-100000.0,
Net Business Purchase And Sale,,,0.0,-185600000.0,0.0
Purchase Of Business,,,0.0,-185600000.0,0.0
Net Intangibles Purchase And Sale,-8200000.0,0.0,0.0,12500000.0,
Net PPE Purchase And Sale,-11500000.0,-21000000.0,-9600000.0,-3700000.0,
Purchase Of PPE,-11500000.0,-21000000.0,-9600000.0,-3700000.0,
Capital Expenditure Reported,-57800000.0,-32400000.0,-23900000.0,-14900000.0,
Operating Cash Flow,157000000.0,204700000.0,41700000.0,91000000.0,
Taxes Refund Paid,-99400000.0,-33300000.0,-19000000.0,-9000000.0,
Change In Working Capital,-221900000.0,-78800000.0,-59200000.0,28800000.0,
Change In Other Current Liabilities,42800000.0,68500000.0,9900000.0,-2800000.0,
Change In Payable,,34200000.0,26700000.0,-7100000.0,6700000.0
Change In Inventory,-17500000.0,-98500000.0,-13900000.0,21500000.0,
Change In Receivables,-247200000.0,-48800000.0,-81900000.0,17200000.0,
Stock Based Compensation,,9600000.0,4500000.0,3900000.0,3500000.0
Provisionand Write Offof Assets,,4100000.0,1100000.0,-400000.0,0.0
Depreciation And Amortization,,58400000.0,47800000.0,45100000.0,12700000.0
Depreciation,,58400000.0,47800000.0,45100000.0,12700000.0
Net Foreign Currency Exchange Gain Loss,,2800000.0,-300000.0,-900000.0,7800000.0
Gain Loss On Sale Of PPE,,0.0,4100000.0,0.0,
Net Income From Continuing Operations,407400000.0,241900000.0,62500000.0,23500000.0,
