,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-76534000.0,-36314000.0,-52466000.0,-34296000.0
Issuance Of Debt,10000000.0,,,
Issuance Of Capital Stock,79715000.0,15276000.0,39161000.0,85701000.0
Capital Expenditure,,-188000.0,-60000.0,
End Cash Position,6632000.0,10226000.0,32837000.0,47053000.0
Beginning Cash Position,10226000.0,32837000.0,47053000.0,4440000.0
Changes In Cash,-3594000.0,-22611000.0,-14216000.0,42613000.0
Financing Cash Flow,72940000.0,13703000.0,38250000.0,76909000.0
Net Common Stock Issuance,79715000.0,15276000.0,39161000.0,85701000.0
Common Stock Issuance,79715000.0,15276000.0,39161000.0,85701000.0
Net Issuance Payments Of Debt,10000000.0,,,
Net Long Term Debt Issuance,10000000.0,,,
Long Term Debt Issuance,10000000.0,,,
Investing Cash Flow,0.0,-188000.0,-60000.0,0.0
Net PPE Purchase And Sale,0.0,-188000.0,-60000.0,0.0
Operating Cash Flow,-76534000.0,-36126000.0,-52406000.0,-34296000.0
Change In Working Capital,-21174000.0,912000.0,-14427000.0,17871000.0
Change In Other Current Liabilities,15868000.0,933000.0,-15373000.0,13777000.0
Change In Receivables,-37042000.0,-21000.0,945000.0,4093000.0
Net Income From Continuing Operations,-55516000.0,-37178000.0,-38085000.0,-52256000.0
