,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-124191000.0,-59926000.0,-102202000.0,-48734000.0,
Repayment Of Debt,-2466000.0,-1977000.0,-1940000.0,-2475000.0,
Issuance Of Capital Stock,20370000.0,129738000.0,404000.0,223515000.0,
Capital Expenditure,,-261000.0,-382000.0,,-2684000.0
End Cash Position,62500000.0,169516000.0,117434000.0,221167000.0,
Other Cash Adjustment Outside Changein Cash,,-1000.0,1000.0,,
Beginning Cash Position,169516000.0,117434000.0,221167000.0,70007000.0,
Effect Of Exchange Rate Changes,0.0,-64000.0,3000.0,494000.0,
Changes In Cash,-106987000.0,52147000.0,-103737000.0,150666000.0,
Financing Cash Flow,17204000.0,112073000.0,-1535000.0,199400000.0,
Net Other Financing Charges,-2500000.0,-1900000.0,1000.0,-1000.0,
Net Common Stock Issuance,20370000.0,129738000.0,404000.0,223515000.0,
Common Stock Issuance,20370000.0,129738000.0,404000.0,223515000.0,
Net Issuance Payments Of Debt,-2466000.0,-1977000.0,-1940000.0,-2475000.0,
Net Long Term Debt Issuance,-2466000.0,-1977000.0,-1940000.0,-2475000.0,
Long Term Debt Payments,-2466000.0,-1977000.0,-1940000.0,-2475000.0,
Investing Cash Flow,0.0,-261000.0,-382000.0,0.0,
Net Investment Purchase And Sale,,,,0.0,6346000.0
Sale Of Investment,,,,0.0,6346000.0
Net PPE Purchase And Sale,0.0,-261000.0,-382000.0,0.0,
Sale Of PPE,,,,0.0,1706000.0
Purchase Of PPE,0.0,-261000.0,-382000.0,0.0,
Operating Cash Flow,-124191000.0,-59665000.0,-101820000.0,-48734000.0,
Taxes Refund Paid,0.0,0.0,0.0,-1214000.0,
Change In Working Capital,-4841000.0,26444000.0,-15626000.0,12437000.0,
Change In Other Current Liabilities,-10448000.0,30557000.0,-14766000.0,7594000.0,
Change In Receivables,5607000.0,-4113000.0,-860000.0,4843000.0,
Other Non Cash Items,,472000.0,,27000.0,-1399000.0
Stock Based Compensation,1239000.0,472000.0,,,0.0
Provisionand Write Offof Assets,,,,0.0,-16968000.0
Depreciation And Amortization,2728000.0,2741000.0,2571000.0,2595000.0,
Depreciation,2728000.0,2741000.0,2571000.0,2595000.0,
Net Foreign Currency Exchange Gain Loss,,,,,0.0
Gain Loss On Sale Of PPE,,,,,0.0
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,-123317000.0,-89322000.0,-88765000.0,-62579000.0,
