,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-922000.0,-5229000.0,-9628000.0,1741000.0,
Repurchase Of Capital Stock,-14644000.0,-13679000.0,,,
Issuance Of Capital Stock,,,0.0,287614000.0,32100000.0
Capital Expenditure,,,-41000.0,,
End Cash Position,3084000.0,19620000.0,23529000.0,139161000.0,
Other Cash Adjustment Outside Changein Cash,,-1000.0,,,
Beginning Cash Position,19620000.0,24179000.0,139161000.0,7515000.0,
Effect Of Exchange Rate Changes,565000.0,-1215000.0,1827000.0,-495000.0,
Changes In Cash,-17101000.0,-3343000.0,-117459000.0,132141000.0,
Financing Cash Flow,-18175000.0,-16773000.0,-20869000.0,281974000.0,
Net Other Financing Charges,,,-16346000.0,,100000.0
Cash Dividends Paid,-3531000.0,-3094000.0,-2955000.0,,
Common Stock Dividend Paid,-3531000.0,-3094000.0,-2955000.0,0.0,
Net Common Stock Issuance,-14644000.0,-13679000.0,0.0,287614000.0,
Common Stock Payments,-14644000.0,-13679000.0,,,
Common Stock Issuance,,,0.0,287614000.0,32100000.0
Investing Cash Flow,1996000.0,18659000.0,-87003000.0,-151574000.0,
Net Other Investing Changes,,1000.0,,,
Net Investment Purchase And Sale,6106000.0,19692000.0,-84999000.0,-151574000.0,
Sale Of Investment,25402000.0,153796000.0,,,
Purchase Of Investment,-19296000.0,-134104000.0,,,
Net Business Purchase And Sale,-4110000.0,-1034000.0,-1963000.0,0.0,
Purchase Of Business,-4110000.0,-1034000.0,-1963000.0,0.0,
Net PPE Purchase And Sale,,0.0,-41000.0,0.0,
Purchase Of PPE,,0.0,-41000.0,0.0,
Operating Cash Flow,-922000.0,-5229000.0,-9587000.0,1741000.0,
Taxes Refund Paid,0.0,0.0,0.0,0.0,
Change In Working Capital,625000.0,-828000.0,-5561000.0,6051000.0,
Change In Other Current Liabilities,392000.0,-155000.0,-5794000.0,6499000.0,
Change In Receivables,233000.0,-673000.0,233000.0,-448000.0,
Depreciation And Amortization,134000.0,134000.0,7000.0,0.0,
Amortization Cash Flow,126000.0,126000.0,,,
Depreciation,8000.0,8000.0,7000.0,,
Gain Loss On Investment Securities,-1509000.0,72955000.0,34603000.0,19094000.0,
Net Foreign Currency Exchange Gain Loss,-467000.0,1183000.0,-1827000.0,495000.0,
Net Income From Continuing Operations,295000.0,-78674000.0,-36810000.0,-23897000.0,
