,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-54550000.0,-76907000.0,-43293000.0,-50917000.0,
Repayment Of Debt,-2749000.0,-2240000.0,-3544000.0,-1055000.0,
Issuance Of Debt,2422000.0,0.0,5985000.0,1000000.0,
Issuance Of Capital Stock,0.0,75387000.0,17515000.0,164324000.0,
Capital Expenditure,-28120000.0,-34249000.0,-35422000.0,-25789000.0,
End Cash Position,10292000.0,65168000.0,81182000.0,105660000.0,
Other Cash Adjustment Outside Changein Cash,1000.0,,1000.0,,-999000.0
Beginning Cash Position,65168000.0,81182000.0,105660000.0,12691000.0,
Changes In Cash,-54877000.0,-16014000.0,-24479000.0,92969000.0,
Financing Cash Flow,-327000.0,60892000.0,18814000.0,143886000.0,
Net Other Financing Charges,,,-2000.0,,1000000.0
Net Common Stock Issuance,0.0,75387000.0,17515000.0,164324000.0,
Common Stock Issuance,0.0,75387000.0,17515000.0,164324000.0,
Net Issuance Payments Of Debt,-327000.0,-2240000.0,2441000.0,-55000.0,
Net Short Term Debt Issuance,,,,0.0,-173000.0
Net Long Term Debt Issuance,-327000.0,-2240000.0,2441000.0,-55000.0,
Long Term Debt Payments,-2749000.0,-2240000.0,-3544000.0,-1055000.0,
Long Term Debt Issuance,2422000.0,0.0,5985000.0,1000000.0,
Investing Cash Flow,-28120000.0,-34248000.0,-35422000.0,-25789000.0,
Net Other Investing Changes,,1000.0,,,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,
Purchase Of Investment,0.0,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,-26784000.0,-32270000.0,-27654000.0,-18025000.0,
Purchase Of Intangibles,-26784000.0,-32270000.0,-27654000.0,-18025000.0,
Net PPE Purchase And Sale,-1336000.0,-1979000.0,-7768000.0,-7764000.0,
Purchase Of PPE,-1336000.0,-1979000.0,-7768000.0,-7764000.0,
Operating Cash Flow,-26430000.0,-42658000.0,-7871000.0,-25128000.0,
Interest Received Cfo,1316000.0,588000.0,11000.0,0.0,
Interest Paid Cfo,-396000.0,-937000.0,-665000.0,-181000.0,
Change In Working Capital,-11743000.0,-25763000.0,40259000.0,3411000.0,
Change In Other Current Liabilities,-9728000.0,-25098000.0,44025000.0,1866000.0,
Change In Payable,-5538000.0,3167000.0,931000.0,1552000.0,
Change In Inventory,1415000.0,-1424000.0,-218000.0,-207000.0,
Change In Receivables,2108000.0,-2408000.0,-4479000.0,200000.0,
Other Non Cash Items,-1000.0,212000.0,1000.0,,
Provisionand Write Offof Assets,-439000.0,0.0,,,
Depreciation And Amortization,10859000.0,14305000.0,10504000.0,7468000.0,
Depreciation,10859000.0,14305000.0,10504000.0,7468000.0,
Gain Loss On Sale Of PPE,33000.0,0.0,,,
Net Income From Continuing Operations,-26062000.0,-76625000.0,-57982000.0,-35826000.0,
