,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,28351000.0,3183000.0,-9879000.0,9345000.0,
Repayment Of Debt,-3850000.0,-6025000.0,-4273000.0,-14263000.0,
Issuance Of Debt,0.0,0.0,4543000.0,15800000.0,
Issuance Of Capital Stock,0.0,0.0,10500000.0,0.0,
Capital Expenditure,-9889000.0,-1753000.0,-3421000.0,-1414000.0,
End Cash Position,36432000.0,11025000.0,19630000.0,10968000.0,
Other Cash Adjustment Outside Changein Cash,,,,,-1000.0
Beginning Cash Position,11025000.0,19630000.0,10968000.0,14174000.0,
Effect Of Exchange Rate Changes,293000.0,-110000.0,1220000.0,-53000.0,
Changes In Cash,25114000.0,-8495000.0,7442000.0,-3153000.0,
Financing Cash Flow,-3237000.0,-10340000.0,17285000.0,-12543000.0,
Net Other Financing Charges,-3850000.0,-6025000.0,-4273000.0,-14263000.0,
Net Common Stock Issuance,0.0,0.0,10500000.0,0.0,
Common Stock Issuance,0.0,0.0,10500000.0,0.0,
Net Issuance Payments Of Debt,-3237000.0,-10340000.0,6785000.0,-12543000.0,
Net Short Term Debt Issuance,613000.0,-4315000.0,6515000.0,-14080000.0,
Net Long Term Debt Issuance,-3850000.0,-6025000.0,270000.0,1537000.0,
Long Term Debt Payments,-3850000.0,-6025000.0,-4273000.0,-14263000.0,
Long Term Debt Issuance,0.0,0.0,4543000.0,15800000.0,
Investing Cash Flow,-9889000.0,-3091000.0,-3385000.0,-1369000.0,
Net Other Investing Changes,,-1000.0,,,
Net Investment Purchase And Sale,0.0,-1338000.0,36000.0,45000.0,
Sale Of Investment,0.0,497000.0,36000.0,45000.0,
Purchase Of Investment,0.0,-1835000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-4034000.0,-291000.0,-349000.0,-808000.0,
Purchase Of Intangibles,-4034000.0,-291000.0,-349000.0,-808000.0,
Net PPE Purchase And Sale,-5855000.0,-1462000.0,-3072000.0,-606000.0,
Sale Of PPE,0.0,0.0,,0.0,0.0
Purchase Of PPE,-5855000.0,-1462000.0,-3072000.0,-606000.0,
Operating Cash Flow,38240000.0,4936000.0,-6458000.0,10759000.0,
Taxes Refund Paid,-492000.0,-1570000.0,-1913000.0,-345000.0,
Change In Working Capital,31644000.0,16204000.0,-3583000.0,14323000.0,
Change In Other Current Liabilities,42210000.0,5495000.0,-3878000.0,3776000.0,
Change In Inventory,-5973000.0,5320000.0,2254000.0,2300000.0,
Change In Receivables,-4593000.0,5389000.0,-1959000.0,8247000.0,
Other Non Cash Items,,-9502000.0,,,1521000.0
Provisionand Write Offof Assets,0.0,-9657000.0,-28000.0,-1687000.0,
Depreciation And Amortization,15499000.0,27480000.0,17928000.0,7792000.0,
Amortization Cash Flow,10300000.0,24690000.0,,,
Depreciation,5199000.0,2790000.0,17928000.0,7792000.0,
Gain Loss On Investment Securities,,,-438000.0,110000.0,12000.0
Net Income From Continuing Operations,-8411000.0,-27596000.0,-18565000.0,-9601000.0,
