,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,12434000.0,-15766000.0,-11486000.0,14670000.0,
Repurchase Of Capital Stock,,,,,0.0
Capital Expenditure,-2821000.0,-21856000.0,-27384000.0,-11465000.0,
End Cash Position,41071000.0,38378000.0,63825000.0,85071000.0,
Other Cash Adjustment Outside Changein Cash,,1000.0,,,-2.0
Beginning Cash Position,38378000.0,63825000.0,85071000.0,69521000.0,
Changes In Cash,2693000.0,-25448000.0,-21246000.0,15550000.0,
Financing Cash Flow,-9672000.0,-9672000.0,-9672000.0,0.0,
Cash Dividends Paid,-9672000.0,-9672000.0,-9672000.0,,
Net Common Stock Issuance,,,,,0.0
Common Stock Payments,,,,,0.0
Investing Cash Flow,-2890000.0,-21866000.0,-27472000.0,-10585000.0,
Net Other Investing Changes,1000.0,,,1000.0,
Net Investment Purchase And Sale,-70000.0,-10000.0,-88000.0,879000.0,
Sale Of Investment,,,,879000.0,0.0
Purchase Of Investment,,-10000.0,-88000.0,,-984229.0
Net Intangibles Purchase And Sale,-2768000.0,-21831000.0,-27048000.0,-10841000.0,
Purchase Of Intangibles,,-21831000.0,-27048000.0,-10841000.0,-7889522.0
Net PPE Purchase And Sale,-53000.0,-25000.0,-336000.0,-624000.0,
Purchase Of PPE,,-25000.0,-336000.0,-624000.0,-120201.0
Operating Cash Flow,15255000.0,6090000.0,15898000.0,26135000.0,
Taxes Refund Paid,-3041000.0,-2783000.0,-3435000.0,-567000.0,
Change In Working Capital,4183000.0,9692000.0,-12612000.0,-24102000.0,
Change In Other Current Liabilities,-9369000.0,-7376000.0,6718000.0,-8725000.0,
Change In Receivables,13552000.0,17068000.0,-19330000.0,-15377000.0,
Provisionand Write Offof Assets,,,,0.0,-941882.0
Depreciation And Amortization,,14165000.0,11221000.0,10223000.0,9811073.0
Depreciation,,14165000.0,11221000.0,10223000.0,9811073.0
Net Foreign Currency Exchange Gain Loss,,877000.0,-998000.0,-1015000.0,2524074.0
Gain Loss On Sale Of PPE,,,,,0.0
Net Income From Continuing Operations,-1507000.0,-15861000.0,21722000.0,41596000.0,
