,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-661300.0,-2384400.0,-4229900.0,-2926900.0,
Repayment Of Debt,,,,-3877100.0,-69100.0
Issuance Of Debt,,,,2285300.0,2304400.0
Issuance Of Capital Stock,0.0,4072000.0,13200.0,5295900.0,
Capital Expenditure,-1200000.0,-2161100.0,-1307200.0,-545500.0,
End Cash Position,2016200.0,3825800.0,1597500.0,3737300.0,
Other Cash Adjustment Outside Changein Cash,100.0,-100.0,100.0,-100.0,
Beginning Cash Position,3825800.0,1597500.0,3737300.0,2981700.0,
Changes In Cash,-1809700.0,2228400.0,-2139800.0,755700.0,
Financing Cash Flow,-1148400.0,4612800.0,2090100.0,3682600.0,
Net Other Financing Charges,,,,100.0,
Interest Paid Cff,-39600.0,-247400.0,-700.0,-21500.0,
Net Common Stock Issuance,0.0,4072000.0,13200.0,5295900.0,
Common Stock Issuance,0.0,4072000.0,13200.0,5295900.0,
Net Issuance Payments Of Debt,-1046800.0,848600.0,1969200.0,-1591900.0,
Net Short Term Debt Issuance,,1596800.0,403200.0,-71100.0,10300.0
Short Term Debt Payments,,,,-1974100.0,0.0
Short Term Debt Issuance,,,,1903000.0,10300.0
Net Long Term Debt Issuance,-1046800.0,848600.0,1566000.0,-1520800.0,
Long Term Debt Payments,,,,-1903000.0,-69100.0
Long Term Debt Issuance,,,,382300.0,2294100.0
Investing Cash Flow,-1200000.0,-2161100.0,-1307200.0,-545500.0,
Net Intangibles Purchase And Sale,,-2160900.0,-1199500.0,-545500.0,
Purchase Of Intangibles,,-2160900.0,-1199500.0,-545500.0,
Net PPE Purchase And Sale,-1200000.0,-2161100.0,-107700.0,-545500.0,
Sale Of PPE,,47800.0,,,
Purchase Of PPE,-1200000.0,-2161100.0,-107700.0,-545500.0,
Operating Cash Flow,538700.0,-223300.0,-2922700.0,-2381400.0,
Interest Paid Cfo,,-238000.0,-20700.0,0.0,
Change In Working Capital,-2013300.0,1376800.0,-290400.0,-41200.0,
Change In Other Current Liabilities,-350000.0,1750000.0,150900.0,232800.0,
Change In Accrued Expense,286600.0,20500.0,,,
Change In Payable,-1583800.0,-1132500.0,,232800.0,728700.0
Change In Prepaid Assets,121600.0,668900.0,,,
Change In Inventory,,,,0.0,0.0
Change In Receivables,-487700.0,69900.0,-441300.0,-274000.0,
Other Non Cash Items,316600.0,520200.0,274700.0,21500.0,
Deferred Tax,0.0,-145500.0,,,
Depreciation And Amortization,1760114.0,1308284.0,821437.0,527800.0,
Amortization Cash Flow,750523.0,435523.0,210523.0,,
Depreciation,1009591.0,872761.0,610914.0,527800.0,
Net Income From Continuing Operations,475300.0,-3283100.0,-3707700.0,-2889500.0,
