,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,90751000.0,1365000.0,-3901000.0
Repayment Of Debt,-116300000.0,-6667000.0,-24583000.0
Issuance Of Debt,590016000.0,10400000.0,0.0
Issuance Of Capital Stock,10660000.0,,
Capital Expenditure,-8708000.0,-302000.0,-4429000.0
End Cash Position,612164000.0,2790000.0,25085000.0
Other Cash Adjustment Outside Changein Cash,1000.0,-1000.0,1000.0
Beginning Cash Position,2790000.0,25085000.0,48967000.0
Effect Of Exchange Rate Changes,-19000.0,0.0,0.0
Changes In Cash,609392000.0,-22294000.0,-23883000.0
Financing Cash Flow,445832000.0,-2020000.0,-56255000.0
Net Other Financing Charges,-28503000.0,8000.0,93000.0
Cash Dividends Paid,,,-27000000.0
Net Common Stock Issuance,10660000.0,,
Common Stock Issuance,10660000.0,,
Net Issuance Payments Of Debt,473716000.0,3733000.0,-24583000.0
Net Long Term Debt Issuance,473716000.0,3733000.0,-24583000.0
Long Term Debt Payments,-116300000.0,-6667000.0,-24583000.0
Long Term Debt Issuance,590016000.0,10400000.0,0.0
Investing Cash Flow,64101000.0,-21941000.0,31844000.0
Net Other Investing Changes,,-1000.0,
Net Investment Purchase And Sale,-2261000.0,-69000.0,15682000.0
Sale Of Investment,6095000.0,0.0,15682000.0
Purchase Of Investment,-8356000.0,-69000.0,0.0
Net Business Purchase And Sale,75070000.0,-21569000.0,20591000.0
Sale Of Business,75070000.0,713000.0,20591000.0
Purchase Of Business,,-22282000.0,0.0
Net Intangibles Purchase And Sale,-4118000.0,0.0,0.0
Purchase Of Intangibles,-4118000.0,0.0,0.0
Net PPE Purchase And Sale,-4590000.0,-302000.0,-4429000.0
Purchase Of PPE,-4590000.0,-302000.0,-4429000.0
Operating Cash Flow,99459000.0,1667000.0,528000.0
Taxes Refund Paid,3369000.0,-2754000.0,-3826000.0
Interest Received Cfo,3385000.0,332000.0,78000.0
Interest Paid Cfo,-15198000.0,-2733000.0,-4758000.0
Change In Working Capital,162578000.0,-13325000.0,-15363000.0
Change In Other Current Liabilities,207754000.0,133576000.0,-45391000.0
Change In Inventory,38573000.0,4708000.0,-2634000.0
Change In Receivables,-83749000.0,-151609000.0,32662000.0
Net Income From Continuing Operations,-111420000.0,54662000.0,56497000.0
