,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,161949000.0,50259000.0,98043000.0,196289000.0,
Repayment Of Debt,-4273000.0,-160738000.0,-17473000.0,-53094000.0,
Issuance Of Debt,71560000.0,194225000.0,100000000.0,23900000.0,
Issuance Of Capital Stock,643000.0,63775000.0,1713000.0,825000.0,
Capital Expenditure,-23610000.0,-14659000.0,-11128000.0,-14347000.0,
End Cash Position,126061000.0,67109000.0,93303000.0,177824000.0,
Beginning Cash Position,67109000.0,93303000.0,177824000.0,64881000.0,
Effect Of Exchange Rate Changes,-199000.0,226000.0,-396000.0,180000.0,
Changes In Cash,59151000.0,-26420000.0,-84125000.0,112763000.0,
Other Cash Adjustment Inside Changein Cash,1131000.0,-37702000.0,483000.0,,
Financing Cash Flow,-14372000.0,9053000.0,14679000.0,-83897000.0,
Net Common Stock Issuance,643000.0,63775000.0,1713000.0,825000.0,
Common Stock Issuance,643000.0,63775000.0,1713000.0,825000.0,
Net Issuance Payments Of Debt,67287000.0,33487000.0,82527000.0,-29194000.0,
Net Short Term Debt Issuance,,,,0.0,-44450000.0
Short Term Debt Payments,,,,,-44450000.0
Net Long Term Debt Issuance,67287000.0,33487000.0,82527000.0,-29194000.0,
Long Term Debt Payments,-4273000.0,-160738000.0,-17473000.0,-53094000.0,
Long Term Debt Issuance,71560000.0,194225000.0,100000000.0,23900000.0,
Investing Cash Flow,-113167000.0,-62689000.0,-208458000.0,-13976000.0,
Net Investment Purchase And Sale,141000.0,40000.0,0.0,122000.0,
Sale Of Investment,141000.0,134000.0,0.0,122000.0,
Purchase Of Investment,0.0,-94000.0,0.0,,
Net Business Purchase And Sale,-90208000.0,-51623000.0,-198882000.0,249000.0,
Sale Of Business,,,0.0,249000.0,19499000.0
Purchase Of Business,-90208000.0,-51623000.0,-198882000.0,0.0,
Net Intangibles Purchase And Sale,-23100000.0,-11106000.0,-9576000.0,-14347000.0,
Sale Of Intangibles,510000.0,3553000.0,1552000.0,0.0,
Purchase Of Intangibles,-23610000.0,-14659000.0,-11128000.0,-14347000.0,
Operating Cash Flow,185559000.0,64918000.0,109171000.0,210636000.0,
Taxes Refund Paid,-33980000.0,-29129000.0,-8986000.0,-8646000.0,
Interest Received Cfo,588000.0,1600000.0,693000.0,1055000.0,
Interest Paid Cfo,-39893000.0,-32149000.0,-23756000.0,-8491000.0,
Change In Working Capital,97805000.0,-68392000.0,-101666000.0,12152000.0,
Change In Other Current Liabilities,-19413000.0,-74406000.0,-16177000.0,39304000.0,
Change In Other Current Assets,,,,,-434000.0
Change In Payable,12588000.0,-49600000.0,80871000.0,8143000.0,
Change In Inventory,6249000.0,9307000.0,1209000.0,-1011000.0,
Change In Receivables,98381000.0,46307000.0,-167569000.0,-34284000.0,
Other Non Cash Items,204000.0,-3608000.0,-5829000.0,-195000.0,
Provisionand Write Offof Assets,1373000.0,-4148000.0,-8205000.0,9249000.0,
Depreciation And Amortization,121116000.0,132514000.0,102964000.0,77991000.0,
Amortization Cash Flow,26089000.0,29898000.0,,,
Depreciation,95027000.0,102616000.0,102964000.0,77991000.0,
Net Foreign Currency Exchange Gain Loss,1222000.0,2963000.0,-101000.0,,
Net Income From Continuing Operations,40096000.0,58571000.0,154557000.0,124421000.0,
