,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,21301000.0,21774000.0,22937069.0,29060791.0,
Repayment Of Debt,,,,,0.0
Issuance Of Debt,,,,,160000.0
Issuance Of Capital Stock,-1581000.0,-276000.0,9224545.0,1811030.0,
Capital Expenditure,-9429000.0,-10582000.0,-10756585.0,-11306948.0,
End Cash Position,47436000.0,52606000.0,64437878.0,66362058.0,
Other Cash Adjustment Outside Changein Cash,1000.0,,,1.0,
Beginning Cash Position,52606000.0,64438000.0,66362058.0,35395737.0,
Effect Of Exchange Rate Changes,0.0,1000.0,-48186.0,5174.0,
Changes In Cash,-5171000.0,-11833000.0,-1875994.0,30961146.0,
Financing Cash Flow,-26838000.0,-33953000.0,-24452205.0,1811030.0,
Net Other Financing Charges,1000.0,,,,
Cash Dividends Paid,-25258000.0,-33677000.0,-33676750.0,,
Net Common Stock Issuance,-1581000.0,-276000.0,9224545.0,1811030.0,
Common Stock Issuance,-1581000.0,-276000.0,9224545.0,1811030.0,
Net Issuance Payments Of Debt,,,,,160000.0
Net Short Term Debt Issuance,,,,,0.0
Net Long Term Debt Issuance,,,,,160000.0
Long Term Debt Payments,,,,,0.0
Long Term Debt Issuance,,,,,160000.0
Investing Cash Flow,-9063000.0,-10236000.0,-11117443.0,-11217623.0,
Net Other Investing Changes,,-1000.0,,89325.0,28800.0
Net Investment Purchase And Sale,366000.0,347000.0,-360858.0,0.0,
Sale Of Investment,371000.0,351000.0,226080.0,0.0,
Purchase Of Investment,-5000.0,-4000.0,-586938.0,0.0,
Net Investment Properties Purchase And Sale,,,0.0,89325.0,28800.0
Sale Of Investment Properties,,,0.0,89325.0,28800.0
Net Business Purchase And Sale,,,,,0.0
Purchase Of Business,,,,,0.0
Net Intangibles Purchase And Sale,-8612000.0,-7642000.0,-800783.0,-500204.0,
Purchase Of Intangibles,-8612000.0,-7642000.0,-800783.0,-500204.0,
Net PPE Purchase And Sale,-817000.0,-2940000.0,-3682802.0,-3236665.0,
Purchase Of PPE,-817000.0,-2940000.0,-3682802.0,-3236665.0,
Capital Expenditure Reported,,-6932311.0,-6273000.0,-7570079.0,
Operating Cash Flow,30730000.0,32356000.0,33693654.0,40367739.0,
Taxes Refund Paid,-13675000.0,-7785000.0,-2393397.0,-95992.0,
Interest Received Cfo,480000.0,633000.0,98376.0,40326.0,
Interest Paid Cfo,-20000.0,-43000.0,-11763.0,-6263.0,
Change In Working Capital,12189000.0,-3067000.0,527529.0,20635765.0,
Change In Other Current Liabilities,3072000.0,-1782000.0,7017425.0,27323687.0,
Change In Receivables,9116000.0,-1286000.0,-6489896.0,-6687922.0,
Other Non Cash Items,,,-126950.0,,
Depreciation And Amortization,,8258357.0,7103329.0,7222362.0,
Amortization Cash Flow,,,5575087.0,,
Depreciation,,8258357.0,7103329.0,7222362.0,
Net Income From Continuing Operations,22987000.0,34361000.0,28474160.0,12571541.0,
