Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2022-06-27,23.0,24.200000762939453,22.899999618530273,24.155000686645508,90310,0.0,0.0,,,,,,,,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-06-28,24.155000686645508,24.844999313354492,23.844999313354492,24.420000076293945,470874,0.0,0.0,,,,,,,100.0,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-06-29,24.5,24.5,23.645000457763672,24.0,132841,0.0,0.0,,,,,,,36.94364184609393,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-06-30,23.844999313354492,24.09000015258789,23.485000610351562,24.0,207882,0.0,0.0,,,,,,,36.94364184609393,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-07-01,23.985000610351562,24.549999237060547,23.700000762939453,24.3700008392334,103579,0.0,0.0,,,,,,,61.650284620686804,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-07-04,24.834999084472656,24.899999618530273,23.0,23.28499984741211,857422,0.0,0.0,,,,,,,27.55489275800278,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-07-05,23.28499984741211,23.4950008392334,22.399999618530273,22.704999923706055,357691,0.0,0.0,,,,,,,20.900600758741476,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-07-06,22.704999923706055,23.5,22.399999618530273,23.299999237060547,79862,0.0,0.0,,,,,,,37.55939133668708,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-07-07,23.5,23.7450008392334,23.34000015258789,23.700000762939453,38847,0.0,0.0,,,,,,,45.8204473230094,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
2022-07-08,23.700000762939453,24.770000457763672,23.354999542236328,24.6299991607666,58199,0.0,0.0,23.85650005340576,,,3.242299187346286,,,59.30215921101189,1.2,0.357,0.07473,0.68806,0.40980998,192.551,26.81657,53.952385,Dynavox Group AB (publ),Healthcare,"Dynavox Group AB (publ), through its subsidiaries, engages in the development and sale of assistive technology products for customers with impaired communication skills. The company offers custom designed augmentative and alternative communication (AAC) solutions that enable people with disabilities, such as cerebral palsy, ALS, autism, and spinal cord injury, to communicate on their own. Its communication solutions include language, software, hardware, funding, support, and training. The company operates in Sweden, Norway, Denmark, Belgium, the United States, Germany, France, China, the United Kingdom, Ireland, Australia, and New Zealand. The company was formerly known as Tobii Dynavox AB (publ) and changed its name to Dynavox Group AB (publ) in July 2024. Dynavox Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
