Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2021-01-19,2072.1083984375,2204.806396484375,1796.625732421875,2029.8719482421875,15450,0.0,0.0,,,,,,
2021-01-20,2131.6806640625,2269.421875,2029.8719482421875,2093.85693359375,8502,0.0,0.0,,,,,,
2021-01-21,2093.2265625,2093.2265625,1911.6728515625,1954.5396728515625,3427,0.0,0.0,,,,,,
2021-01-22,2004.6561279296875,2433.32470703125,1979.4403076171875,2338.765380859375,6313,0.0,0.0,,,,,,
2021-01-25,2345.0693359375,2899.81689453125,2282.02978515625,2515.276123046875,8770,0.0,0.0,,,,,,
2021-01-26,2559.40380859375,2698.090576171875,2319.853515625,2414.412841796875,3532,0.0,0.0,,,,,,
2021-01-27,2414.412841796875,2609.835205078125,2124.43115234375,2218.990478515625,5820,0.0,0.0,,,,,,
2021-01-28,2181.166748046875,2181.166748046875,1935.3126220703125,2130.735107421875,3058,0.0,0.0,,,,,,
2021-01-29,2099.21533203125,2282.02978515625,2080.303466796875,2162.2548828125,1913,0.0,0.0,,,,,,
2021-02-01,2181.166748046875,2250.51025390625,2048.78369140625,2111.8232421875,1428,0.0,0.0,2197.0526611328123,,,-3.8792615422048,,
2021-02-02,2168.558837890625,2187.470703125,2017.2640380859375,2080.303466796875,1116,0.0,0.0,2202.095812988281,,,-5.530746912693677,,
2021-02-03,2086.607421875,2168.558837890625,1985.7442626953125,2004.6561279296875,1245,0.0,0.0,2193.175732421875,,,-8.595736388347214,,
2021-02-04,2017.2640380859375,2029.8719482421875,1891.1849365234375,1960.5284423828125,1753,0.0,0.0,2193.774609375,,,-10.63218463717377,,
2021-02-05,1966.8323974609375,1998.3521728515625,1897.4888916015625,1954.2244873046875,903,0.0,0.0,2155.320520019531,,,-9.330214733585024,,
2021-02-08,1979.4403076171875,2029.8719482421875,1891.1849365234375,1979.4403076171875,875,0.0,0.0,2101.7369384765625,,,-5.8188362501741695,,
2021-02-09,1979.4403076171875,2029.8719482421875,1910.0968017578125,2017.2640380859375,994,0.0,0.0,2062.0220581054687,,,-2.1705888083783953,,
2021-02-10,2061.3916015625,2111.8232421875,1992.0482177734375,2042.479736328125,1164,0.0,0.0,2044.3709838867187,,,-0.09250999811189362,,
2021-02-11,2048.78369140625,2080.303466796875,1941.6165771484375,1998.3521728515625,802,0.0,0.0,2031.1326904296875,,,-1.6139033029491667,,
2021-02-12,2004.6561279296875,2010.9600830078125,1910.0968017578125,1941.6165771484375,814,0.0,0.0,2009.0688598632812,,,-3.3573902847428476,,
2021-02-15,1947.9205322265625,1985.7442626953125,1891.1849365234375,1929.0086669921875,737,0.0,0.0,1990.78740234375,,,-3.103231177715439,,
2021-02-16,1929.0086669921875,1929.0086669921875,1790.32177734375,1802.9296875,1429,0.0,0.0,1963.0500244140626,,,-8.156712000340177,,
2021-02-17,1802.9296875,1884.881103515625,1575.987548828125,1645.3309326171875,1761,0.0,0.0,1927.1175048828125,,,-14.622179060262356,,
2021-02-18,1720.9783935546875,1796.625732421875,1645.3309326171875,1689.4586181640625,1198,0.0,0.0,1900.0105224609374,,,-11.081617801998446,,
2021-02-19,1708.3704833984375,1815.53759765625,1670.5467529296875,1746.194091796875,560,0.0,0.0,1879.2074829101562,,,-7.078164190113564,,
2021-02-22,1872.273193359375,1878.5771484375,1809.233642578125,1872.273193359375,1419,0.0,0.0,1868.490771484375,,,0.20243192702499171,,
2021-02-23,1878.5771484375,1878.5771484375,1752.498046875,1796.625732421875,796,0.0,0.0,1846.4269409179688,,,-2.697166478265022,,
2021-02-24,1872.273193359375,1910.0968017578125,1834.449462890625,1891.1849365234375,805,0.0,0.0,1831.2974609375,,,3.2702210789545396,,
