Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_DIFF,RSI
2023-06-12,1410.441134488282,1421.5703944328798,1391.5610576288075,1396.3306884765625,239485,0.0,0.0,,,,
2023-06-13,1408.652471995241,1412.6272250885118,1393.5484587607468,1409.844970703125,352567,0.0,0.0,,,,100.0
2023-06-14,1410.2422579259505,1410.2422579259505,1386.7912404496408,1399.510498046875,347450,0.0,0.0,,,,54.83865805383742
2023-06-15,1395.1383154348362,1405.67138671875,1388.977496749859,1405.67138671875,229672,0.0,0.0,,,,64.98955091200625
2023-06-16,1403.6839311078963,1432.500888990997,1403.4852419872552,1422.7628173828125,1618591,0.0,0.0,,,,79.05468819165222
2023-06-19,1410.6399468082132,1411.037446405198,1386.9902370356958,1387.58642578125,314341,0.0,0.0,,,,41.81817882583633
2023-06-20,1390.3685589419918,1398.914374981412,1373.277169462823,1396.3306884765625,279563,0.0,0.0,,,,48.33311550513592
2023-06-21,1385.002804627224,1385.002804627224,1350.4224031782203,1358.7694091796875,376810,0.0,0.0,,,,31.840122359217006
2023-06-22,1354.3971078024265,1354.3971078024265,1322.996582827943,1331.740966796875,541483,0.0,0.0,,,,25.18129111606011
2023-06-26,1341.0816353399623,1352.6083947576474,1322.9965577449595,1343.267822265625,336688,0.0,0.0,,,,31.737874655069376
2023-06-27,1344.2615015725958,1347.4412554253472,1325.3814249847774,1341.4791259765625,270520,0.0,0.0,,,,31.27979424565187
2023-06-28,1350.2236552680345,1356.5831630877385,1332.1384561687219,1354.9932861328125,250070,0.0,0.0,,,,38.50188321065923
2023-06-29,1349.0312381967287,1350.0249265161578,1310.8735824706896,1337.9019775390625,332254,0.0,0.0,,,,33.680925351405875
2023-06-30,1337.9018672910286,1357.974321169511,1327.7661744881657,1357.179443359375,359738,0.0,0.0,,,,42.43603120856103
2023-07-03,1356.7819728553923,1357.974350246044,1323.9902603142696,1329.356201171875,246242,0.0,0.0,,,,35.21094405007321
2023-07-04,1330.94615930306,1342.870419136207,1325.3815289742267,1337.9019775390625,190974,0.0,0.0,,,,38.66511898507096
2023-07-05,1330.5485741785271,1342.2741441139258,1316.040749907496,1320.0155029296875,202508,0.0,0.0,,,,34.51714986293521
2023-07-06,1311.4698067863383,1311.4698067863383,1268.93990097454,1277.485595703125,342499,0.0,0.0,,,,27.07848631623125
2023-07-07,1277.4855104733813,1298.7504619605509,1273.3120686029265,1293.384521484375,260908,0.0,0.0,,,,32.900056927090134
2023-07-10,1291.7948266546202,1316.2395352682695,1282.8516317008575,1314.649658203125,279000,0.0,0.0,1355.8081481933593,,,39.82027490766477
2023-07-11,1322.9965676963309,1331.7409515652503,1308.2899329942888,1320.0155029296875,260768,0.0,0.0,1351.9923889160157,,,41.46085928406859
2023-07-12,1318.624388558524,1339.0943435030058,1295.7695574079241,1335.51708984375,223708,0.0,0.0,1348.2759948730468,,,46.03765888255071
2023-07-13,1341.4792300061965,1359.7631193269906,1331.1448472335876,1354.794677734375,217595,0.0,0.0,1346.0402038574218,,,51.152361011924036
