Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2020-07-16,12.041797637939453,12.041797637939453,12.041797637939453,12.041797637939453,7,0.0,0.0,,,,,,
2020-07-17,12.700332641601562,12.700332641601562,12.229949951171875,12.700332641601562,3345,0.0,0.0,,,,,,
2020-07-20,13.547021865844727,13.547021865844727,13.547021865844727,13.547021865844727,100,0.0,0.0,,,,,,
2020-07-22,12.512180428655713,13.547021865844727,12.512180428655713,13.547021865844727,107,0.0,0.0,,,,,,
2020-07-23,13.829252094194592,13.829252094194592,13.735176086425781,13.735176086425781,2000,0.0,0.0,,,,,,
2020-07-27,14.111480712890625,14.111480712890625,14.111480712890625,14.111480712890625,5030,0.0,0.0,,,,,,
2020-07-29,14.111480117479703,14.111480117479703,13.264791669304419,13.82925033569336,5355,0.0,0.0,,,,,,
2020-07-30,14.111480712890625,14.111480712890625,14.111480712890625,14.111480712890625,340,0.0,0.0,,,,,,
2020-07-31,13.923328216048946,13.923328216048946,12.8884859085083,12.8884859085083,2942,0.0,0.0,,,,,,
2020-08-03,12.982563018798828,12.982563018798828,12.982563018798828,12.982563018798828,250,0.0,0.0,13.349461078643799,,,-2.748411023362785,,
2020-08-05,13.358868985088248,13.358868985088248,13.076639175415039,13.076639175415039,681,0.0,0.0,13.452945232391357,,,-2.7972020288186905,,
2020-08-06,13.5470217130846,13.5470217130846,13.452945709228516,13.452945709228516,4869,0.0,0.0,13.528206539154052,,,-0.5563252579542788,,
2020-08-10,15.804858439090848,16.651548757986998,15.428552627563477,15.428552627563477,20445,0.0,0.0,13.716359615325928,,,12.482853032844341,,
2020-08-11,16.08708909914756,16.557471810851478,15.522629486229327,16.36931800842285,13973,0.0,0.0,13.99858922958374,,,16.935483568793938,,
2020-08-12,15.522629529037232,15.522629529037232,15.334475726089721,15.428552627563477,2897,0.0,0.0,14.16792688369751,,,8.897743150527695,,
2020-08-13,15.240400576954032,16.36931800842285,15.240400576954032,16.36931800842285,1730,0.0,0.0,14.393710613250732,,,13.725490585821499,,
2020-08-14,15.993011474609375,15.993011474609375,15.05224609375,15.05224609375,1482,0.0,0.0,14.516010189056397,,,3.694099809173948,,
2020-08-17,15.3344756838007,16.36931800842285,14.487787161607177,16.36931800842285,3856,0.0,0.0,14.74179391860962,,,11.040203782517214,,
2020-08-18,14.487786299738309,14.958168983459473,14.487786299738309,14.958168983459473,3107,0.0,0.0,14.948762226104737,,,0.06292666384316942,,
2020-08-19,15.052246991325827,15.993012428283691,15.052246991325827,15.993012428283691,11783,0.0,0.0,15.249807167053223,,,4.873538747664574,,
2020-08-20,15.334474990260787,15.334474990260787,15.05224609375,15.05224609375,1750,0.0,0.0,15.447367858886718,,,-2.5578581978897357,,
2020-08-21,16.18116569519043,16.18116569519043,16.18116569519043,16.18116569519043,2,0.0,0.0,15.72018985748291,,,2.932380854726709,,
2020-08-24,15.428551369675395,15.710782051086426,15.428551369675395,15.710782051086426,300,0.0,0.0,15.748412799835204,,,-0.23894946892154342,,
2020-08-26,15.710782578098588,16.463394165039062,15.710782578098588,16.463394165039062,17512,0.0,0.0,15.757820415496827,,,4.477610043381051,,
2020-08-27,16.36931800842285,17.404160333045002,16.36931800842285,16.36931800842285,7218,0.0,0.0,15.851896953582763,,,3.264095498193002,,
2020-08-28,17.02785420141569,17.02785420141569,16.18116569519043,16.18116569519043,8250,0.0,0.0,15.833081722259521,,,2.1984600284197455,,
