Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2020-07-06,31.665960938388857,31.757744931879206,31.298817961757628,31.482389450073242,10452,0.0,0.0,,,,,,
2020-07-07,31.390603810682734,31.390603810682734,30.931676864624023,30.931676864624023,6506,0.0,0.0,,,,,,
2020-07-08,30.83988916361732,30.83988916361732,29.646679812295076,30.472749710083008,3198,0.0,0.0,,,,,,
2020-07-09,32.03310201627427,32.492028959193185,30.472749710083008,30.472749710083008,10884,0.0,0.0,,,,,,
2020-07-10,32.03310073645771,32.7673831155243,30.289177022506824,31.849529266357422,7934,0.0,0.0,,,,,,
2020-07-13,30.380963840914376,31.665960750150077,30.380963840914376,31.023462295532227,11139,0.0,0.0,,,,,,
2020-07-14,30.931678486461315,31.482389450073242,30.7481069981457,31.482389450073242,2258,0.0,0.0,,,,,,
2020-07-15,31.57417381187427,33.31809402449059,31.298814856056556,31.849529266357422,11190,0.0,0.0,,,,,,
2020-07-16,31.941318193165593,33.31809917995148,31.849534194580578,33.04274368286133,28100,0.0,0.0,,,,,,
2020-07-17,33.13452285918232,33.960592731565036,32.1248850163453,33.86880874633789,2570,0.0,0.0,31.647602844238282,,,7.018559709030216,,
2020-07-20,33.960595977887166,35.15380540657298,33.960595977887166,34.97023391723633,13654,0.0,0.0,31.99638729095459,,,9.294320009441963,,
2020-07-21,34.97023247654771,34.97023247654771,34.05237856901275,34.878448486328125,9127,0.0,0.0,32.391064453125,,,7.679229056528126,,
2020-07-22,34.970232272561795,34.970232272561795,32.58381352742513,34.41952133178711,2954,0.0,0.0,32.78574161529541,,,4.983201953038942,,
2020-07-23,34.41952133178711,34.41952133178711,32.675597517109324,34.41952133178711,2897,0.0,0.0,33.18041877746582,,,3.7344391661591003,,
2020-07-24,32.767386017017145,33.86881143381354,32.12488756544134,33.59345245361328,7981,0.0,0.0,33.354811096191405,,,0.7154630758773073,,
2020-07-27,31.665962089286463,33.59345403331771,31.665962089286463,33.226314544677734,3496,0.0,0.0,33.57509632110596,,,-1.038810948128165,,
2020-07-28,31.941314084191774,32.492028508862546,31.941314084191774,32.12488555908203,7170,0.0,0.0,33.63934593200683,,,-4.502050592737114,,
2020-07-29,32.03310157230423,32.12488555908203,31.665958622523718,32.12488555908203,7521,0.0,0.0,33.6668815612793,,,-4.58015690996084,,
2020-07-30,30.93167601136931,32.12488533794016,30.93167601136931,31.665958404541016,6450,0.0,0.0,33.52920303344727,,,-5.557079979048592,,
2020-07-31,31.390603160855658,32.12488555908203,30.748104749407087,32.12488555908203,2029,0.0,0.0,33.35481071472168,,,-3.687399596295119,,
2020-08-03,32.033105693085716,34.3277406710622,32.033105693085716,33.04274368286133,7769,0.0,0.0,33.16206169128418,,,-0.3598027454795168,,
2020-08-04,33.960594177246094,33.960594177246094,32.308457863484854,33.960594177246094,3724,0.0,0.0,33.07027626037598,,,2.69219981671842,,
2020-08-05,33.22631533900579,33.96059783517498,32.76738834123315,33.501670837402344,2484,0.0,0.0,32.9784912109375,,,1.5864268110947715,,
2020-08-06,33.96059334652366,33.96059334652366,33.685237884521484,33.685237884521484,4209,0.0,0.0,32.90506286621094,,,2.3709877762053404,,
2020-08-07,33.04274068874938,33.86881060650204,32.7673852166101,33.31809616088867,1193,0.0,0.0,32.87752723693848,,,1.3400305952912674,,
2020-08-10,33.8688136754669,33.8688136754669,32.58381668726603,33.04274368286133,7982,0.0,0.0,32.85917015075684,,,0.5586675843067849,,
2020-08-11,33.04273943219866,33.04273943219866,31.390603160855658,32.12488555908203,12835,0.0,0.0,32.85917015075684,,,-2.234641314147414,,
2020-08-12,32.12488472084057,32.12488472084057,31.849529266357422,31.849529266357422,46109,0.0,0.0,32.831634521484375,,,-2.991338291379562,,
2020-08-13,32.95095905286399,33.226314544677734,31.390606597472722,33.226314544677734,1853,0.0,0.0,32.98767013549805,,,0.7234351750197698,,
2020-08-14,33.777022696795605,33.777022696795605,32.1248863830758,32.40024185180664,18858,0.0,0.0,33.015205764770506,,,-1.8626687270871851,,
2020-08-17,32.30845786267461,32.40024185180664,31.29881647554852,32.40024185180664,11510,0.0,0.0,32.95095558166504,,,-1.6713133811659044,,
2020-08-18,32.12488638388144,33.960594177246094,32.12488638388144,33.960594177246094,26189,0.0,0.0,32.95095558166504,,,3.0640646917773964,,
