Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2020-07-10,147.6019146409717,152.28636710442223,147.26731636391355,152.07723999023438,1101739,0.0,0.0,,,,,,
2020-07-13,153.2483504808793,157.97463103585193,153.2483504808793,157.13812255859375,1633038,0.0,0.0,,,,,,
2020-07-14,158.9366089624169,158.9366089624169,155.6324030657563,157.5981903076172,1899779,0.0,0.0,,,,,,
2020-07-15,159.73130411518636,162.57544082665544,158.64384045386313,161.1533660888672,1491593,0.0,0.0,,,,,,
2020-07-16,160.48416224430287,160.60963341476543,151.70082291693288,155.84153747558594,2370251,0.0,0.0,,,,,,
2020-07-17,156.55255037080872,157.17993170453747,152.66279120733273,155.79969787597656,1727780,0.0,0.0,,,,,,
2020-07-20,155.0886723944892,156.30161994328924,153.8757376097961,154.7540740966797,1163669,0.0,0.0,,,,,,
2020-07-21,151.6589996515061,152.91376245155038,145.76161193847656,145.76161193847656,4055817,0.0,0.0,,,,,,
2020-07-22,144.79963895696315,146.17987299548338,141.57907584827217,143.5448760986328,2020236,0.0,0.0,,,,,,
2020-07-23,144.50684626250097,145.17605562869431,141.49541049668449,142.54104614257812,1849523,0.0,0.0,152.62097625732423,,,-6.604550935220723,,
2020-07-24,140.78438347320645,142.54104366936394,140.15700209655589,140.57525634765625,1449630,0.0,0.0,151.4707778930664,,,-7.193150848609266,,
2020-07-27,140.5334236391129,143.2102482032271,140.5334236391129,142.62469482421875,997877,0.0,0.0,150.0194351196289,,,-4.929188201191007,,
2020-07-28,142.62469250847286,143.042946738703,139.5714417334354,139.8642120361328,1118962,0.0,0.0,148.24603729248048,,,-5.653996160322878,,
2020-07-29,139.69692009464018,141.4535930577604,138.77675563508066,139.48779296875,1346596,0.0,0.0,146.07947998046876,,,-4.5123976431187245,,
2020-07-30,139.2786681194238,139.2786681194238,135.63985096381404,137.14556884765625,1507995,0.0,0.0,144.2098831176758,,,-4.8986339336084415,,
2020-07-31,137.3128611017577,138.02389841133746,135.05429077148438,135.05429077148438,1363077,0.0,0.0,142.13534240722657,,,-4.981907747796144,,
2020-08-03,135.26342164812323,139.23683701580714,133.79953177581865,138.7349395751953,1043777,0.0,0.0,140.53342895507814,,,-1.279759124398591,,
2020-08-04,139.73875029221696,139.82239348543752,136.3508882461627,136.85279846191406,1490969,0.0,0.0,139.64254760742188,,,-1.9977787524692365,,
2020-08-05,137.31286833260938,140.324304107626,137.10374120279175,140.07334899902344,1031231,0.0,0.0,139.29539489746094,,,0.5584923336016764,,
2020-08-06,140.11515172549142,141.03531603649475,138.81856120147935,139.57142639160156,934509,0.0,0.0,138.9984329223633,,,0.41223016489568043,,
2020-08-07,138.98588276097084,140.3243014723107,137.81477596162856,139.48779296875,776587,0.0,0.0,138.88968658447266,,,0.4306341233721308,,
2020-08-10,140.40795541994197,140.95168083383635,138.94406555964989,140.7425537109375,981375,0.0,0.0,138.70147247314452,,,1.4715642173071923,,
2020-08-11,141.5790550815405,148.60572095188004,141.53722710624322,147.30914306640625,2510902,0.0,0.0,139.4459655761719,,,5.638870553009387,,
2020-08-12,147.30915290295204,148.52208768293076,145.88707823252162,147.51828002929688,1260556,0.0,0.0,140.24901428222657,,,5.183113609941089,,
2020-08-13,146.51445762627847,149.2331102319236,146.51445762627847,148.77304077148438,1321447,0.0,0.0,141.41176147460936,,,5.2055636816296476,,
2020-08-14,148.18746361696364,148.27111956580242,142.7501588091909,143.00111389160156,1806898,0.0,0.0,142.2064437866211,,,0.5588144136230991,,
2020-08-17,143.04295738985493,146.2216923291176,143.04295738985493,145.63613891601562,962867,0.0,0.0,142.8965637207031,,,1.9171736002463418,,
2020-08-18,144.88326862593368,146.1798593446157,143.04295249172694,143.6703338623047,1131153,0.0,0.0,143.57831726074218,,,0.06408809026184713,,
2020-08-19,143.67034805961276,144.71598378057064,143.21026578956972,144.2977294921875,949323,0.0,0.0,144.0007553100586,,,0.20623098919826452,,
2020-08-20,142.70835434513424,143.54486284009022,141.78818989503998,142.29010009765625,721275,0.0,0.0,144.27262268066406,,,-1.3741502345846741,,
2020-08-21,143.12661800945304,143.79581463816146,140.15701010415623,140.95169067382812,1753770,0.0,0.0,144.41901245117188,,,-2.4008762547909392,,
2020-08-24,141.9554701602163,145.09237659907245,141.9554701602163,144.7996063232422,2197526,0.0,0.0,144.82471771240233,,,-0.017339159748967645,,
2020-08-25,145.38519319480528,147.0582103483379,144.2977294921875,144.2977294921875,1185692,0.0,0.0,144.52357635498046,,,-0.15626991006521693,,
2020-08-26,144.17224546838392,146.30533193783532,143.5448640916966,145.97073364257812,962876,0.0,0.0,144.3688217163086,,,1.1095968694801486,,
2020-08-27,145.9707247599401,147.93652472624646,145.13421630859375,145.13421630859375,1293934,0.0,0.0,144.00493927001952,,,0.7841932674661634,,
2020-08-28,145.13421093089605,146.5562726926716,142.79198480109218,143.96310424804688,1074348,0.0,0.0,144.10113830566405,,,-0.09578970661868154,,
2020-08-31,144.7159764820165,147.72741231214064,144.38137817382812,144.38137817382812,1782461,0.0,0.0,143.9756622314453,,,0.28179480899390597,,
