Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2022-09-07,43.0,43.0,43.0,43.0,1414,0.0,0.0,,,,,,,,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-09,34.0,40.0,34.0,40.0,110,0.0,0.0,,,,,,,0.0,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-12,36.0,36.0,36.0,36.0,2,0.0,0.0,,,,,,,0.0,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-13,34.099998474121094,34.099998474121094,34.099998474121094,34.099998474121094,60,0.0,0.0,,,,,,,0.0,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-14,39.20000076293945,39.20000076293945,34.0,39.0,700,0.0,0.0,,,,,,,39.15228970375298,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-15,34.0,39.0,34.0,39.0,600,0.0,0.0,,,,,,,39.15228970375298,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-16,34.0,39.099998474121094,34.0,39.099998474121094,183,0.0,0.0,,,,,,,39.710968256199145,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-19,39.099998474121094,39.099998474121094,39.099998474121094,39.099998474121094,85,0.0,0.0,,,,,,,39.710968256199145,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-20,36.0,36.0,36.0,36.0,80,0.0,0.0,,,,,,,29.855460453374945,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-21,30.299999237060547,34.0,30.299999237060547,34.0,87,0.0,0.0,37.92999954223633,,,-10.361190587044812,,,25.46452279967656,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-22,34.0,34.0,34.0,34.0,70,0.0,0.0,37.029999542236325,,,-8.18255355034589,,,25.46452279967656,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-23,34.0,34.900001525878906,34.0,34.900001525878906,171,0.0,0.0,36.51999969482422,,,-4.435920543490335,,,30.77778906414484,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-26,34.79999923706055,34.79999923706055,34.79999923706055,34.79999923706055,60,0.0,0.0,36.39999961853027,,,-4.395605489663821,,,30.51747447308952,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-27,30.600000381469727,36.0,30.600000381469727,35.400001525878906,172,0.0,0.0,36.52999992370606,,,-3.0933435537563234,,,34.11791843266751,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-28,34.0,34.0,34.0,34.0,60,0.0,0.0,36.02999992370606,,,-5.63419352762866,,,30.187266930786066,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-29,30.700000762939453,30.700000762939453,27.200000762939453,27.200000762939453,1209,0.0,0.0,34.85,,,-21.95121732298579,,,18.83614029983042,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-30,32.0,36.0,29.0,33.0,1069,0.0,0.0,34.24000015258789,,,-3.6214957566060897,,,39.672942611276774,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-03,35.79999923706055,35.79999923706055,35.0,35.0,105,0.0,0.0,33.83000030517578,,,3.4584678813769254,,,44.923677120605504,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-04,35.0,39.0,35.0,39.0,160,0.0,0.0,34.130000305175784,,,14.268970557511787,,,53.618612071681376,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-05,36.0,36.0,36.0,36.0,171,0.0,0.0,34.33000030517578,,,4.864549024115336,,,47.5548498676409,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-06,39.0,39.0,38.0,38.0,61,0.0,0.0,34.73000030517578,,,9.415489968587465,,,51.49326977867263,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-07,36.0,36.0,36.0,36.0,60,0.0,0.0,34.84000015258789,,,3.329505862031248,,,47.64046207249747,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-10,30.100000381469727,31.0,28.0,29.0,3176,0.0,0.0,34.260000228881836,,,-15.35318211833389,,,37.16047309252309,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-11,26.100000381469727,26.200000762939453,26.100000381469727,26.100000381469727,441,0.0,0.0,33.33000011444092,,,-21.692168341273558,,,33.83930484039425,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-12,30.0,30.0,30.0,30.0,100,0.0,0.0,32.930000114440915,,,-8.897662023256451,,,41.42156551876531,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-13,30.799999237060547,30.799999237060547,30.799999237060547,30.799999237060547,100,0.0,0.0,33.28999996185303,,,-7.479725826511774,,,42.86796428375424,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-14,25.299999237060547,31.0,25.299999237060547,30.799999237060547,1459,0.0,0.0,33.069999885559085,,,-6.8642293811733435,,,42.86796428375424,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-17,30.799999237060547,34.0,30.799999237060547,34.0,111,0.0,0.0,32.96999988555908,,,3.124052526588143,,,48.739636930308656,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-18,33.0,33.0,33.0,33.0,111,0.0,0.0,32.36999988555908,,,1.9462468849806018,,,47.110221285788704,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-19,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,121,0.0,0.0,32.14999980926514,,,5.132191096685179,,,48.590909994895355,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-20,33.599998474121094,33.599998474121094,33.599998474121094,33.599998474121094,112,0.0,0.0,31.709999656677248,,,5.960261235909111,,,48.22740309840944,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-21,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,110,0.0,0.0,31.4899995803833,,,7.3356611224480925,,,48.64117158776655,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-24,35.0,35.0,34.0,34.0,111,0.0,0.0,31.9899995803833,,,6.283214898349851,,,49.07943514566693,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-25,34.0,34.0,34.0,34.0,110,0.0,0.0,32.779999542236325,,,3.72178302257671,,,49.07943514566693,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-26,26.0,32.5,26.0,32.5,111,0.0,0.0,33.029999542236325,,,-1.6046005134169046,,,45.688233661352484,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-27,35.0,35.0,35.0,35.0,169,0.0,0.0,33.44999961853027,,,4.633782957088815,,,51.680730710687186,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-28,35.0,35.0,35.0,35.0,99,0.0,0.0,33.869999694824216,,,3.336286729723423,,,51.680730710687186,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-10-31,35.0,35.0,35.0,35.0,0,0.0,0.0,33.96999969482422,,,3.0320880613158114,,,51.680730710687186,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-11-01,34.900001525878906,34.900001525878906,34.900001525878906,34.900001525878906,87,0.0,0.0,34.15999984741211,,,2.1662812698251748,,,51.39742023231711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-11-02,34.900001525878906,34.900001525878906,34.900001525878906,34.900001525878906,0,0.0,0.0,34.27000007629395,34.6699999332428,,1.8383467994817981,-1.1537348073811757,,51.39742023231711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-11-03,34.900001525878906,34.900001525878906,34.900001525878906,34.900001525878906,0,0.0,0.0,34.400000381469724,34.46749997138977,,1.4534916827457902,-0.19583546812526514,,51.39742023231711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-11-04,34.900001525878906,34.900001525878906,34.900001525878906,34.900001525878906,86,0.0,0.0,34.51000061035156,34.340000009536745,,1.1301098482460217,0.49505125441934983,,51.39742023231711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-11-07,34.900001525878906,34.900001525878906,34.900001525878906,34.900001525878906,86,0.0,0.0,34.60000076293945,34.31250004768371,,0.8670542090299305,0.8378891507648876,,51.39742023231711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-11-08,34.900001525878906,34.900001525878906,34.900001525878906,34.900001525878906,0,0.0,0.0,34.69000091552734,34.33250012397766,,0.6053635191965852,1.0412897116688735,,51.39742023231711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,0.5253045,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
