Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2022-07-27,233.31848367830602,233.31848367830602,222.46646118164062,222.46646118164062,2504,0.0,0.0,,,,,,,,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-07-28,232.54331550342124,232.54331550342124,206.1884064130335,230.99302673339844,940,0.0,0.0,,,,,,,100.0,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-07-29,223.24164013845638,223.24164013845638,203.86302554310427,217.8156280517578,2200,0.0,0.0,,,,,,,37.53284542025682,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-01,217.04041909271817,217.04041909271817,205.4132537841797,205.4132537841797,301,0.0,0.0,,,,,,,22.981771295805515,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-02,205.4132537841797,205.4132537841797,205.4132537841797,205.4132537841797,0,0.0,0.0,,,,,,,22.981771295805515,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-03,205.41328958364633,228.6676242534931,201.53756713867188,201.53756713867188,60,0.0,0.0,,,,,,,20.150493746083328,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-04,209.2890120286208,209.2890120286208,201.53756713867188,201.53756713867188,200,0.0,0.0,,,,,,,20.150493746083328,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-05,201.53756713867188,201.53756713867188,201.53756713867188,201.53756713867188,8,0.0,0.0,,,,,,,20.150493746083328,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-08,209.28901127406527,209.28901127406527,195.33641052246094,195.33641052246094,2371,0.0,0.0,,,,,,,16.16963140015831,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-09,189.91037637216075,209.2889862060547,189.91037637216075,209.2889862060547,2070,0.0,0.0,209.13397216796875,,,0.07412188296286741,,,43.30782590170698,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-10,195.33638712565104,209.2889862060547,193.78609833893952,209.2889862060547,1631,0.0,0.0,207.81622467041015,,,0.7086845783962679,,,43.30782590170698,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-11,196.88672644042967,196.88672644042967,193.78614807128906,193.78614807128906,2225,0.0,0.0,204.0955368041992,,,-5.051256335311511,,,30.559523731931478,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-12,197.66184398106165,201.53756641206286,193.78612155006044,195.33641052246094,2097,0.0,0.0,201.84761505126954,,,-3.225802062191694,,,32.693176580434724,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-15,229.44277954101562,229.44277954101562,229.44277954101562,229.44277954101562,33,0.0,0.0,204.2505676269531,,,12.333974003966548,,,61.049089157795805,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-16,209.28902514227505,224.7919158935547,209.28902514227505,224.7919158935547,107,0.0,0.0,206.1884338378906,,,9.022563346249818,,,57.49215422820855,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-17,193.78611246744794,197.66183471679688,193.78611246744794,197.66183471679688,734,0.0,0.0,205.8008605957031,,,-3.9548065325612987,,,42.08749803295579,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-18,201.53756641206286,201.53756641206286,195.33641052246094,195.33641052246094,36,0.0,0.0,205.18074493408204,,,-4.797884136147265,,,41.071666865282666,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-19,217.04046630859375,217.04046630859375,217.04046630859375,217.04046630859375,17,0.0,0.0,206.7310348510742,,,4.986881367350717,,,52.576608670299976,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-22,197.66183471679688,197.66183471679688,197.66183471679688,197.66183471679688,11,0.0,0.0,206.9635772705078,,,-4.494386247273486,,,44.26657016949711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-23,197.66183471679688,197.66183471679688,197.66183471679688,197.66183471679688,0,0.0,0.0,205.80086212158204,,,-3.9548072446736553,,,44.26657016949711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-24,197.66183471679688,197.66183471679688,197.66183471679688,197.66183471679688,0,0.0,0.0,204.63814697265624,,,-3.4090966709112864,,,44.26657016949711,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-25,202.31270237106213,215.4901580810547,202.31270237106213,215.4901580810547,273,0.0,0.0,206.8085479736328,,,4.197897133598532,,,52.832838163945354,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-26,215.4901580810547,215.4901580810547,215.4901580810547,215.4901580810547,0,0.0,0.0,208.82392272949218,,,3.1922757050196116,,,52.832838163945354,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-29,214.7150136275257,215.4901580810547,214.7150136275257,215.4901580810547,20,0.0,0.0,207.42866058349608,,,3.8863951948017417,,,52.83283816394535,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-30,197.66184469369742,201.53756713867188,193.78612224872296,201.53756713867188,510,0.0,0.0,205.1032257080078,,,-1.7384702541987977,,,45.93216839752123,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-08-31,194.5612926635742,194.5612926635742,193.78614807128906,193.78614807128906,757,0.0,0.0,204.71565704345704,,,-5.338873015388297,,,42.60298037423494,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-01,221.69134521484375,221.69134521484375,221.69134521484375,221.69134521484375,50,0.0,0.0,207.3511505126953,,,6.9158983042490725,,,55.19366528438895,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-02,221.69134521484375,221.69134521484375,221.69134521484375,221.69134521484375,1,0.0,0.0,207.8162384033203,,,6.676623019513644,,,55.19366528438895,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-05,220.9161932057348,224.7919158935547,220.9161932057348,224.7919158935547,400,0.0,0.0,210.52924652099608,,,6.774673641904755,,,56.42540592524663,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-06,193.78612155006044,213.16473370506648,189.91039911905924,195.33641052246094,719,0.0,0.0,210.2967041015625,,,-7.113898262464693,,,44.03941139133209,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-07,195.33643168787802,216.2653350830078,195.33643168787802,216.2653350830078,232,0.0,0.0,212.15705413818358,,,1.9364338185749865,,,52.08714130933575,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-08,216.2653158580353,216.2653158580353,214.71502685546875,214.71502685546875,21,0.0,0.0,212.079541015625,,,1.2426874498231626,,,51.49636440179744,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-09,214.71502685546875,214.71502685546875,214.71502685546875,214.71502685546875,0,0.0,0.0,212.0020278930664,,,1.2797042506455514,,,51.49636440179744,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-12,196.11155449227894,206.9635772705078,189.91039861900532,206.9635772705078,1419,0.0,0.0,211.1493698120117,,,-1.982384576961111,,,48.31846353241812,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-13,195.3364023418934,203.8629913330078,189.9103911657297,203.8629913330078,1403,0.0,0.0,211.3819122314453,,,-3.5570313557410334,,,47.06725926735129,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-14,206.96358708774343,217.04046585980583,206.96358708774343,210.8393096923828,769,0.0,0.0,213.08722839355468,,,-1.0549288749582624,,,50.19245645708961,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
2022-09-15,217.04046630859375,217.04046630859375,217.04046630859375,217.04046630859375,1,0.0,0.0,212.62214050292968,,,2.078017743219544,,,52.85687532555207,0.153,0.257,0.30722,0.78891,0.057439998,115.272,6.5134234,,,Real Estate,"Tingsvalvet Fastighets AB (publ), a real estate company, owns, manages, and leases office and commercial properties in Central Sweden. The company was incorporated in 2018 and is headquartered in Eskilstuna, Sweden."
