Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,SMA_200,Close_10_%_D,10_50_%_D,50_200_%_D
2020-07-17,115.04803306178043,117.6627610859118,114.17645705373663,115.91960906982422,6386,0.0,0.0,,,,,,
2020-07-20,118.09854586565936,118.09854586565936,115.91960590503834,117.66275787353516,2062,0.0,0.0,,,,,,
2020-07-21,118.0985366592693,118.53432461742157,116.35538482666016,116.35538482666016,2679,0.0,0.0,,,,,,
2020-07-22,116.79118188928675,117.66275787353516,115.04802992078993,117.66275787353516,3140,0.0,0.0,,,,,,
2020-07-23,117.66275982524074,118.97012382329898,111.12593983494959,112.43330383300781,19444,0.0,0.0,,,,,,
2020-07-24,115.48381042480469,116.35538635253906,111.56171875,115.48381042480469,4626,0.0,0.0,,,,,,
2020-07-27,117.6627610859118,117.6627610859118,113.30488104569284,115.91960906982422,2690,0.0,0.0,,,,,,
2020-07-28,115.48381501978093,115.48381501978093,113.74066309495406,115.04802703857422,1741,0.0,0.0,,,,,,
2020-07-29,114.17645422128531,115.04803020770734,111.56172626201923,113.30487823486328,1585,0.0,0.0,,,,,,
2020-07-30,113.30488449868524,113.74067251598788,111.99752044677734,111.99752044677734,839,0.0,0.0,115.17876586914062,,,-2.762006866767109,,
2020-07-31,111.12593529307243,113.7406631823212,111.12593529307243,112.86908721923828,1088,0.0,0.0,114.87371368408203,,,-1.7450697818969636,,
2020-08-03,112.43329617460418,115.04802399261823,112.43329617460418,114.61223602294922,2292,0.0,0.0,114.56866149902343,,,0.03803354543524585,,
2020-08-04,113.30487795229311,117.66275787353516,113.30487795229311,117.66275787353516,3453,0.0,0.0,114.69939880371093,,,2.583587273108136,,
2020-08-05,117.66276227296704,119.40591430664062,115.04803422245666,119.40591430664062,8958,0.0,0.0,114.87371444702148,,,3.9453759125281374,,
2020-08-06,119.40590056251077,119.8416885207681,118.09853668773876,118.5343246459961,724,0.0,0.0,115.48381652832032,,,2.641502687891938,,
2020-08-07,118.5343246459961,118.5343246459961,115.48380893819473,118.5343246459961,238,0.0,0.0,115.78886795043945,,,2.371088641035652,,
2020-08-10,117.66274872948141,118.5343246459961,117.22696077122407,118.5343246459961,1532,0.0,0.0,116.05033950805664,,,2.1404376311772952,,
2020-08-11,118.09854281967901,118.97011878144785,116.35539089614132,117.22696685791016,3591,0.0,0.0,116.26823348999024,,,0.82458754136181,,
2020-08-12,117.22696381184592,117.66275178140668,116.79117584228516,116.79117584228516,1211,0.0,0.0,116.61686325073242,,,0.14947460143731794,,
2020-08-13,117.66275178140668,118.09853975096745,116.79117584228516,116.79117584228516,747,0.0,0.0,117.0962287902832,,,-0.2605147502609951,,
2020-08-14,116.79117584228516,118.53432772052821,116.35538787272438,116.79117584228516,1524,0.0,0.0,117.48843765258789,,,-0.5934727061096262,,
2020-08-17,116.79118188928675,117.66275787353516,116.35539389716254,117.66275787353516,392,0.0,0.0,117.79348983764649,,,-0.11098403170796643,,
