,Category,Values,Ticker
0,Latest_clusterAvg,57.31070496083551,ARION-SDB
1,Trend_clusterAvg,33.68146214099217,ARION-SDB
2,Latest_clusterRank,71.99738903394255,ARION-SDB
3,Trend_clusterRank,21.54046997389034,ARION-SDB
0,Latest_clusterAvg,62.010443864229764,AZA
1,Trend_clusterAvg,44.934725848563964,AZA
2,Latest_clusterRank,80.54830287206266,AZA
3,Trend_clusterRank,40.33942558746737,AZA
0,Latest_clusterAvg,52.16710182767624,SHB-A
1,Trend_clusterAvg,48.51174934725849,SHB-A
2,Latest_clusterRank,60.313315926892955,SHB-A
3,Trend_clusterRank,45.822454308093995,SHB-A
0,Latest_clusterAvg,55.61357702349869,SHB-B
1,Trend_clusterAvg,47.624020887728456,SHB-B
2,Latest_clusterRank,67.95039164490862,SHB-B
3,Trend_clusterRank,44.25587467362924,SHB-B
0,Latest_clusterAvg,37.0757180156658,NDA-SE
1,Trend_clusterAvg,45.19582245430809,NDA-SE
2,Latest_clusterRank,16.449086161879894,NDA-SE
3,Trend_clusterRank,40.992167101827675,NDA-SE
0,Latest_clusterAvg,41.61879895561358,SEB-A
1,Trend_clusterAvg,47.65013054830287,SEB-A
2,Latest_clusterRank,26.240208877284594,SEB-A
3,Trend_clusterRank,44.516971279373365,SEB-A
0,Latest_clusterAvg,47.31070496083551,SEB-C
1,Trend_clusterAvg,45.35248041775457,SEB-C
2,Latest_clusterRank,43.34203655352481,SEB-C
3,Trend_clusterRank,41.64490861618799,SEB-C
0,Latest_clusterAvg,55.27415143603133,SWED-A
1,Trend_clusterAvg,60.287206266318535,SWED-A
2,Latest_clusterRank,66.77545691906005,SWED-A
3,Trend_clusterRank,68.47258485639686,SWED-A
0,Latest_clusterAvg,60.234986945169716,AAK
1,Trend_clusterAvg,88.59007832898172,AAK
2,Latest_clusterRank,78.06788511749347,AAK
3,Trend_clusterRank,99.28198433420366,AAK
0,Latest_clusterAvg,37.51958224543081,AXFO
1,Trend_clusterAvg,40.18276762402089,AXFO
2,Latest_clusterRank,17.4934725848564,AXFO
3,Trend_clusterRank,32.5065274151436,AXFO
0,Latest_clusterAvg,70.52219321148826,ESSITY-A
1,Trend_clusterAvg,76.6579634464752,ESSITY-A
2,Latest_clusterRank,90.92689295039165,ESSITY-A
3,Trend_clusterRank,92.68929503916449,ESSITY-A
0,Latest_clusterAvg,62.610966057441246,ESSITY-B
1,Trend_clusterAvg,79.8172323759791,ESSITY-B
2,Latest_clusterRank,81.4621409921671,ESSITY-B
3,Trend_clusterRank,94.90861618798957,ESSITY-B
0,Latest_clusterAvg,56.344647519582246,IPCO
1,Trend_clusterAvg,16.344647519582246,IPCO
2,Latest_clusterRank,69.32114882506526,IPCO
3,Trend_clusterRank,2.3498694516971277,IPCO
