Ticker,Year,Value
ARION-SDB,2019,0.3722893
ARION-SDB,2022,1.09266
AZA,2000,1.322222
AZA,2004,0.2
AZA,2005,0.3
AZA,2006,0.4
AZA,2007,0.8
AZA,2008,1.2
AZA,2009,1.2
AZA,2010,1.6
AZA,2011,1.9
AZA,2012,2.0
AZA,2013,1.6
AZA,2014,1.6
AZA,2015,1.4
AZA,2016,2.1
AZA,2017,2.1
AZA,2018,2.1
AZA,2019,2.1
AZA,2020,2.3
AZA,2021,6.75
AZA,2022,9.2
AZA,2023,7.5
AZA,2024,11.5
AZA,2025,11.75
SHB-A,2000,1.0
SHB-A,2001,1.333333
SHB-A,2002,1.5
SHB-A,2003,1.583333
SHB-A,2004,1.75
SHB-A,2005,2.0
SHB-A,2006,2.333333
SHB-A,2007,2.666667
SHB-A,2008,4.5
SHB-A,2009,2.333333
SHB-A,2010,2.666667
SHB-A,2011,3.0
SHB-A,2012,3.25
SHB-A,2013,3.583333
SHB-A,2014,5.5
SHB-A,2015,5.833333
SHB-A,2016,6.0
SHB-A,2017,5.0
SHB-A,2018,7.5
SHB-A,2019,5.5
SHB-A,2021,4.1
SHB-A,2022,5.0
SHB-A,2023,8.0
SHB-A,2024,13.0
SHB-A,2025,7.5
SHB-B,2000,1.0
SHB-B,2001,1.333333
SHB-B,2002,1.5
SHB-B,2003,1.583333
SHB-B,2005,2.0
SHB-B,2006,2.333333
SHB-B,2007,2.666667
SHB-B,2008,4.5
SHB-B,2009,2.333333
SHB-B,2010,2.666667
SHB-B,2011,3.0
SHB-B,2012,3.25
SHB-B,2013,3.583333
SHB-B,2014,5.5
SHB-B,2015,5.833333
SHB-B,2016,6.0
SHB-B,2017,5.0
SHB-B,2018,7.5
SHB-B,2019,5.5
SHB-B,2021,4.1
SHB-B,2022,5.0
SHB-B,2023,8.0
SHB-B,2024,13.0
SHB-B,2025,7.5
NDA-SE,2000,1.362609
NDA-SE,2001,1.557267
NDA-SE,2002,1.9665488
NDA-SE,2003,1.9665488
NDA-SE,2004,2.1375453
NDA-SE,2005,2.3940513
NDA-SE,2006,2.9925723
NDA-SE,2007,4.1895924
NDA-SE,2008,4.275102
NDA-SE,2009,2.17
NDA-SE,2010,2.42
NDA-SE,2011,3.1844988
NDA-SE,2012,2.8550677
NDA-SE,2013,3.7335503
NDA-SE,2014,4.7218432
NDA-SE,2015,6.808239
NDA-SE,2016,7.027859
NDA-SE,2017,7.1376696
NDA-SE,2018,7.4671006
NDA-SE,2019,7.576911
NDA-SE,2021,8.6750141
NDA-SE,2022,7.576911
NDA-SE,2023,8.784824
NDA-SE,2024,10.102549
NDA-SE,2025,10.19
SEB-A,2000,1.800347
SEB-A,2001,2.057539
SEB-A,2002,2.057539
SEB-A,2003,2.057539
SEB-A,2004,2.057539
SEB-A,2005,2.237574
SEB-A,2006,2.443328
SEB-A,2007,3.086309
SEB-A,2008,3.343501
SEB-A,2010,1.0
SEB-A,2011,1.5
SEB-A,2012,1.75
SEB-A,2013,2.75
SEB-A,2014,4.0
SEB-A,2015,4.75
SEB-A,2016,5.25
SEB-A,2017,5.5
SEB-A,2018,5.75
SEB-A,2019,6.5
SEB-A,2021,8.2
SEB-A,2022,6.0
SEB-A,2023,6.75
SEB-A,2024,11.5
SEB-A,2025,8.5
SEB-C,2000,1.775407
SEB-C,2001,2.029037
SEB-C,2002,2.029037
SEB-C,2003,2.029037
SEB-C,2004,2.029037
SEB-C,2005,2.206577
SEB-C,2006,2.409481
SEB-C,2007,3.043555
SEB-C,2008,3.297184
SEB-C,2010,1.0
SEB-C,2011,1.5
SEB-C,2012,1.75
SEB-C,2013,2.75
SEB-C,2014,4.0
SEB-C,2015,4.75
SEB-C,2016,5.25
SEB-C,2017,5.5
SEB-C,2018,5.75
SEB-C,2019,6.5
SEB-C,2021,8.2
SEB-C,2022,6.0
SEB-C,2023,6.75
SEB-C,2024,11.5
SEB-C,2025,8.5
SWED-A,2000,4.135803
SWED-A,2001,4.549384
SWED-A,2002,4.549384
SWED-A,2003,4.549384
SWED-A,2004,4.756174
SWED-A,2005,5.376544
SWED-A,2006,6.203705
SWED-A,2007,6.824075
SWED-A,2008,7.444446
SWED-A,2009,3.722223
SWED-A,2011,2.1
SWED-A,2012,5.3
SWED-A,2013,9.9
SWED-A,2014,10.1
SWED-A,2015,11.35
SWED-A,2016,10.7
SWED-A,2017,13.2
SWED-A,2018,13.0
SWED-A,2019,14.2
SWED-A,2021,14.549999999999999
SWED-A,2022,11.25
SWED-A,2023,9.75
SWED-A,2024,15.15
SWED-A,2025,21.7
AAK,2006,4.833333
AAK,2007,0.666667
AAK,2008,0.666667
AAK,2009,0.666667
AAK,2010,0.708333
AAK,2011,0.75
AAK,2012,0.791667
AAK,2013,0.875
AAK,2014,1.0
AAK,2015,1.125
AAK,2016,1.291667
AAK,2017,1.458333
AAK,2018,1.625
AAK,2019,1.85
AAK,2020,2.1
AAK,2021,2.3
AAK,2022,2.5
AAK,2023,2.75
AAK,2024,3.7
AAK,2025,5.0
AXFO,2000,0.644518
AXFO,2002,0.619729
AXFO,2003,1.239458
AXFO,2004,1.363404
AXFO,2005,2.726808
AXFO,2006,3.718375
AXFO,2007,4.957834
AXFO,2008,2.9747
AXFO,2009,1.983133
AXFO,2010,2.478917
AXFO,2011,2.9747
AXFO,2012,2.9747
AXFO,2013,2.9747
AXFO,2014,3.718375
AXFO,2015,4.214159
AXFO,2016,8.924101
AXFO,2017,5.9494
AXFO,2018,6.940967
AXFO,2019,6.940967
AXFO,2020,7.188859
AXFO,2021,7.43675
AXFO,2022,7.716267
AXFO,2023,8.15
AXFO,2024,8.5
AXFO,2025,8.5
ESSITY-A,2018,5.75
ESSITY-A,2019,5.75
ESSITY-A,2020,6.25
ESSITY-A,2021,6.75
ESSITY-A,2022,7.0
ESSITY-A,2023,7.25
ESSITY-A,2024,7.75
ESSITY-A,2025,8.25
ESSITY-B,2018,5.75
ESSITY-B,2019,5.75
ESSITY-B,2020,6.25
ESSITY-B,2021,6.75
ESSITY-B,2022,7.0
ESSITY-B,2023,7.25
ESSITY-B,2024,7.75
ESSITY-B,2025,8.25
ATRLJ-B,2000,0.075
ATRLJ-B,2001,0.1125
ATRLJ-B,2002,0.15
ATRLJ-B,2003,0.175
ATRLJ-B,2004,0.2
ATRLJ-B,2006,0.275
ATRLJ-B,2007,0.325
ATRLJ-B,2008,0.4
ATRLJ-B,2009,0.4
ATRLJ-B,2010,0.45
ATRLJ-B,2011,0.48
ATRLJ-B,2012,0.52
ATRLJ-B,2013,0.57
ATRLJ-B,2014,0.61
ATRLJ-B,2015,0.66
ATRLJ-B,2016,0.71
ATRLJ-B,2017,0.79
ATRLJ-B,2018,0.9
ATRLJ-B,2019,0.97
ATRLJ-B,2020,1.0
ATRLJ-B,2021,1.01
ATRLJ-B,2022,1.04
ATRLJ-B,2023,1.06
ATRLJ-B,2024,0.7
ATRLJ-B,2025,0.72
BALD-B,2008,0.027778
CAST,2000,0.819981
CAST,2001,1.002199
CAST,2002,1.184417
CAST,2003,1.366635
CAST,2004,1.548853
CAST,2005,1.731071
CAST,2006,1.913289
CAST,2007,2.077285
CAST,2008,2.186616
CAST,2009,2.295947
CAST,2010,2.551052
CAST,2011,2.623939
CAST,2012,2.696827
CAST,2013,2.879045
CAST,2014,3.097706
CAST,2015,3.352812
CAST,2016,3.571473
CAST,2017,4.200224
CAST,2018,4.452238
CAST,2019,5.124272
CAST,2020,5.46029
CAST,2021,5.796308
CAST,2022,6.38434
CAST,2025,2.48
CATE,2007,5.0
CATE,2008,5.25
CATE,2009,5.25
CATE,2010,31.75
CATE,2011,59.0
CATE,2012,2.0
CATE,2013,1.0
CATE,2014,2.0
CATE,2015,3.0
CATE,2016,3.0
CATE,2017,3.5
CATE,2018,4.5
CATE,2019,5.75
CATE,2020,6.5
CATE,2021,7.5
CATE,2022,8.0
CATE,2023,8.26
CATE,2024,8.5
CATE,2025,9.0
CORE-A,2009,0.086711
CORE-A,2010,0.086711
CORE-A,2011,0.090909
CORE-A,2012,0.090909
CORE-A,2013,0.109091
CORE-A,2014,0.127273
CORE-A,2015,0.145455
CORE-A,2016,0.272727
CORE-A,2017,0.318182
CORE-A,2018,0.4
CORE-A,2019,0.45
CORE-A,2020,0.6
CORE-A,2021,0.65
CORE-A,2022,0.4
CORE-A,2023,0.4
CORE-A,2024,0.17
CORE-A,2025,0.07
CORE-B,2018,0.4
CORE-B,2019,0.45
CORE-B,2020,0.6
CORE-B,2021,0.65
CORE-B,2022,0.30000000000000004
CORE-B,2023,0.4
CORE-B,2024,0.17
CORE-B,2025,0.07
CORE-D,2021,15.0
CORE-D,2022,20.0
CORE-D,2023,20.0
CORE-D,2024,20.0
CORE-D,2025,15.0
CORE-PREF,2010,23.5
CORE-PREF,2011,20.0
CORE-PREF,2012,20.0
CORE-PREF,2013,20.0
CORE-PREF,2014,25.0
CORE-PREF,2015,20.0
CORE-PREF,2016,20.0
CORE-PREF,2017,20.0
CORE-PREF,2018,17.5
CORE-PREF,2019,20.0
CORE-PREF,2020,20.0
CORE-PREF,2021,20.0
CORE-PREF,2022,20.0
CORE-PREF,2023,20.0
CORE-PREF,2024,20.0
CORE-PREF,2025,15.0
FABG,2003,1.125
FABG,2004,1.5
FABG,2005,1.625
FABG,2006,1.875
FABG,2007,2.0
FABG,2008,2.0
FABG,2009,1.0
FABG,2010,1.0
FABG,2011,1.5
FABG,2012,1.5
FABG,2013,1.5
FABG,2014,1.5
FABG,2015,1.625
FABG,2016,1.75
FABG,2017,2.0
FABG,2018,2.25
FABG,2019,2.65
FABG,2020,3.2
FABG,2021,3.6
FABG,2022,3.0
FABG,2023,2.8
FABG,2024,1.95
FABG,2025,1.95
FPAR-A,2003,0.163041
FPAR-A,2005,0.211953
FPAR-A,2006,0.407602
FPAR-A,2007,0.52173
FPAR-A,2008,0.570642
FPAR-A,2009,0.570642
FPAR-A,2010,0.652163
FPAR-A,2011,0.749987
FPAR-A,2012,0.815203
FPAR-A,2013,0.896724
FPAR-A,2014,1.010852
FPAR-A,2015,1.141284
FPAR-A,2016,1.222805
FPAR-A,2017,1.333334
FPAR-A,2018,0.953333
FPAR-A,2019,1.6
FPAR-A,2020,1.9
FPAR-A,2021,2.0
FPAR-A,2022,2.2
FPAR-A,2023,1.0
FPAR-A,2024,1.0
FPAR-A,2025,1.1
FPAR-D,2020,3.746994
FPAR-D,2021,4.996994
FPAR-D,2022,10.0
FPAR-D,2023,5.0
FPAR-D,2024,5.0
FPAR-D,2025,5.0
HEM,2022,0.55
HEM,2023,1.0
HEM,2024,1.2
HEM,2025,1.7
HUFV-A,2000,0.85
HUFV-A,2001,0.85
HUFV-A,2002,1.0
HUFV-A,2003,1.1
HUFV-A,2004,1.2
HUFV-A,2005,4.0
HUFV-A,2006,1.45
HUFV-A,2007,11.6
HUFV-A,2008,1.75
HUFV-A,2009,1.9
HUFV-A,2010,2.1
HUFV-A,2011,2.3
