Ticker,market_cap
ARION-SDB,19227318272.0
AZA,55084408832.0
SHB-A,243199950848.0
SHB-B,243199967232.0
NDA-SE,527395618816.0
SEB-A,364337496064.0
SEB-C,364337496064.0
SWED-A,318717952000.0
AAK,64388042752.0
AXFO,61235396608.0
ESSITY-A,169961111552.0
ESSITY-B,169990356992.0
IPCO,17724164096.0
ATRLJ-B,19319416832.0
BALD-B,78444797952.0
CAST,52458078208.0
CATE,25870340096.0
CORE-A,7275887616.0
CORE-B,7294307328.0
CORE-D,7429387264.0
CORE-PREF,26208763904.0
FABG,24426911744.0
FPAR-A,10176097280.0
FPAR-D,9851616256.0
HEM,21689931776.0
HUFV-A,24353509376.0
NP3,15087294464.0
NP3-PREF,3941078528.0
NYF,16388079616.0
PNDX-B,34094444544.0
SAGA-A,70353641472.0
SAGA-B,70353641472.0
SAGA-D,70353641472.0
WALL-B,27881359360.0
WIHL,27545450496.0
BURE,21232998400.0
INDU-A,163411116032.0
INDU-C,163411099648.0
INVE-A,923564965888.0
INVE-B,923564965888.0
KINV-A,23746457600.0
KINV-B,23746455552.0
LATO-B,145636687872.0
LUND-B,122611204096.0
SAVE,68856832000.0
STOR-B,16749181952.0
SAMPO-SDB,283193245696.0
ALIF-B,21521192960.0
AZN,2461812129792.0
BIOA-B,27778988032.0
BONEX,19863134208.0
CAMX,40891523072.0
EKTA-B,18227171328.0
GETI-B,56516685824.0
MCOV-B,38273056768.0
SECT-B,58339713024.0
SOBI,108153135104.0
VIMIAN,15150236672.0
VITR,18569809920.0
ABB,1258957701120.0
ADDT-B,82801295360.0
AFRY,18697863168.0
ALFA,184591532032.0
ASSA-B,365667549184.0
ATCO-A,787199950848.0
ATCO-B,796399632384.0
BEIJ-B,75250122752.0
BRAV,18901501952.0
EPRO-B,17674942464.0
ENGCON-B,11756426240.0
EPI-A,237109051392.0
EPI-B,237109067776.0
INDT,84887257088.0
LIFCO-B,146802704384.0
LIAB,15176079360.0
LOOMIS,27166429184.0
MTRS,20809723904.0
NCC-A,20347611136.0
NCC-B,20347611136.0
NIBE-B,74614620160.0
NOLA-B,15933654016.0
OEM-B,20394651648.0
PEAB-B,21573255168.0
SAAB-B,303951183872.0
SAND,338182438912.0
SECU-B,80857513984.0
SKA-B,101075271680.0
SWEC-A,58249785344.0
SWEC-B,57549987840.0
SYSR,16552095744.0
8TRA,154300006400.0
TREL-B,79247548416.0
VOLV-A,557731414016.0
VOLV-B,557731414016.0
ALLEI,18961915904.0
BILL,21214529536.0
BOL,112753508352.0
GRNG,12739481600.0
HPOL-B,29053247488.0
HOLM-A,56171278336.0
HOLM-B,56417382400.0
LUG,148303429632.0
LUMI,121104637952.0
SCA-A,88226783232.0
SCA-B,88226791424.0
