,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-132334000.0,402560000.0,12870738.104159,114027000.0,
Tax Rate For Calcs,0.254,0.272,0.338704,0.199,
Total Unusual Items,-521000000.0,1480000000.0,38000000.0,573000000.0,
Total Unusual Items Excluding Goodwill,-521000000.0,1480000000.0,38000000.0,573000000.0,
Net Income From Continuing Operation Net Minority Interest,26148000000.0,25759000000.0,19402000000.0,27211000000.0,
Reconciled Depreciation,1697000000.0,1886000000.0,1719000000.0,1924000000.0,
Net Interest Income,46302000000.0,44685000000.0,40201000000.0,32063000000.0,
Interest Expense,85957000000.0,78431000000.0,43314000000.0,21895000000.0,
Interest Income,132259000000.0,123116000000.0,83515000000.0,53958000000.0,
Normalized Income,26536666000.0,24681560000.0,19376870738.10416,26752027000.0,
Net Income From Continuing And Discontinued Operation,26111000000.0,25755000000.0,25945000000.0,28605000000.0,
Diluted Average Shares,1443000000.0,1525000000.0,1576000000.0,1690000000.0,
Basic Average Shares,1426000000.0,1447000000.0,1491000000.0,1593000000.0,
Diluted EPS,18.09,16.89,16.46,16.93,
Basic EPS,18.31,17.8,17.4,17.96,
Diluted NI Availto Com Stockholders,26111000000.0,25755000000.0,25945000000.0,28605000000.0,
Net Income Common Stockholders,26111000000.0,25755000000.0,25945000000.0,28605000000.0,
Net Income,26111000000.0,25755000000.0,25945000000.0,28605000000.0,
Minority Interests,-1000000.0,18000000.0,-13000000.0,-10000000.0,
Net Income Including Noncontrolling Interests,26112000000.0,25737000000.0,25958000000.0,28615000000.0,
Net Income Discontinuous Operations,-37000000.0,-4000000.0,6543000000.0,1394000000.0,
Net Income Continuous Operations,26149000000.0,25741000000.0,19415000000.0,27221000000.0,
Tax Provision,8919000000.0,9595000000.0,9944000000.0,6782000000.0,
Pretax Income,35068000000.0,35336000000.0,29359000000.0,34003000000.0,
Special Income Charges,-182000000.0,-89000000.0,14000000.0,0.0,
Other Special Charges,182000000.0,89000000.0,-14000000.0,-542000000.0,
Write Off,,,,,0.0
Gain On Sale Of Security,4510000000.0,1502000000.0,-3857000000.0,5919000000.0,
Operating Expense,30252000000.0,27497000000.0,26078000000.0,27391000000.0,
Other Operating Expenses,6998000000.0,6427000000.0,6178000000.0,6202000000.0,
Depreciation And Amortization In Income Statement,1697000000.0,1886000000.0,1719000000.0,1924000000.0,
Amortization,985000000.0,1202000000.0,1096000000.0,1231000000.0,
Depreciation Income Statement,712000000.0,684000000.0,623000000.0,693000000.0,
Selling General And Administration,5753000000.0,4852000000.0,4165000000.0,3351000000.0,
Selling And Marketing Expense,1215000000.0,1167000000.0,1144000000.0,,
General And Administrative Expense,4538000000.0,3685000000.0,3021000000.0,3351000000.0,
Insurance And Claims,-3392000000.0,-3044000000.0,-2520000000.0,558000000.0,
Rent And Landing Fees,502000000.0,599000000.0,680000000.0,718000000.0,
Total Revenue,66609000000.0,64342000000.0,55017000000.0,58203000000.0,
Operating Revenue,66609000000.0,64342000000.0,55017000000.0,58203000000.0,
